date;site_id;zone_id;note;temp_min;temp_max;hum_min;hum_max;vent_min;vent_max;pres_min;pres_max;prec_tot;prec_nat
"2024-09-16";"MF";"A";"Observation meteo du 2024-09-16 (automne)";"0";"19";"70";"84";"5";"29";"951";"984";"7";"B"
"2024-09-16";"MF";"B";"Observation meteo du 2024-09-16 (automne)";"1";"18";"63";"83";"7";"28";"966";"1028";;
"2024-09-15";"MF";"A";"Observation meteo du 2024-09-15 (automne)";"3";"20";"70";"83";"10";"25";"990";"1034";;
"2024-09-15";"MF";"B";"Observation meteo du 2024-09-15 (automne)";"0";"17";"65";"81";"10";"28";"957";"989";"25";"P"
"2024-09-14";"MF";"A";"Observation meteo du 2024-09-14 (automne)";"5";"16";"68";"75";"8";"30";"968";"1042";"15";"B"
"2024-09-14";"MF";"B";"Observation meteo du 2024-09-14 (automne)";"5";"17";"68";"78";"8";"26";"969";"1045";;
"2024-09-13";"MF";"A";"Observation meteo du 2024-09-13 (automne)";"3";"19";"65";"80";"9";"28";"983";"1016";;
"2024-09-13";"MF";"B";"Observation meteo du 2024-09-13 (automne)";"1";"16";"66";"79";"6";"28";"994";"1036";"18";"P"
"2024-09-12";"MF";"A";"Observation meteo du 2024-09-12 (automne)";"2";"15";"69";"75";"6";"26";"958";"1048";"6";"B"
"2024-09-12";"MF";"B";"Observation meteo du 2024-09-12 (automne)";"1";"19";"60";"80";"5";"25";"959";"1027";;
"2024-09-11";"MF";"A";"Observation meteo du 2024-09-11 (automne)";"2";"18";"66";"84";"5";"28";"991";"1030";;
"2024-09-11";"MF";"B";"Observation meteo du 2024-09-11 (automne)";"3";"17";"63";"83";"8";"25";"999";"1045";;
"2024-09-10";"MF";"A";"Observation meteo du 2024-09-10 (automne)";"0";"17";"69";"78";"10";"27";"985";"1026";;
"2024-09-10";"MF";"B";"Observation meteo du 2024-09-10 (automne)";"5";"16";"60";"85";"10";"25";"989";"1014";"28";"P"
"2024-09-09";"MF";"A";"Observation meteo du 2024-09-09 (automne)";"5";"18";"65";"84";"8";"29";"951";"1030";;
"2024-09-09";"MF";"B";"Observation meteo du 2024-09-09 (automne)";"4";"20";"64";"79";"10";"25";"968";"991";;
"2024-09-08";"MF";"A";"Observation meteo du 2024-09-08 (automne)";"4";"17";"61";"76";"9";"29";"968";"1041";"4";"P"
"2024-09-08";"MF";"B";"Observation meteo du 2024-09-08 (automne)";"3";"17";"63";"83";"10";"30";"989";"1028";"26";"B"
"2024-09-07";"MF";"A";"Observation meteo du 2024-09-07 (automne)";"3";"20";"63";"77";"6";"30";"961";"973";;
"2024-09-07";"MF";"B";"Observation meteo du 2024-09-07 (automne)";"4";"16";"65";"85";"7";"28";"980";"1018";"9";"B"
"2024-09-06";"MF";"A";"Observation meteo du 2024-09-06 (automne)";"3";"16";"67";"75";"8";"25";"978";"1006";"8";"B"
"2024-09-06";"MF";"B";"Observation meteo du 2024-09-06 (automne)";"5";"18";"66";"75";"9";"27";"986";"1016";;
"2024-09-05";"MF";"A";"Observation meteo du 2024-09-05 (automne)";"3";"19";"68";"81";"9";"28";"1000";"1025";;
"2024-09-05";"MF";"B";"Observation meteo du 2024-09-05 (automne)";"4";"15";"62";"85";"6";"26";"973";"1042";"19";"B"
"2024-09-04";"MF";"A";"Observation meteo du 2024-09-04 (automne)";"2";"20";"68";"77";"6";"25";"975";"1046";"18";"P"
"2024-09-04";"MF";"B";"Observation meteo du 2024-09-04 (automne)";"0";"16";"62";"77";"5";"26";"995";"1034";"12";"B"
"2024-09-03";"MF";"A";"Observation meteo du 2024-09-03 (automne)";"1";"19";"68";"75";"8";"25";"1000";"1026";"24";"B"
"2024-09-03";"MF";"B";"Observation meteo du 2024-09-03 (automne)";"1";"20";"63";"84";"10";"26";"972";"998";;
"2024-09-02";"MF";"A";"Observation meteo du 2024-09-02 (automne)";"4";"20";"63";"76";"8";"27";"956";"1050";"21";"B"
"2024-09-02";"MF";"B";"Observation meteo du 2024-09-02 (automne)";"0";"17";"63";"79";"7";"26";"985";"1025";"18";"P"
"2024-09-01";"MF";"A";"Observation meteo du 2024-09-01 (automne)";"4";"20";"68";"79";"9";"29";"966";"979";"26";"P"
"2024-09-01";"MF";"B";"Observation meteo du 2024-09-01 (automne)";"4";"19";"68";"81";"10";"29";"977";"990";;
"2024-08-31";"MF";"A";"Observation meteo du 2024-08-31 (ete)";"11";"26";"41";"69";"3";"11";"988";"1015";;
"2024-08-31";"MF";"B";"Observation meteo du 2024-08-31 (ete)";"15";"29";"40";"67";"0";"15";"990";"1019";;
"2024-08-30";"MF";"A";"Observation meteo du 2024-08-30 (ete)";"11";"27";"50";"61";"1";"11";"954";"975";;
"2024-08-30";"MF";"B";"Observation meteo du 2024-08-30 (ete)";"11";"25";"40";"64";"5";"12";"954";"1030";"22";"P"
"2024-08-29";"MF";"A";"Observation meteo du 2024-08-29 (ete)";"12";"28";"41";"67";"3";"10";"960";"986";;
"2024-08-29";"MF";"B";"Observation meteo du 2024-08-29 (ete)";"11";"29";"45";"67";"1";"15";"965";"1024";;
"2024-08-28";"MF";"A";"Observation meteo du 2024-08-28 (ete)";"15";"27";"41";"64";"1";"15";"996";"1018";;
"2024-08-28";"MF";"B";"Observation meteo du 2024-08-28 (ete)";"13";"26";"45";"70";"2";"12";"956";"1043";;
"2024-08-27";"MF";"A";"Observation meteo du 2024-08-27 (ete)";"11";"28";"48";"62";"0";"13";"988";"1021";;
"2024-08-27";"MF";"B";"Observation meteo du 2024-08-27 (ete)";"15";"27";"44";"66";"2";"15";"983";"1004";;
"2024-08-26";"MF";"A";"Observation meteo du 2024-08-26 (ete)";"12";"30";"44";"66";"5";"13";"975";"1034";;
"2024-08-26";"MF";"B";"Observation meteo du 2024-08-26 (ete)";"15";"25";"41";"65";"4";"11";"965";"1011";"21";"P"
"2024-08-25";"MF";"A";"Observation meteo du 2024-08-25 (ete)";"14";"26";"50";"69";"2";"12";"973";"993";"12";"P"
"2024-08-25";"MF";"B";"Observation meteo du 2024-08-25 (ete)";"13";"27";"43";"64";"4";"11";"961";"1000";"12";"P"
"2024-08-24";"MF";"A";"Observation meteo du 2024-08-24 (ete)";"15";"28";"45";"62";"1";"14";"998";"1027";;
"2024-08-24";"MF";"B";"Observation meteo du 2024-08-24 (ete)";"15";"29";"43";"60";"1";"10";"957";"1035";"14";"B"
"2024-08-23";"MF";"A";"Observation meteo du 2024-08-23 (ete)";"12";"28";"47";"65";"1";"15";"975";"993";;
"2024-08-23";"MF";"B";"Observation meteo du 2024-08-23 (ete)";"12";"30";"48";"63";"1";"11";"981";"994";;
"2024-08-22";"MF";"A";"Observation meteo du 2024-08-22 (ete)";"15";"26";"48";"61";"5";"14";"957";"1020";;
"2024-08-22";"MF";"B";"Observation meteo du 2024-08-22 (ete)";"12";"28";"41";"70";"1";"12";"967";"1012";"5";"P"
"2024-08-21";"MF";"A";"Observation meteo du 2024-08-21 (ete)";"14";"28";"44";"67";"3";"13";"990";"1006";;
"2024-08-21";"MF";"B";"Observation meteo du 2024-08-21 (ete)";"12";"25";"40";"61";"2";"15";"960";"992";"22";"P"
"2024-08-20";"MF";"A";"Observation meteo du 2024-08-20 (ete)";"15";"27";"48";"66";"4";"10";"984";"995";;
"2024-08-20";"MF";"B";"Observation meteo du 2024-08-20 (ete)";"14";"25";"44";"60";"0";"10";"1000";"1037";;
"2024-08-19";"MF";"A";"Observation meteo du 2024-08-19 (ete)";"10";"28";"48";"68";"0";"10";"965";"1043";"17";"B"
"2024-08-19";"MF";"B";"Observation meteo du 2024-08-19 (ete)";"13";"25";"41";"67";"1";"11";"986";"1034";;
"2024-08-18";"MF";"A";"Observation meteo du 2024-08-18 (ete)";"15";"29";"46";"61";"0";"10";"975";"1032";;
"2024-08-18";"MF";"B";"Observation meteo du 2024-08-18 (ete)";"12";"26";"50";"61";"1";"14";"1000";"1028";;
"2024-08-17";"MF";"A";"Observation meteo du 2024-08-17 (ete)";"14";"26";"41";"63";"3";"13";"950";"1013";;
"2024-08-17";"MF";"B";"Observation meteo du 2024-08-17 (ete)";"12";"28";"47";"69";"4";"12";"969";"992";"6";"B"
"2024-08-16";"MF";"A";"Observation meteo du 2024-08-16 (ete)";"13";"25";"46";"63";"1";"14";"972";"987";"5";"B"
"2024-08-16";"MF";"B";"Observation meteo du 2024-08-16 (ete)";"15";"30";"41";"61";"4";"13";"986";"1026";;
"2024-08-15";"MF";"A";"Observation meteo du 2024-08-15 (ete)";"13";"29";"49";"64";"4";"15";"988";"1011";;
"2024-08-15";"MF";"B";"Observation meteo du 2024-08-15 (ete)";"10";"28";"45";"65";"5";"14";"951";"1001";;
"2024-08-14";"MF";"A";"Observation meteo du 2024-08-14 (ete)";"10";"30";"50";"66";"0";"13";"958";"974";;
"2024-08-14";"MF";"B";"Observation meteo du 2024-08-14 (ete)";"12";"27";"45";"63";"1";"12";"978";"1048";"23";"P"
"2024-08-13";"MF";"A";"Observation meteo du 2024-08-13 (ete)";"14";"27";"45";"65";"5";"13";"969";"980";;
"2024-08-13";"MF";"B";"Observation meteo du 2024-08-13 (ete)";"12";"27";"41";"70";"4";"12";"985";"1020";;
"2024-08-12";"MF";"A";"Observation meteo du 2024-08-12 (ete)";"14";"27";"46";"61";"1";"14";"990";"1025";;
"2024-08-12";"MF";"B";"Observation meteo du 2024-08-12 (ete)";"10";"28";"40";"66";"1";"15";"958";"980";;
"2024-08-11";"MF";"A";"Observation meteo du 2024-08-11 (ete)";"12";"25";"49";"64";"1";"10";"994";"1025";"19";"B"
"2024-08-11";"MF";"B";"Observation meteo du 2024-08-11 (ete)";"14";"25";"40";"61";"4";"12";"973";"1038";;
"2024-08-10";"MF";"A";"Observation meteo du 2024-08-10 (ete)";"15";"26";"44";"67";"0";"12";"958";"979";;
"2024-08-10";"MF";"B";"Observation meteo du 2024-08-10 (ete)";"11";"29";"50";"62";"2";"14";"969";"1045";;
"2024-08-09";"MF";"A";"Observation meteo du 2024-08-09 (ete)";"10";"30";"48";"66";"3";"14";"951";"978";;
"2024-08-09";"MF";"B";"Observation meteo du 2024-08-09 (ete)";"11";"25";"49";"63";"4";"11";"962";"984";;
"2024-08-08";"MF";"A";"Observation meteo du 2024-08-08 (ete)";"10";"26";"43";"66";"4";"14";"972";"1000";"10";"B"
"2024-08-08";"MF";"B";"Observation meteo du 2024-08-08 (ete)";"13";"26";"43";"64";"1";"14";"989";"1019";;
"2024-08-07";"MF";"A";"Observation meteo du 2024-08-07 (ete)";"10";"26";"47";"65";"0";"11";"984";"1050";;
"2024-08-07";"MF";"B";"Observation meteo du 2024-08-07 (ete)";"10";"29";"46";"69";"3";"10";"967";"979";;
"2024-08-06";"MF";"A";"Observation meteo du 2024-08-06 (ete)";"14";"29";"50";"62";"3";"14";"973";"997";;
"2024-08-06";"MF";"B";"Observation meteo du 2024-08-06 (ete)";"11";"26";"48";"70";"2";"15";"992";"1004";;
"2024-08-05";"MF";"A";"Observation meteo du 2024-08-05 (ete)";"13";"26";"44";"60";"4";"12";"953";"1033";"10";"B"
"2024-08-05";"MF";"B";"Observation meteo du 2024-08-05 (ete)";"10";"26";"49";"68";"0";"12";"952";"1008";;
"2024-08-04";"MF";"A";"Observation meteo du 2024-08-04 (ete)";"12";"27";"48";"64";"2";"15";"969";"1019";;
"2024-08-04";"MF";"B";"Observation meteo du 2024-08-04 (ete)";"10";"25";"41";"63";"4";"12";"960";"1007";;
"2024-08-03";"MF";"A";"Observation meteo du 2024-08-03 (ete)";"11";"29";"49";"70";"5";"14";"1000";"1010";;
"2024-08-03";"MF";"B";"Observation meteo du 2024-08-03 (ete)";"12";"25";"47";"68";"3";"10";"967";"1043";;
"2024-08-02";"MF";"A";"Observation meteo du 2024-08-02 (ete)";"14";"30";"44";"63";"3";"12";"963";"996";;
"2024-08-02";"MF";"B";"Observation meteo du 2024-08-02 (ete)";"10";"29";"50";"64";"2";"10";"955";"1021";;
"2024-08-01";"MF";"A";"Observation meteo du 2024-08-01 (ete)";"14";"26";"40";"67";"0";"13";"958";"1040";;
"2024-08-01";"MF";"B";"Observation meteo du 2024-08-01 (ete)";"13";"28";"46";"60";"3";"10";"986";"1044";;
"2024-07-31";"MF";"A";"Observation meteo du 2024-07-31 (ete)";"10";"26";"40";"67";"3";"15";"973";"1014";;
"2024-07-31";"MF";"B";"Observation meteo du 2024-07-31 (ete)";"10";"26";"40";"67";"1";"14";"981";"1012";;
"2024-07-30";"MF";"A";"Observation meteo du 2024-07-30 (ete)";"14";"30";"48";"68";"4";"13";"991";"1026";"15";"B"
"2024-07-30";"MF";"B";"Observation meteo du 2024-07-30 (ete)";"13";"29";"46";"70";"3";"10";"975";"1007";;
"2024-07-29";"MF";"A";"Observation meteo du 2024-07-29 (ete)";"15";"30";"41";"60";"0";"13";"957";"1045";;
"2024-07-29";"MF";"B";"Observation meteo du 2024-07-29 (ete)";"15";"25";"47";"68";"2";"12";"967";"1047";"22";"B"
"2024-07-28";"MF";"A";"Observation meteo du 2024-07-28 (ete)";"12";"30";"49";"68";"5";"11";"995";"1015";;
"2024-07-28";"MF";"B";"Observation meteo du 2024-07-28 (ete)";"10";"30";"49";"66";"0";"13";"983";"1032";;
"2024-07-27";"MF";"A";"Observation meteo du 2024-07-27 (ete)";"15";"26";"47";"61";"3";"14";"950";"1047";;
"2024-07-27";"MF";"B";"Observation meteo du 2024-07-27 (ete)";"14";"26";"49";"60";"3";"12";"996";"1014";;
"2024-07-26";"MF";"A";"Observation meteo du 2024-07-26 (ete)";"12";"26";"43";"69";"4";"10";"971";"1004";;
"2024-07-26";"MF";"B";"Observation meteo du 2024-07-26 (ete)";"10";"29";"48";"68";"0";"13";"960";"1024";;
"2024-07-25";"MF";"A";"Observation meteo du 2024-07-25 (ete)";"14";"28";"42";"62";"2";"15";"980";"1006";"8";"B"
"2024-07-25";"MF";"B";"Observation meteo du 2024-07-25 (ete)";"15";"26";"45";"67";"5";"15";"970";"1024";;
"2024-07-24";"MF";"A";"Observation meteo du 2024-07-24 (ete)";"14";"26";"40";"70";"4";"10";"960";"1000";;
"2024-07-24";"MF";"B";"Observation meteo du 2024-07-24 (ete)";"14";"28";"48";"66";"2";"12";"961";"986";;
"2024-07-23";"MF";"A";"Observation meteo du 2024-07-23 (ete)";"12";"29";"44";"67";"5";"12";"989";"1008";"16";"P"
"2024-07-23";"MF";"B";"Observation meteo du 2024-07-23 (ete)";"15";"29";"49";"62";"0";"15";"994";"1030";;
"2024-07-22";"MF";"A";"Observation meteo du 2024-07-22 (ete)";"13";"27";"43";"62";"3";"14";"976";"1016";;
"2024-07-22";"MF";"B";"Observation meteo du 2024-07-22 (ete)";"15";"28";"40";"62";"3";"13";"957";"984";;
"2024-07-21";"MF";"A";"Observation meteo du 2024-07-21 (ete)";"10";"29";"44";"60";"0";"12";"961";"1001";"10";"P"
"2024-07-21";"MF";"B";"Observation meteo du 2024-07-21 (ete)";"11";"28";"49";"64";"4";"11";"981";"1047";;
"2024-07-20";"MF";"A";"Observation meteo du 2024-07-20 (ete)";"14";"26";"50";"62";"4";"12";"989";"1047";;
"2024-07-20";"MF";"B";"Observation meteo du 2024-07-20 (ete)";"10";"26";"48";"63";"4";"15";"986";"1005";;
"2024-07-19";"MF";"A";"Observation meteo du 2024-07-19 (ete)";"10";"26";"46";"67";"5";"11";"968";"984";;
"2024-07-19";"MF";"B";"Observation meteo du 2024-07-19 (ete)";"13";"28";"45";"62";"4";"10";"999";"1036";;
"2024-07-18";"MF";"A";"Observation meteo du 2024-07-18 (ete)";"12";"28";"40";"61";"3";"13";"988";"1030";;
"2024-07-18";"MF";"B";"Observation meteo du 2024-07-18 (ete)";"10";"25";"43";"62";"0";"14";"991";"1012";;
"2024-07-17";"MF";"A";"Observation meteo du 2024-07-17 (ete)";"14";"26";"49";"69";"1";"12";"952";"1044";;
"2024-07-17";"MF";"B";"Observation meteo du 2024-07-17 (ete)";"15";"28";"46";"64";"4";"14";"973";"1022";;
"2024-07-16";"MF";"A";"Observation meteo du 2024-07-16 (ete)";"12";"26";"46";"62";"2";"13";"993";"1006";;
"2024-07-16";"MF";"B";"Observation meteo du 2024-07-16 (ete)";"14";"30";"43";"70";"2";"11";"954";"1010";;
"2024-07-15";"MF";"A";"Observation meteo du 2024-07-15 (ete)";"11";"27";"47";"65";"3";"14";"998";"1048";"8";"B"
"2024-07-15";"MF";"B";"Observation meteo du 2024-07-15 (ete)";"15";"28";"49";"67";"2";"14";"994";"1021";;
"2024-07-14";"MF";"A";"Observation meteo du 2024-07-14 (ete)";"15";"27";"46";"67";"2";"15";"998";"1022";;
"2024-07-14";"MF";"B";"Observation meteo du 2024-07-14 (ete)";"10";"28";"48";"68";"4";"11";"994";"1034";;
"2024-07-13";"MF";"A";"Observation meteo du 2024-07-13 (ete)";"10";"26";"43";"66";"3";"14";"985";"995";;
"2024-07-13";"MF";"B";"Observation meteo du 2024-07-13 (ete)";"14";"25";"49";"67";"4";"14";"981";"1022";;
"2024-07-12";"MF";"A";"Observation meteo du 2024-07-12 (ete)";"15";"28";"49";"70";"2";"11";"975";"1043";;
"2024-07-12";"MF";"B";"Observation meteo du 2024-07-12 (ete)";"13";"27";"44";"67";"5";"13";"975";"1037";"25";"B"
"2024-07-11";"MF";"A";"Observation meteo du 2024-07-11 (ete)";"11";"30";"42";"65";"2";"14";"953";"1044";;
"2024-07-11";"MF";"B";"Observation meteo du 2024-07-11 (ete)";"13";"27";"48";"69";"5";"12";"983";"1019";;
"2024-07-10";"MF";"A";"Observation meteo du 2024-07-10 (ete)";"14";"25";"41";"60";"5";"14";"962";"1037";;
"2024-07-10";"MF";"B";"Observation meteo du 2024-07-10 (ete)";"15";"27";"45";"62";"4";"11";"977";"1010";;
"2024-07-09";"MF";"A";"Observation meteo du 2024-07-09 (ete)";"12";"26";"46";"63";"2";"14";"969";"990";"19";"P"
"2024-07-09";"MF";"B";"Observation meteo du 2024-07-09 (ete)";"10";"29";"48";"68";"4";"11";"996";"1030";;
"2024-07-08";"MF";"A";"Observation meteo du 2024-07-08 (ete)";"14";"28";"41";"69";"5";"13";"952";"1011";;
"2024-07-08";"MF";"B";"Observation meteo du 2024-07-08 (ete)";"11";"29";"50";"68";"5";"14";"952";"975";;
"2024-07-07";"MF";"A";"Observation meteo du 2024-07-07 (ete)";"11";"27";"43";"69";"2";"15";"950";"989";;
"2024-07-07";"MF";"B";"Observation meteo du 2024-07-07 (ete)";"10";"30";"47";"65";"4";"12";"990";"1009";;
"2024-07-06";"MF";"A";"Observation meteo du 2024-07-06 (ete)";"15";"27";"46";"70";"5";"15";"952";"962";;
"2024-07-06";"MF";"B";"Observation meteo du 2024-07-06 (ete)";"10";"29";"43";"67";"0";"11";"999";"1019";;
"2024-07-05";"MF";"A";"Observation meteo du 2024-07-05 (ete)";"10";"28";"48";"69";"4";"14";"964";"1027";;
"2024-07-05";"MF";"B";"Observation meteo du 2024-07-05 (ete)";"12";"30";"45";"61";"4";"13";"999";"1035";;
"2024-07-04";"MF";"A";"Observation meteo du 2024-07-04 (ete)";"14";"27";"49";"64";"2";"11";"955";"1019";;
"2024-07-04";"MF";"B";"Observation meteo du 2024-07-04 (ete)";"12";"28";"42";"60";"3";"14";"992";"1016";"8";"P"
"2024-07-03";"MF";"A";"Observation meteo du 2024-07-03 (ete)";"10";"26";"45";"62";"4";"15";"958";"1019";;
"2024-07-03";"MF";"B";"Observation meteo du 2024-07-03 (ete)";"13";"26";"47";"70";"2";"11";"952";"974";;
"2024-07-02";"MF";"A";"Observation meteo du 2024-07-02 (ete)";"15";"27";"43";"60";"4";"11";"980";"992";;
"2024-07-02";"MF";"B";"Observation meteo du 2024-07-02 (ete)";"12";"28";"40";"64";"2";"10";"951";"1019";;
"2024-07-01";"MF";"A";"Observation meteo du 2024-07-01 (ete)";"13";"29";"44";"60";"2";"11";"981";"1003";;
"2024-07-01";"MF";"B";"Observation meteo du 2024-07-01 (ete)";"11";"25";"50";"61";"4";"12";"965";"1000";;
"2024-06-30";"MF";"A";"Observation meteo du 2024-06-30 (ete)";"15";"28";"49";"61";"4";"15";"990";"1044";;
"2024-06-30";"MF";"B";"Observation meteo du 2024-06-30 (ete)";"15";"28";"50";"60";"5";"12";"993";"1034";;
"2024-06-29";"MF";"A";"Observation meteo du 2024-06-29 (ete)";"12";"25";"41";"66";"0";"10";"986";"1016";"11";"B"
"2024-06-29";"MF";"B";"Observation meteo du 2024-06-29 (ete)";"15";"25";"45";"70";"5";"10";"957";"984";"11";"B"
"2024-06-28";"MF";"A";"Observation meteo du 2024-06-28 (ete)";"14";"29";"45";"63";"2";"12";"987";"1033";;
"2024-06-28";"MF";"B";"Observation meteo du 2024-06-28 (ete)";"11";"27";"40";"69";"1";"14";"976";"1047";;
"2024-06-27";"MF";"A";"Observation meteo du 2024-06-27 (ete)";"10";"28";"41";"66";"3";"10";"982";"1017";;
"2024-06-27";"MF";"B";"Observation meteo du 2024-06-27 (ete)";"14";"30";"40";"64";"4";"12";"986";"1031";;
"2024-06-26";"MF";"A";"Observation meteo du 2024-06-26 (ete)";"10";"26";"42";"61";"0";"13";"989";"1037";"22";"B"
"2024-06-26";"MF";"B";"Observation meteo du 2024-06-26 (ete)";"15";"26";"40";"67";"3";"11";"985";"1005";;
"2024-06-25";"MF";"A";"Observation meteo du 2024-06-25 (ete)";"15";"26";"47";"60";"2";"13";"988";"1029";;
"2024-06-25";"MF";"B";"Observation meteo du 2024-06-25 (ete)";"10";"26";"40";"65";"4";"13";"960";"1049";;
"2024-06-24";"MF";"A";"Observation meteo du 2024-06-24 (ete)";"14";"29";"43";"66";"5";"11";"993";"1047";;
"2024-06-24";"MF";"B";"Observation meteo du 2024-06-24 (ete)";"11";"26";"42";"64";"0";"10";"959";"1013";;
"2024-06-23";"MF";"A";"Observation meteo du 2024-06-23 (ete)";"12";"29";"49";"65";"3";"10";"951";"1000";;
"2024-06-23";"MF";"B";"Observation meteo du 2024-06-23 (ete)";"10";"28";"48";"66";"3";"11";"970";"992";;
"2024-06-22";"MF";"A";"Observation meteo du 2024-06-22 (ete)";"10";"26";"44";"65";"3";"11";"956";"991";"23";"B"
"2024-06-22";"MF";"B";"Observation meteo du 2024-06-22 (ete)";"14";"25";"45";"63";"1";"12";"997";"1009";;
"2024-06-21";"MF";"A";"Observation meteo du 2024-06-21 (ete)";"12";"26";"42";"65";"4";"10";"982";"992";"13";"B"
"2024-06-21";"MF";"B";"Observation meteo du 2024-06-21 (ete)";"12";"30";"42";"67";"5";"11";"953";"994";;
"2024-06-20";"MF";"A";"Observation meteo du 2024-06-20 (ete)";"15";"29";"43";"63";"2";"10";"996";"1026";;
"2024-06-20";"MF";"B";"Observation meteo du 2024-06-20 (ete)";"12";"25";"43";"69";"5";"12";"978";"1030";;
"2024-06-19";"MF";"A";"Observation meteo du 2024-06-19 (ete)";"15";"26";"44";"68";"5";"15";"971";"1011";"16";"P"
"2024-06-19";"MF";"B";"Observation meteo du 2024-06-19 (ete)";"14";"30";"48";"62";"1";"14";"966";"976";;
"2024-06-18";"MF";"A";"Observation meteo du 2024-06-18 (ete)";"15";"25";"46";"60";"3";"12";"961";"1002";;
"2024-06-18";"MF";"B";"Observation meteo du 2024-06-18 (ete)";"12";"25";"44";"64";"0";"15";"992";"1038";;
"2024-06-17";"MF";"A";"Observation meteo du 2024-06-17 (ete)";"13";"30";"41";"69";"2";"12";"984";"1025";;
"2024-06-17";"MF";"B";"Observation meteo du 2024-06-17 (ete)";"13";"26";"41";"66";"5";"10";"960";"1024";;
"2024-06-16";"MF";"A";"Observation meteo du 2024-06-16 (ete)";"10";"29";"44";"66";"1";"11";"993";"1019";;
"2024-06-16";"MF";"B";"Observation meteo du 2024-06-16 (ete)";"11";"27";"49";"65";"2";"13";"977";"1008";"5";"P"
"2024-06-15";"MF";"A";"Observation meteo du 2024-06-15 (ete)";"11";"29";"44";"66";"5";"14";"995";"1029";;
"2024-06-15";"MF";"B";"Observation meteo du 2024-06-15 (ete)";"15";"28";"42";"60";"3";"15";"981";"1048";"8";"P"
