site_id;zone_id;placette_numero;peuplement_id;date_placette;hauteur;obstruction_type;taux_obstruction;couverture_type;taux_couverture;rang_arbre;arbre_id
"MF";"A";"1";"PEBO";"2024-05-07";"1";"T";"95";"fougeres";"25";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"T";"95";"graminees";"53";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"T";"95";"graminees";"53";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"T";"95";"graminees";"53";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"T";"95";"mousses";"19";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"T";"95";"mousses";"19";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"T";"95";"mousses";"19";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"C";"34";"fougeres";"25";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"C";"34";"fougeres";"25";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"C";"34";"fougeres";"25";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"C";"34";"graminees";"53";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"C";"34";"graminees";"53";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"C";"34";"graminees";"53";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"C";"34";"mousses";"19";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"C";"34";"mousses";"19";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"C";"34";"mousses";"19";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"F";"36";"fougeres";"25";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"F";"36";"fougeres";"25";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"F";"36";"fougeres";"25";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"F";"36";"graminees";"53";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"F";"36";"graminees";"53";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"F";"36";"graminees";"53";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"F";"36";"mousses";"19";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"F";"36";"mousses";"19";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"F";"36";"mousses";"19";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"T";"79";"fougeres";"25";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"T";"79";"fougeres";"25";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"T";"79";"fougeres";"25";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"T";"79";"graminees";"53";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"T";"79";"graminees";"53";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"T";"79";"graminees";"53";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"T";"79";"mousses";"19";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"T";"79";"mousses";"19";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"2";"T";"79";"mousses";"19";"3";"ACESAC"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"C";"27";"fougeres";"46";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"C";"27";"fougeres";"46";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"C";"27";"fougeres";"46";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"C";"27";"graminees";"42";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"C";"27";"graminees";"42";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"C";"27";"graminees";"42";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"C";"27";"mousses";"51";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"C";"27";"mousses";"51";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"C";"27";"mousses";"51";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"F";"21";"fougeres";"46";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"F";"21";"fougeres";"46";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"F";"21";"fougeres";"46";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"F";"21";"graminees";"42";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"F";"21";"graminees";"42";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"F";"21";"graminees";"42";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"F";"21";"mousses";"51";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"F";"21";"mousses";"51";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"F";"21";"mousses";"51";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"T";"59";"fougeres";"46";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"T";"59";"fougeres";"46";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"T";"59";"fougeres";"46";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"T";"59";"graminees";"42";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"T";"59";"graminees";"42";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"T";"59";"graminees";"42";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"T";"59";"mousses";"51";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"T";"59";"mousses";"51";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"1";"T";"59";"mousses";"51";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"C";"31";"fougeres";"46";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"C";"31";"fougeres";"46";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"C";"31";"fougeres";"46";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"C";"31";"graminees";"42";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"C";"31";"graminees";"42";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"C";"31";"graminees";"42";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"C";"31";"mousses";"51";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"C";"31";"mousses";"51";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"C";"31";"mousses";"51";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"F";"11";"fougeres";"46";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"F";"11";"fougeres";"46";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"F";"11";"fougeres";"46";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"F";"11";"graminees";"42";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"F";"11";"graminees";"42";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"F";"11";"graminees";"42";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"F";"11";"mousses";"51";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"F";"11";"mousses";"51";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"F";"11";"mousses";"51";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"T";"96";"fougeres";"46";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"T";"96";"fougeres";"46";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"T";"96";"fougeres";"46";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"T";"96";"graminees";"42";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"T";"96";"graminees";"42";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"T";"96";"graminees";"42";"3";"PICMAR"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"T";"96";"mousses";"51";"1";"ABIBAL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"T";"96";"mousses";"51";"2";"BETALL"
"MF";"A";"2";"BEMI";"2024-05-07";"2";"T";"96";"mousses";"51";"3";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"C";"32";"fougeres";"41";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"C";"32";"fougeres";"41";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"C";"32";"fougeres";"41";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"C";"32";"graminees";"33";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"C";"32";"graminees";"33";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"C";"32";"graminees";"33";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"C";"32";"mousses";"35";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"C";"32";"mousses";"35";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"C";"32";"mousses";"35";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"F";"29";"fougeres";"41";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"F";"29";"fougeres";"41";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"F";"29";"fougeres";"41";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"F";"29";"graminees";"33";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"F";"29";"graminees";"33";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"F";"29";"graminees";"33";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"F";"29";"mousses";"35";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"F";"29";"mousses";"35";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"F";"29";"mousses";"35";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"T";"98";"fougeres";"41";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"T";"98";"fougeres";"41";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"T";"98";"fougeres";"41";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"T";"98";"graminees";"33";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"T";"98";"graminees";"33";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"T";"98";"graminees";"33";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"T";"98";"mousses";"35";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"T";"98";"mousses";"35";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"1";"T";"98";"mousses";"35";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"C";"15";"fougeres";"41";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"C";"15";"fougeres";"41";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"C";"15";"fougeres";"41";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"C";"15";"graminees";"33";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"C";"15";"graminees";"33";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"C";"15";"graminees";"33";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"C";"15";"mousses";"35";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"C";"15";"mousses";"35";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"C";"15";"mousses";"35";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"F";"28";"fougeres";"41";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"F";"28";"fougeres";"41";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"F";"28";"fougeres";"41";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"F";"28";"graminees";"33";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"F";"28";"graminees";"33";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"F";"28";"graminees";"33";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"F";"28";"mousses";"35";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"F";"28";"mousses";"35";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"F";"28";"mousses";"35";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"T";"90";"fougeres";"41";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"T";"90";"fougeres";"41";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"T";"90";"fougeres";"41";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"T";"90";"graminees";"33";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"T";"90";"graminees";"33";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"T";"90";"graminees";"33";"3";"SORSSP"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"T";"90";"mousses";"35";"1";"PICMAR"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"T";"90";"mousses";"35";"2";"BETALL"
"MF";"A";"3";"BEMI";"2024-05-24";"2";"T";"90";"mousses";"35";"3";"SORSSP"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"C";"17";"fougeres";"43";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"C";"17";"fougeres";"43";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"C";"17";"fougeres";"43";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"C";"17";"graminees";"25";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"C";"17";"graminees";"25";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"C";"17";"graminees";"25";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"C";"17";"mousses";"32";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"C";"17";"mousses";"32";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"C";"17";"mousses";"32";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"F";"36";"fougeres";"43";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"F";"36";"fougeres";"43";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"F";"36";"fougeres";"43";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"F";"36";"graminees";"25";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"F";"36";"graminees";"25";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"F";"36";"graminees";"25";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"F";"36";"mousses";"32";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"F";"36";"mousses";"32";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"F";"36";"mousses";"32";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"T";"87";"fougeres";"43";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"T";"87";"fougeres";"43";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"T";"87";"fougeres";"43";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"T";"87";"graminees";"25";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"T";"87";"graminees";"25";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"T";"87";"graminees";"25";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"T";"87";"mousses";"32";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"T";"87";"mousses";"32";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"1";"T";"87";"mousses";"32";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"C";"16";"fougeres";"43";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"C";"16";"fougeres";"43";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"C";"16";"fougeres";"43";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"C";"16";"graminees";"25";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"C";"16";"graminees";"25";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"C";"16";"graminees";"25";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"C";"16";"mousses";"32";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"C";"16";"mousses";"32";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"C";"16";"mousses";"32";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"F";"25";"fougeres";"43";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"F";"25";"fougeres";"43";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"F";"25";"fougeres";"43";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"F";"25";"graminees";"25";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"F";"25";"graminees";"25";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"F";"25";"graminees";"25";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"F";"25";"mousses";"32";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"F";"25";"mousses";"32";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"F";"25";"mousses";"32";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"T";"82";"fougeres";"43";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"T";"82";"fougeres";"43";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"T";"82";"fougeres";"43";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"T";"82";"graminees";"25";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"T";"82";"graminees";"25";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"T";"82";"graminees";"25";"3";"FAGGRA"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"T";"82";"mousses";"32";"1";"BETALL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"T";"82";"mousses";"32";"2";"ABIBAL"
"MF";"A";"4";"SAPI";"2024-05-07";"2";"T";"82";"mousses";"32";"3";"FAGGRA"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"C";"28";"fougeres";"52";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"C";"28";"fougeres";"52";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"C";"28";"fougeres";"52";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"C";"28";"graminees";"38";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"C";"28";"graminees";"38";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"C";"28";"graminees";"38";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"C";"28";"mousses";"22";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"C";"28";"mousses";"22";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"C";"28";"mousses";"22";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"F";"16";"fougeres";"52";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"F";"16";"fougeres";"52";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"F";"16";"fougeres";"52";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"F";"16";"graminees";"38";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"F";"16";"graminees";"38";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"F";"16";"graminees";"38";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"F";"16";"mousses";"22";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"F";"16";"mousses";"22";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"F";"16";"mousses";"22";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"T";"50";"fougeres";"52";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"T";"50";"fougeres";"52";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"T";"50";"fougeres";"52";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"T";"50";"graminees";"38";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"T";"50";"graminees";"38";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"T";"50";"graminees";"38";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"T";"50";"mousses";"22";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"T";"50";"mousses";"22";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"1";"T";"50";"mousses";"22";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"C";"23";"fougeres";"52";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"C";"23";"fougeres";"52";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"C";"23";"fougeres";"52";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"C";"23";"graminees";"38";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"C";"23";"graminees";"38";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"C";"23";"graminees";"38";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"C";"23";"mousses";"22";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"C";"23";"mousses";"22";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"C";"23";"mousses";"22";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"F";"16";"fougeres";"52";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"F";"16";"fougeres";"52";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"F";"16";"fougeres";"52";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"F";"16";"graminees";"38";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"F";"16";"graminees";"38";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"F";"16";"graminees";"38";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"F";"16";"mousses";"22";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"F";"16";"mousses";"22";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"F";"16";"mousses";"22";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"T";"73";"fougeres";"52";"1";"BETALL"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"T";"73";"fougeres";"52";"2";"BETCOR"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"T";"73";"fougeres";"52";"3";"ACESAC"
"MF";"B";"1";"SAPI";"2024-05-12";"2";"T";"73";"graminees";"38";"1";"BETALL"
