plant_id;date_identification;note_plant;site_id;zone_id;placette_numero;parcelle;date_debut_emplacement;date_fin_emplacement;est_actuel;note_emplacement;date_observation;note_observation;longueur;largeur;est_fruit;etat_id
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-07-31";"Observation du 2024-07-31 (ete)";"172";"153";;"B"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-08-07";"Observation du 2024-08-07 (ete)";"271";"131";;"B"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-05-15";"Observation du 2024-05-15 (printemps)";"132";"49";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-05-20";"Observation du 2024-05-20 (printemps)";"144";"69";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-05-21";"Observation du 2024-05-21 (printemps)";"152";"72";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-05-23";"Observation du 2024-05-23 (printemps)";"53";"106";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-05-30";"Observation du 2024-05-30 (printemps)";"170";"40";;"X"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-05-31";"Observation du 2024-05-31 (printemps)";"190";"20";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-06-15";"Observation du 2024-06-15 (ete)";"214";"231";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-06-16";"Observation du 2024-06-16 (ete)";"317";"161";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-06-19";"Observation du 2024-06-19 (ete)";"165";"200";;"B"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-06-21";"Observation du 2024-06-21 (ete)";"208";"102";;"X"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-06-29";"Observation du 2024-06-29 (ete)";"161";"200";;"B"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-07-02";"Observation du 2024-07-02 (ete)";"263";"194";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-07-07";"Observation du 2024-07-07 (ete)";"323";"166";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-07-09";"Observation du 2024-07-09 (ete)";"350";"199";;"B"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-07-10";"Observation du 2024-07-10 (ete)";"229";"86";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-07-11";"Observation du 2024-07-11 (ete)";"129";"74";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-07-18";"Observation du 2024-07-18 (ete)";"209";"53";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-07-19";"Observation du 2024-07-19 (ete)";"303";"236";;"B"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-08-02";"Observation du 2024-08-02 (ete)";"244";"195";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-08-03";"Observation du 2024-08-03 (ete)";"343";"172";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-08-04";"Observation du 2024-08-04 (ete)";"104";"196";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-08-06";"Observation du 2024-08-06 (ete)";"190";"132";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-08-10";"Observation du 2024-08-10 (ete)";"201";"76";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-08-14";"Observation du 2024-08-14 (ete)";"275";"143";;"N"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-08-18";"Observation du 2024-08-18 (ete)";"280";"122";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-08-20";"Observation du 2024-08-20 (ete)";"307";"113";;"O"
"1002";"2024-05-11";"Plant observe en zone A";"MF";"A";"1";"1";"2024-05-13";"2024-09-01";"true";"";"2024-08-28";"Observation du 2024-08-28 (ete)";"161";"63";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-05-10";"Observation du 2024-05-10 (printemps)";"114";"135";;"C"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-05-15";"Observation du 2024-05-15 (printemps)";"53";"141";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-05-16";"Observation du 2024-05-16 (printemps)";"54";"90";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-05-20";"Observation du 2024-05-20 (printemps)";"127";"65";;"X"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-05-22";"Observation du 2024-05-22 (printemps)";"67";"86";;"B"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-05-23";"Observation du 2024-05-23 (printemps)";"69";"29";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-05-24";"Observation du 2024-05-24 (printemps)";"158";"144";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-05-26";"Observation du 2024-05-26 (printemps)";"130";"115";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-05-28";"Observation du 2024-05-28 (printemps)";"111";"99";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-06-01";"Observation du 2024-06-01 (ete)";"331";"232";;"B"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-06-03";"Observation du 2024-06-03 (ete)";"332";"242";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-06-10";"Observation du 2024-06-10 (ete)";"120";"123";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-06-12";"Observation du 2024-06-12 (ete)";"116";"77";;"C"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-06-16";"Observation du 2024-06-16 (ete)";"300";"158";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-06-19";"Observation du 2024-06-19 (ete)";"271";"146";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-06-20";"Observation du 2024-06-20 (ete)";"220";"117";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-06-25";"Observation du 2024-06-25 (ete)";"162";"200";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-06-29";"Observation du 2024-06-29 (ete)";"186";"201";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-07-03";"Observation du 2024-07-03 (ete)";"220";"89";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-07-04";"Observation du 2024-07-04 (ete)";"104";"230";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-07-21";"Observation du 2024-07-21 (ete)";"130";"116";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-07-22";"Observation du 2024-07-22 (ete)";"164";"78";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-07-27";"Observation du 2024-07-27 (ete)";"145";"211";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-07-29";"Observation du 2024-07-29 (ete)";"319";"151";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-02";"Observation du 2024-08-02 (ete)";"272";"132";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-04";"Observation du 2024-08-04 (ete)";"268";"211";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-10";"Observation du 2024-08-10 (ete)";"113";"115";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-11";"Observation du 2024-08-11 (ete)";"82";"64";;"C"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-12";"Observation du 2024-08-12 (ete)";"134";"122";;"B"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-13";"Observation du 2024-08-13 (ete)";"289";"88";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-14";"Observation du 2024-08-14 (ete)";"300";"117";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-15";"Observation du 2024-08-15 (ete)";"120";"113";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-19";"Observation du 2024-08-19 (ete)";"310";"90";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-30";"Observation du 2024-08-30 (ete)";"159";"167";;"X"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-08-31";"Observation du 2024-08-31 (ete)";"234";"126";;"O"
"1004";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"3";"2024-05-09";"2024-09-01";"true";"";"2024-09-01";"Observation du 2024-09-01 (automne)";"245";"81";;"X"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-05-10";"Observation du 2024-05-10 (printemps)";"124";"24";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-05-14";"Observation du 2024-05-14 (printemps)";"63";"43";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-05-15";"Observation du 2024-05-15 (printemps)";"90";"113";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-05-18";"Observation du 2024-05-18 (printemps)";"153";"83";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-05-24";"Observation du 2024-05-24 (printemps)";"175";"97";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-05-25";"Observation du 2024-05-25 (printemps)";"150";"148";;"X"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-06-01";"Observation du 2024-06-01 (ete)";"269";"69";;"C"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-06-08";"Observation du 2024-06-08 (ete)";"292";"108";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-06-13";"Observation du 2024-06-13 (ete)";"134";"187";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-06-16";"Observation du 2024-06-16 (ete)";"211";"150";;"X"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-06-19";"Observation du 2024-06-19 (ete)";"278";"242";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-06-23";"Observation du 2024-06-23 (ete)";"319";"195";;"B"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-06-24";"Observation du 2024-06-24 (ete)";"208";"242";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-06-25";"Observation du 2024-06-25 (ete)";"265";"155";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-06-27";"Observation du 2024-06-27 (ete)";"321";"188";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-07-03";"Observation du 2024-07-03 (ete)";"316";"148";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-07-09";"Observation du 2024-07-09 (ete)";"319";"124";;"D"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-07-14";"Observation du 2024-07-14 (ete)";"265";"157";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-07-19";"Observation du 2024-07-19 (ete)";"265";"83";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-07-23";"Observation du 2024-07-23 (ete)";"305";"154";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-07-24";"Observation du 2024-07-24 (ete)";"179";"172";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-07-28";"Observation du 2024-07-28 (ete)";"163";"238";;"O"
"1005";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"4";"2024-05-10";"2024-07-30";"true";"";"2024-07-30";"Observation du 2024-07-30 (ete)";"335";"83";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-05-18";"Observation du 2024-05-18 (printemps)";"60";"66";;"C"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-05-28";"Observation du 2024-05-28 (printemps)";"101";"22";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-06-01";"Observation du 2024-06-01 (ete)";"320";"70";;"C"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-06-02";"Observation du 2024-06-02 (ete)";"301";"245";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-06-04";"Observation du 2024-06-04 (ete)";"262";"229";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-06-13";"Observation du 2024-06-13 (ete)";"308";"123";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-06-14";"Observation du 2024-06-14 (ete)";"155";"172";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-06-17";"Observation du 2024-06-17 (ete)";"251";"79";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-06-25";"Observation du 2024-06-25 (ete)";"290";"176";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-06-30";"Observation du 2024-06-30 (ete)";"276";"239";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-07-01";"Observation du 2024-07-01 (ete)";"247";"210";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-07-07";"Observation du 2024-07-07 (ete)";"276";"67";;"X"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-07-09";"Observation du 2024-07-09 (ete)";"312";"235";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-07-11";"Observation du 2024-07-11 (ete)";"309";"154";;"O"
"1006";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"5";"2024-05-12";"2024-07-13";"true";"";"2024-07-12";"Observation du 2024-07-12 (ete)";"105";"129";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-05-11";"Observation du 2024-05-11 (printemps)";"136";"73";;"C"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-05-17";"Observation du 2024-05-17 (printemps)";"69";"64";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-05-18";"Observation du 2024-05-18 (printemps)";"70";"143";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-05-23";"Observation du 2024-05-23 (printemps)";"197";"82";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-05-25";"Observation du 2024-05-25 (printemps)";"44";"145";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-05-28";"Observation du 2024-05-28 (printemps)";"81";"83";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-05-31";"Observation du 2024-05-31 (printemps)";"53";"120";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-06-03";"Observation du 2024-06-03 (ete)";"168";"51";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-06-04";"Observation du 2024-06-04 (ete)";"323";"85";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-06-09";"Observation du 2024-06-09 (ete)";"81";"68";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-06-12";"Observation du 2024-06-12 (ete)";"257";"147";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-06-16";"Observation du 2024-06-16 (ete)";"170";"197";;"B"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-06-24";"Observation du 2024-06-24 (ete)";"175";"58";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-07-09";"Observation du 2024-07-09 (ete)";"218";"78";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-07-11";"Observation du 2024-07-11 (ete)";"135";"194";;"B"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-07-16";"Observation du 2024-07-16 (ete)";"88";"152";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-07-29";"Observation du 2024-07-29 (ete)";"278";"183";;"C"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-08-03";"Observation du 2024-08-03 (ete)";"317";"201";;"C"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-08-06";"Observation du 2024-08-06 (ete)";"80";"51";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-08-07";"Observation du 2024-08-07 (ete)";"237";"140";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-08-13";"Observation du 2024-08-13 (ete)";"348";"145";;"C"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-08-17";"Observation du 2024-08-17 (ete)";"114";"224";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-08-18";"Observation du 2024-08-18 (ete)";"247";"51";;"O"
"1007";"2024-05-09";"Plant observe en zone A";"MF";"A";"1";"6";"2024-05-09";"2024-08-28";"true";"";"2024-08-22";"Observation du 2024-08-22 (ete)";"145";"111";;"O"
"1010";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"9";"2024-05-13";"2024-09-30";"true";"";"2024-05-13";"Observation du 2024-05-13 (printemps)";"42";"27";;"O"
"1010";"2024-05-07";"Plant observe en zone A";"MF";"A";"1";"9";"2024-05-13";"2024-09-30";"true";"";"2024-05-14";"Observation du 2024-05-14 (printemps)";"193";"141";;"D"
