siteid;zoneid;date;ventmin;ventmax;note
"S01";"Z01";"2017-08-30";"0.94";"24.56";"Conditions stables."
"S01";"Z01";"2017-08-31";"1.31";"25.00";"Conditions stables."
"S01";"Z01";"2017-09-01";"3.22";"17.07";"Conditions stables."
"S01";"Z01";"2017-09-02";"0.56";"23.15";"Variations mineures."
"S01";"Z01";"2017-09-03";"2.48";"12.20";"Conditions stables."
"S01";"Z01";"2017-09-04";"4.77";"20.05";"Variations mineures."
"S01";"Z01";"2017-09-05";"0.31";"28.65";"Variations mineures."
"S01";"Z01";"2017-09-06";"3.07";"23.68";"Journée représentative."
"S01";"Z01";"2017-09-07";"2.55";"10.27";"Variations mineures."
"S01";"Z01";"2017-09-08";"4.38";"21.20";"Journée représentative."
"S01";"Z01";"2017-09-09";"4.04";"12.54";"Journée représentative."
"S01";"Z01";"2017-09-10";"3.17";"23.66";"Variations mineures."
"S01";"Z01";"2017-09-11";"1.95";"15.27";"Variations mineures."
"S01";"Z01";"2017-09-12";"4.40";"16.53";"Conditions stables."
"S01";"Z01";"2017-09-13";"1.00";"25.11";"Variations mineures."
"S01";"Z01";"2017-09-14";"0.86";"17.30";"Variations mineures."
"S01";"Z01";"2017-09-15";"2.83";"23.09";"Journée représentative."
"S01";"Z01";"2017-09-16";"4.54";"30.00";"Variations mineures."
"S01";"Z01";"2017-09-17";"3.30";"11.83";"Variations mineures."
"S01";"Z01";"2017-09-18";"2.66";"25.87";"Conditions stables."
"S01";"Z01";"2017-09-19";"4.79";"22.60";"Variations mineures."
"S01";"Z01";"2017-09-20";"2.52";"13.03";"Journée représentative."
"S01";"Z01";"2017-09-21";"0.48";"21.09";"Variations mineures."
"S01";"Z01";"2017-09-22";"0.66";"20.30";"Conditions stables."
"S01";"Z01";"2017-09-23";"4.63";"13.93";"Journée représentative."
"S01";"Z01";"2017-09-24";"0.16";"18.72";"Variations mineures."
"S01";"Z01";"2017-09-25";"2.39";"10.34";"Variations mineures."
"S01";"Z01";"2017-09-26";"1.36";"11.34";"Variations mineures."
"S01";"Z01";"2017-09-27";"4.94";"22.27";"Variations mineures."
"S01";"Z01";"2017-09-28";"4.28";"13.62";"Conditions stables."
"S01";"Z01";"2017-09-29";"3.72";"12.12";"Variations mineures."
"S01";"Z01";"2017-09-30";"1.49";"28.82";"Variations mineures."
"S01";"Z01";"2017-10-01";"3.90";"22.93";"Conditions stables."
"S01";"Z01";"2017-10-02";"2.52";"10.81";"Conditions stables."
"S01";"Z01";"2017-10-03";"0.99";"21.61";"Journée représentative."
"S01";"Z01";"2017-10-04";"1.08";"13.37";"Journée représentative."
"S01";"Z01";"2017-10-05";"2.64";"16.88";"Variations mineures."
"S01";"Z01";"2017-10-06";"3.25";"25.64";"Variations mineures."
"S01";"Z01";"2017-10-07";"0.84";"26.58";"Variations mineures."
"S01";"Z01";"2017-10-08";"1.69";"12.05";"Variations mineures."
"S01";"Z01";"2017-10-09";"2.77";"11.06";"Conditions stables."
"S01";"Z01";"2017-10-10";"4.07";"19.72";"Conditions stables."
"S01";"Z01";"2017-10-11";"2.23";"28.07";"Conditions stables."
"S01";"Z01";"2017-10-12";"4.64";"19.08";"Variations mineures."
"S01";"Z01";"2017-10-13";"0.39";"16.29";"Journée représentative."
"S01";"Z01";"2017-10-14";"4.34";"17.33";"Journée représentative."
"S01";"Z01";"2017-10-15";"0.98";"15.64";"Journée représentative."
"S01";"Z01";"2017-10-16";"3.26";"14.66";"Journée représentative."
"S01";"Z01";"2017-10-17";"2.71";"20.84";"Journée représentative."
"S01";"Z01";"2017-10-18";"4.19";"10.99";"Variations mineures."
"S01";"Z01";"2017-10-19";"3.90";"12.11";"Conditions stables."
"S01";"Z01";"2017-10-20";"5.00";"23.26";"Variations mineures."
"S01";"Z01";"2017-10-21";"3.58";"26.63";"Journée représentative."
"S01";"Z01";"2017-10-22";"2.76";"12.10";"Conditions stables."
"S01";"Z01";"2017-10-23";"4.08";"28.29";"Journée représentative."
"S01";"Z01";"2017-10-24";"4.30";"27.35";"Conditions stables."
"S01";"Z01";"2017-10-25";"2.06";"16.57";"Variations mineures."
"S01";"Z01";"2017-10-26";"4.91";"21.16";"Journée représentative."
"S01";"Z01";"2017-10-27";"0.40";"18.88";"Variations mineures."
"S01";"Z01";"2017-10-28";"3.56";"14.29";"Conditions stables."
"S01";"Z01";"2017-10-29";"4.41";"20.04";"Variations mineures."
"S01";"Z01";"2017-10-30";"2.81";"18.99";"Variations mineures."
"S01";"Z01";"2017-10-31";"3.02";"10.02";"Conditions stables."
"S01";"Z02";"2017-05-01";"4.73";"18.84";"Variations mineures."
"S01";"Z02";"2017-05-02";"0.35";"26.94";"Variations mineures."
"S01";"Z02";"2017-05-03";"0.96";"27.28";"Variations mineures."
"S01";"Z02";"2017-05-04";"3.22";"21.72";"Conditions stables."
"S01";"Z02";"2017-05-05";"1.94";"17.30";"Variations mineures."
"S01";"Z02";"2017-05-06";"4.65";"16.82";"Journée représentative."
"S01";"Z02";"2017-05-07";"0.10";"25.74";"Variations mineures."
"S01";"Z02";"2017-05-08";"2.60";"12.07";"Variations mineures."
"S01";"Z02";"2017-05-09";"3.39";"22.46";"Variations mineures."
"S01";"Z02";"2017-05-10";"0.06";"10.31";"Journée représentative."
"S01";"Z02";"2017-05-11";"0.91";"16.07";"Conditions stables."
"S01";"Z02";"2017-05-12";"4.94";"24.28";"Journée représentative."
"S01";"Z02";"2017-05-13";"4.54";"14.93";"Variations mineures."
"S01";"Z02";"2017-05-14";"1.76";"15.80";"Variations mineures."
"S01";"Z02";"2017-05-15";"0.31";"22.91";"Variations mineures."
"S01";"Z02";"2017-05-16";"1.94";"24.26";"Conditions stables."
"S01";"Z02";"2017-05-17";"1.99";"16.66";"Variations mineures."
"S01";"Z02";"2017-05-18";"3.95";"22.85";"Variations mineures."
"S01";"Z02";"2017-05-19";"3.09";"20.94";"Journée représentative."
"S01";"Z02";"2017-05-20";"4.60";"26.47";"Variations mineures."
"S01";"Z02";"2017-05-21";"3.07";"28.49";"Journée représentative."
"S01";"Z02";"2017-05-22";"1.79";"11.10";"Journée représentative."
"S01";"Z02";"2017-05-23";"0.00";"25.54";"Variations mineures."
"S01";"Z02";"2017-05-24";"0.20";"17.09";"Variations mineures."
"S01";"Z02";"2017-05-25";"2.86";"27.46";"Journée représentative."
"S01";"Z02";"2017-05-26";"4.41";"13.13";"Variations mineures."
"S01";"Z02";"2017-05-27";"3.04";"10.47";"Conditions stables."
"S01";"Z02";"2017-05-28";"1.06";"28.65";"Journée représentative."
"S01";"Z02";"2017-05-29";"2.74";"16.24";"Variations mineures."
"S01";"Z02";"2017-05-30";"4.65";"15.35";"Journée représentative."
"S01";"Z02";"2017-05-31";"0.32";"14.05";"Conditions stables."
"S01";"Z02";"2017-06-01";"0.84";"10.86";"Journée représentative."
"S01";"Z02";"2017-06-02";"2.41";"14.45";"Journée représentative."
"S01";"Z02";"2017-06-03";"2.68";"26.91";"Variations mineures."
"S01";"Z02";"2017-06-04";"0.60";"18.04";"Journée représentative."
"S01";"Z02";"2017-06-05";"4.16";"23.96";"Journée représentative."
"S01";"Z02";"2017-06-06";"2.78";"25.59";"Variations mineures."
"S01";"Z02";"2017-06-07";"4.54";"17.89";"Conditions stables."
"S01";"Z02";"2017-06-08";"0.87";"28.30";"Variations mineures."
"S01";"Z02";"2017-06-09";"3.52";"15.40";"Conditions stables."
"S01";"Z02";"2017-06-10";"3.36";"13.87";"Conditions stables."
"S01";"Z02";"2017-06-11";"4.87";"23.33";"Journée représentative."
"S01";"Z02";"2017-06-12";"4.19";"23.37";"Variations mineures."
"S01";"Z02";"2017-06-13";"2.93";"23.76";"Journée représentative."
"S01";"Z02";"2017-06-14";"4.36";"10.57";"Journée représentative."
"S01";"Z02";"2017-06-15";"4.42";"28.66";"Variations mineures."
"S01";"Z02";"2017-06-16";"1.40";"15.04";"Conditions stables."
"S01";"Z02";"2017-06-17";"4.08";"27.99";"Conditions stables."
"S01";"Z02";"2017-06-18";"3.53";"14.98";"Variations mineures."
"S01";"Z02";"2017-06-19";"1.53";"20.04";"Journée représentative."
"S01";"Z02";"2017-06-20";"4.70";"19.39";"Journée représentative."
"S01";"Z02";"2017-06-21";"1.62";"13.01";"Conditions stables."
"S01";"Z02";"2017-06-22";"0.87";"27.98";"Conditions stables."
"S01";"Z02";"2017-06-23";"2.20";"17.44";"Journée représentative."
"S01";"Z02";"2017-06-24";"2.70";"13.66";"Variations mineures."
"S01";"Z02";"2017-06-25";"3.01";"25.87";"Conditions stables."
"S01";"Z02";"2017-06-26";"2.62";"29.97";"Journée représentative."
"S01";"Z02";"2017-06-27";"3.83";"12.92";"Journée représentative."
"S01";"Z02";"2017-06-28";"1.06";"10.82";"Variations mineures."
"S01";"Z02";"2017-06-29";"1.12";"17.22";"Journée représentative."
"S01";"Z02";"2017-06-30";"1.81";"27.72";"Variations mineures."
"S01";"Z02";"2017-07-01";"3.95";"21.73";"Conditions stables."
"S01";"Z02";"2017-07-02";"2.96";"16.63";"Conditions stables."
"S01";"Z02";"2017-07-03";"2.88";"21.51";"Variations mineures."
"S01";"Z02";"2017-07-04";"3.85";"10.93";"Conditions stables."
"S01";"Z02";"2017-07-05";"1.14";"16.63";"Variations mineures."
"S01";"Z02";"2017-07-06";"4.41";"22.13";"Journée représentative."
"S01";"Z02";"2017-07-07";"3.96";"29.03";"Variations mineures."
"S01";"Z02";"2017-07-08";"1.98";"22.08";"Conditions stables."
"S01";"Z02";"2017-07-09";"2.89";"15.75";"Variations mineures."
"S01";"Z02";"2017-07-10";"3.58";"12.03";"Variations mineures."
"S01";"Z02";"2017-07-11";"2.38";"24.40";"Conditions stables."
"S01";"Z02";"2017-07-12";"3.49";"29.13";"Journée représentative."
"S01";"Z02";"2017-07-13";"2.26";"29.34";"Journée représentative."
"S01";"Z02";"2017-07-14";"4.09";"16.29";"Variations mineures."
"S01";"Z02";"2017-07-15";"3.58";"21.14";"Journée représentative."
"S01";"Z02";"2017-07-16";"3.96";"11.44";"Conditions stables."
"S01";"Z02";"2017-07-17";"2.20";"24.77";"Journée représentative."
"S01";"Z02";"2017-07-18";"3.85";"28.37";"Conditions stables."
"S01";"Z02";"2017-07-19";"3.26";"26.51";"Variations mineures."
"S01";"Z02";"2017-07-20";"2.83";"19.19";"Journée représentative."
"S01";"Z02";"2017-07-21";"2.69";"22.98";"Journée représentative."
"S01";"Z02";"2017-07-22";"2.63";"29.99";"Conditions stables."
"S01";"Z02";"2017-07-23";"0.71";"15.13";"Variations mineures."
"S01";"Z02";"2017-07-24";"2.82";"24.96";"Variations mineures."
"S01";"Z02";"2017-07-25";"3.83";"13.22";"Variations mineures."
"S01";"Z02";"2017-07-26";"2.81";"24.36";"Conditions stables."
"S01";"Z02";"2017-07-27";"3.60";"27.41";"Variations mineures."
"S01";"Z02";"2017-07-28";"2.16";"13.16";"Conditions stables."
"S01";"Z02";"2017-07-29";"0.38";"18.25";"Journée représentative."
"S01";"Z02";"2017-07-30";"0.55";"16.06";"Journée représentative."
"S01";"Z02";"2017-07-31";"1.80";"19.41";"Variations mineures."
"S01";"Z02";"2017-08-01";"4.45";"23.93";"Journée représentative."
"S01";"Z02";"2017-08-02";"4.22";"12.90";"Conditions stables."
"S01";"Z02";"2017-08-03";"3.28";"20.17";"Conditions stables."
"S01";"Z02";"2017-08-04";"3.44";"14.79";"Variations mineures."
"S01";"Z02";"2017-08-05";"4.98";"16.47";"Variations mineures."
"S01";"Z02";"2017-08-06";"3.34";"16.70";"Conditions stables."
"S01";"Z02";"2017-08-07";"0.99";"28.34";"Variations mineures."
"S01";"Z02";"2017-08-08";"0.47";"29.94";"Journée représentative."
"S01";"Z02";"2017-08-09";"2.57";"25.88";"Journée représentative."
"S01";"Z02";"2017-08-10";"1.73";"17.02";"Variations mineures."
"S01";"Z02";"2017-08-11";"4.33";"10.13";"Variations mineures."
"S01";"Z02";"2017-08-12";"1.89";"25.44";"Conditions stables."
"S01";"Z02";"2017-08-13";"0.65";"29.16";"Variations mineures."
"S01";"Z02";"2017-08-14";"4.19";"23.69";"Journée représentative."
"S01";"Z02";"2017-08-15";"4.28";"17.51";"Journée représentative."
"S01";"Z02";"2017-08-16";"3.66";"28.16";"Variations mineures."
"S01";"Z02";"2017-08-17";"2.88";"22.83";"Variations mineures."
"S01";"Z02";"2017-08-18";"0.36";"28.37";"Journée représentative."
"S01";"Z02";"2017-08-19";"4.93";"12.41";"Conditions stables."
"S01";"Z02";"2017-08-20";"1.92";"14.87";"Variations mineures."
"S01";"Z02";"2017-08-21";"2.65";"15.71";"Journée représentative."
"S01";"Z02";"2017-08-22";"2.53";"14.96";"Variations mineures."
"S01";"Z02";"2017-08-23";"1.55";"10.26";"Variations mineures."
"S01";"Z02";"2017-08-24";"4.98";"21.75";"Conditions stables."
"S01";"Z02";"2017-08-25";"2.35";"10.31";"Conditions stables."
"S01";"Z02";"2017-08-26";"4.11";"24.41";"Variations mineures."
"S01";"Z02";"2017-08-27";"1.14";"22.81";"Variations mineures."
"S01";"Z02";"2017-08-28";"4.28";"14.08";"Journée représentative."
"S01";"Z02";"2017-08-29";"4.37";"13.14";"Variations mineures."
"S01";"Z02";"2017-08-30";"0.03";"12.97";"Journée représentative."
"S01";"Z02";"2017-08-31";"3.58";"20.93";"Variations mineures."
"S01";"Z02";"2017-09-01";"2.67";"29.38";"Conditions stables."
"S01";"Z02";"2017-09-02";"1.71";"16.28";"Conditions stables."
"S01";"Z02";"2017-09-03";"4.55";"19.56";"Conditions stables."
"S01";"Z02";"2017-09-04";"2.09";"26.75";"Variations mineures."
"S01";"Z02";"2017-09-05";"2.97";"25.48";"Variations mineures."
"S01";"Z02";"2017-09-06";"0.98";"29.18";"Journée représentative."
"S01";"Z02";"2017-09-07";"0.31";"25.22";"Conditions stables."
"S01";"Z02";"2017-09-08";"3.60";"15.79";"Conditions stables."
"S01";"Z02";"2017-09-09";"0.18";"21.09";"Variations mineures."
"S01";"Z02";"2017-09-10";"1.27";"24.66";"Variations mineures."
"S01";"Z02";"2017-09-11";"0.74";"20.84";"Journée représentative."
"S01";"Z02";"2017-09-12";"2.29";"29.27";"Variations mineures."
"S01";"Z02";"2017-09-13";"2.57";"19.72";"Variations mineures."
"S01";"Z02";"2017-09-14";"1.91";"28.58";"Variations mineures."
"S01";"Z02";"2017-09-15";"1.82";"26.94";"Variations mineures."
"S01";"Z02";"2017-09-16";"2.31";"28.95";"Conditions stables."
"S01";"Z02";"2017-09-17";"4.93";"23.38";"Conditions stables."
"S01";"Z02";"2017-09-18";"3.23";"25.88";"Journée représentative."
"S01";"Z02";"2017-09-19";"0.30";"29.71";"Variations mineures."
"S01";"Z02";"2017-09-20";"4.27";"11.92";"Variations mineures."
"S01";"Z02";"2017-09-21";"3.52";"25.91";"Journée représentative."
"S01";"Z02";"2017-09-22";"0.73";"12.19";"Journée représentative."
"S01";"Z02";"2017-09-23";"2.16";"25.05";"Variations mineures."
"S01";"Z02";"2017-09-24";"2.43";"21.54";"Variations mineures."
"S01";"Z02";"2017-09-25";"1.00";"25.97";"Journée représentative."
"S01";"Z02";"2017-09-26";"2.18";"27.42";"Journée représentative."
"S01";"Z02";"2017-09-27";"4.68";"21.19";"Variations mineures."
"S01";"Z02";"2017-09-28";"2.59";"13.33";"Variations mineures."
"S01";"Z02";"2017-09-29";"0.14";"12.77";"Conditions stables."
"S01";"Z02";"2017-09-30";"0.86";"11.24";"Variations mineures."
"S01";"Z02";"2017-10-01";"4.57";"12.72";"Variations mineures."
"S01";"Z02";"2017-10-02";"0.39";"17.49";"Variations mineures."
"S01";"Z02";"2017-10-03";"4.97";"10.40";"Journée représentative."
"S01";"Z02";"2017-10-04";"2.97";"22.25";"Conditions stables."
"S01";"Z02";"2017-10-05";"0.12";"28.64";"Journée représentative."
"S01";"Z02";"2017-10-06";"4.83";"23.30";"Conditions stables."
"S01";"Z02";"2017-10-07";"1.69";"19.46";"Journée représentative."
"S01";"Z02";"2017-10-08";"2.81";"20.75";"Journée représentative."
"S01";"Z02";"2017-10-09";"0.55";"14.49";"Journée représentative."
"S01";"Z02";"2017-10-10";"0.01";"22.12";"Variations mineures."
"S01";"Z02";"2017-10-11";"1.52";"15.49";"Variations mineures."
"S01";"Z02";"2017-10-12";"1.53";"26.42";"Journée représentative."
"S01";"Z02";"2017-10-13";"1.30";"10.98";"Journée représentative."
"S01";"Z02";"2017-10-14";"2.52";"15.22";"Conditions stables."
"S01";"Z02";"2017-10-15";"4.00";"19.79";"Variations mineures."
"S01";"Z02";"2017-10-16";"0.50";"24.62";"Variations mineures."
"S01";"Z02";"2017-10-17";"0.38";"10.99";"Variations mineures."
"S01";"Z02";"2017-10-18";"2.88";"25.96";"Conditions stables."
"S01";"Z02";"2017-10-19";"1.66";"28.92";"Conditions stables."
"S01";"Z02";"2017-10-20";"4.24";"15.87";"Variations mineures."
"S01";"Z02";"2017-10-21";"0.66";"22.39";"Conditions stables."
"S01";"Z02";"2017-10-22";"4.68";"23.68";"Variations mineures."
"S01";"Z02";"2017-10-23";"4.20";"27.98";"Conditions stables."
"S01";"Z02";"2017-10-24";"3.02";"16.50";"Variations mineures."
"S01";"Z02";"2017-10-25";"3.44";"14.30";"Conditions stables."
"S01";"Z02";"2017-10-26";"2.19";"22.56";"Journée représentative."
"S01";"Z02";"2017-10-27";"2.35";"17.80";"Journée représentative."
"S01";"Z02";"2017-10-28";"3.58";"21.29";"Variations mineures."
"S01";"Z02";"2017-10-29";"4.67";"26.07";"Conditions stables."
"S01";"Z02";"2017-10-30";"3.11";"15.27";"Variations mineures."
"S01";"Z02";"2017-10-31";"2.22";"19.49";"Conditions stables."
