siteid;zoneid;date;temperaturemin;temperaturemax;note
S01;Z01;2017-06-18;8.74;25.24;Variations mineures.
S01;Z01;2017-06-19;10.46;29.74;Variations mineures.
S01;Z01;2017-06-20;11.75;32.48;Journée représentative.
S01;Z01;2017-06-21;5.43;22.63;Journée représentative.
S01;Z01;2017-06-22;14.61;20.80;Variations mineures.
S01;Z01;2017-06-23;14.84;29.83;Conditions stables.
S01;Z01;2017-06-24;5.32;21.80;Journée représentative.
S01;Z01;2017-06-25;5.49;34.54;Conditions stables.
S01;Z01;2017-06-26;9.07;26.14;Journée représentative.
S01;Z01;2017-06-27;13.03;20.90;Conditions stables.
S01;Z01;2017-06-28;10.60;30.78;Variations mineures.
S01;Z01;2017-06-29;11.88;31.67;Variations mineures.
S01;Z01;2017-06-30;6.65;21.50;Journée représentative.
S01;Z01;2017-07-01;14.61;27.54;Journée représentative.
S01;Z01;2017-07-02;5.57;24.12;Journée représentative.
S01;Z01;2017-07-03;5.98;26.68;Variations mineures.
S01;Z01;2017-07-04;8.60;20.84;Journée représentative.
S01;Z01;2017-07-05;5.51;31.62;Conditions stables.
S01;Z01;2017-07-06;11.11;23.15;Variations mineures.
S01;Z01;2017-07-07;5.37;26.99;Conditions stables.
S01;Z01;2017-07-08;5.67;24.83;Variations mineures.
S01;Z01;2017-07-09;6.21;26.17;Journée représentative.
S01;Z01;2017-07-10;11.29;32.35;Variations mineures.
S01;Z01;2017-07-11;14.04;22.33;Journée représentative.
S01;Z01;2017-07-12;8.75;25.77;Variations mineures.
S01;Z01;2017-07-13;5.25;23.05;Variations mineures.
S01;Z01;2017-07-14;6.78;20.52;Journée représentative.
S01;Z01;2017-07-15;13.49;33.53;Variations mineures.
S01;Z01;2017-07-16;11.55;29.52;Variations mineures.
S01;Z01;2017-07-17;5.82;29.45;Journée représentative.
S01;Z01;2017-07-18;10.24;25.72;Journée représentative.
S01;Z01;2017-07-19;8.24;20.71;Conditions stables.
S01;Z01;2017-07-20;13.60;29.69;Journée représentative.
S01;Z01;2017-07-21;5.32;21.69;Journée représentative.
S01;Z01;2017-07-22;6.03;22.46;Variations mineures.
S01;Z01;2017-07-23;10.63;22.78;Variations mineures.
S01;Z01;2017-07-24;5.88;21.38;Conditions stables.
S01;Z01;2017-07-25;6.79;25.54;Conditions stables.
S01;Z01;2017-07-26;14.88;21.12;Variations mineures.
S01;Z01;2017-07-27;14.66;21.91;Journée représentative.
S01;Z01;2017-07-28;5.37;20.17;Journée représentative.
S01;Z01;2017-07-29;9.60;31.53;Journée représentative.
S01;Z01;2017-07-30;5.66;20.71;Variations mineures.
S01;Z01;2017-07-31;9.62;23.18;Conditions stables.
S01;Z01;2017-08-01;14.62;26.92;Variations mineures.
S01;Z01;2017-08-02;8.48;29.90;Conditions stables.
S01;Z01;2017-08-03;14.34;33.58;Journée représentative.
S01;Z01;2017-08-04;5.88;30.34;Conditions stables.
S01;Z01;2017-08-05;7.12;34.17;Journée représentative.
S01;Z01;2017-08-06;13.34;27.76;Variations mineures.
S01;Z01;2017-08-07;9.26;23.86;Variations mineures.
S01;Z01;2017-08-08;6.42;30.43;Variations mineures.
S01;Z01;2017-08-09;9.40;22.70;Journée représentative.
S01;Z01;2017-08-10;12.66;34.39;Variations mineures.
S01;Z01;2017-08-11;13.91;34.72;Conditions stables.
S01;Z01;2017-08-12;5.17;26.80;Variations mineures.
S01;Z01;2017-08-13;11.44;24.45;Conditions stables.
S01;Z01;2017-08-14;10.79;26.25;Conditions stables.
S01;Z01;2017-08-15;9.27;28.11;Conditions stables.
S01;Z01;2017-08-16;13.60;34.80;Journée représentative.
S01;Z01;2017-08-17;12.08;34.75;Conditions stables.
S01;Z01;2017-08-18;8.37;22.81;Conditions stables.
S01;Z01;2017-08-19;5.87;20.35;Variations mineures.
S01;Z01;2017-08-20;5.34;20.19;Variations mineures.
S01;Z01;2017-08-21;10.43;25.06;Journée représentative.
S01;Z01;2017-08-22;12.18;28.06;Variations mineures.
S01;Z01;2017-08-23;12.04;23.77;Journée représentative.
S01;Z01;2017-08-24;7.28;20.57;Variations mineures.
S01;Z01;2017-08-25;6.30;33.36;Conditions stables.
S01;Z01;2017-08-26;9.23;29.36;Variations mineures.
S01;Z01;2017-08-27;10.07;21.72;Variations mineures.
S01;Z01;2017-08-28;11.04;27.39;Conditions stables.
S01;Z01;2017-08-29;8.63;28.51;Variations mineures.
S01;Z01;2017-08-30;7.94;20.45;Journée représentative.
S01;Z01;2017-08-31;5.61;34.80;Variations mineures.
S01;Z01;2017-09-01;12.30;29.87;Conditions stables.
S01;Z01;2017-09-02;13.05;27.84;Journée représentative.
S01;Z01;2017-09-03;8.59;24.63;Variations mineures.
S01;Z01;2017-09-04;10.80;32.75;Variations mineures.
S01;Z01;2017-09-05;14.86;22.96;Variations mineures.
S01;Z01;2017-09-06;10.92;25.09;Variations mineures.
S01;Z01;2017-09-07;11.51;33.86;Journée représentative.
S01;Z01;2017-09-08;7.53;33.06;Journée représentative.
S01;Z01;2017-09-09;11.16;29.31;Variations mineures.
S01;Z01;2017-09-10;13.08;25.17;Variations mineures.
S01;Z01;2017-09-11;14.54;24.47;Journée représentative.
S01;Z01;2017-09-12;11.18;21.82;Variations mineures.
S01;Z01;2017-09-13;14.34;21.02;Journée représentative.
S01;Z01;2017-09-14;11.65;20.27;Variations mineures.
S01;Z01;2017-09-15;12.02;33.59;Conditions stables.
S01;Z01;2017-09-16;10.47;34.94;Variations mineures.
S01;Z01;2017-09-17;8.68;27.03;Variations mineures.
S01;Z01;2017-09-18;14.18;28.24;Variations mineures.
S01;Z01;2017-09-19;7.63;21.78;Journée représentative.
S01;Z01;2017-09-20;14.90;32.00;Variations mineures.
S01;Z01;2017-09-21;10.20;21.97;Variations mineures.
S01;Z01;2017-09-22;9.63;20.91;Journée représentative.
S01;Z01;2017-09-23;13.05;29.77;Variations mineures.
S01;Z01;2017-09-24;12.90;33.59;Journée représentative.
S01;Z01;2017-09-25;8.88;28.13;Conditions stables.
S01;Z01;2017-09-26;10.43;29.42;Variations mineures.
S01;Z01;2017-09-27;5.22;31.64;Journée représentative.
S01;Z01;2017-09-28;14.12;22.22;Conditions stables.
S01;Z01;2017-09-29;7.53;23.19;Conditions stables.
S01;Z01;2017-09-30;5.89;31.34;Journée représentative.
S01;Z01;2017-10-01;5.90;34.41;Variations mineures.
S01;Z01;2017-10-02;9.59;21.36;Conditions stables.
S01;Z01;2017-10-03;11.70;30.23;Journée représentative.
S01;Z01;2017-10-04;11.54;33.24;Variations mineures.
S01;Z01;2017-10-05;7.36;26.72;Journée représentative.
S01;Z01;2017-10-06;11.91;23.06;Journée représentative.
S01;Z01;2017-10-07;6.61;26.82;Conditions stables.
S01;Z01;2017-10-08;11.97;27.82;Conditions stables.
S01;Z01;2017-10-09;7.59;25.86;Journée représentative.
S01;Z01;2017-10-10;12.93;29.72;Variations mineures.
S01;Z01;2017-10-11;13.69;22.37;Journée représentative.
S01;Z01;2017-10-12;8.16;24.61;Variations mineures.
S01;Z01;2017-10-13;6.47;31.34;Conditions stables.
S01;Z01;2017-10-14;7.77;28.75;Variations mineures.
S01;Z01;2017-10-15;5.35;26.61;Variations mineures.
S01;Z01;2017-10-16;12.23;32.47;Variations mineures.
S01;Z01;2017-10-17;10.33;32.84;Variations mineures.
S01;Z01;2017-10-18;10.39;29.55;Conditions stables.
S01;Z01;2017-10-19;12.37;21.93;Variations mineures.
S01;Z01;2017-10-20;7.97;30.53;Journée représentative.
S01;Z01;2017-10-21;6.41;22.40;Conditions stables.
S01;Z01;2017-10-22;10.50;32.66;Variations mineures.
S01;Z01;2017-10-23;7.32;32.00;Conditions stables.
S01;Z01;2017-10-24;7.90;20.95;Variations mineures.
S01;Z01;2017-10-25;12.69;25.32;Conditions stables.
S01;Z01;2017-10-26;10.74;24.79;Variations mineures.
S01;Z01;2017-10-27;12.79;24.86;Variations mineures.
S01;Z01;2017-10-28;13.57;28.80;Variations mineures.
S01;Z01;2017-10-29;14.54;26.96;Variations mineures.
S01;Z01;2017-10-30;5.17;28.80;Variations mineures.
S01;Z01;2017-10-31;9.04;24.61;Journée représentative.
S01;Z02;2017-05-01;7.16;20.91;Variations mineures.
S01;Z02;2017-05-02;13.40;27.89;Variations mineures.
S01;Z02;2017-05-03;11.85;24.27;Conditions stables.
S01;Z02;2017-05-04;10.63;20.31;Variations mineures.
S01;Z02;2017-05-05;12.90;33.73;Variations mineures.
S01;Z02;2017-05-06;14.75;34.74;Variations mineures.
S01;Z02;2017-05-07;14.20;21.97;Journée représentative.
S01;Z02;2017-05-08;5.52;24.92;Conditions stables.
S01;Z02;2017-05-09;11.80;34.82;Journée représentative.
S01;Z02;2017-05-10;13.68;22.95;Variations mineures.
S01;Z02;2017-05-11;5.69;30.13;Conditions stables.
S01;Z02;2017-05-12;14.07;34.46;Variations mineures.
S01;Z02;2017-05-13;9.40;20.73;Conditions stables.
S01;Z02;2017-05-14;10.10;21.08;Journée représentative.
S01;Z02;2017-05-15;8.48;20.14;Variations mineures.
S01;Z02;2017-05-16;12.50;26.93;Conditions stables.
S01;Z02;2017-05-17;13.63;33.60;Conditions stables.
S01;Z02;2017-05-18;12.05;25.99;Conditions stables.
S01;Z02;2017-05-19;9.91;23.97;Journée représentative.
S01;Z02;2017-05-20;11.47;23.97;Conditions stables.
S01;Z02;2017-05-21;7.24;29.42;Variations mineures.
S01;Z02;2017-05-22;5.47;24.22;Conditions stables.
S01;Z02;2017-05-23;5.86;24.62;Variations mineures.
S01;Z02;2017-05-24;10.59;33.37;Variations mineures.
S01;Z02;2017-05-25;10.75;24.61;Journée représentative.
S01;Z02;2017-05-26;6.29;23.19;Variations mineures.
S01;Z02;2017-05-27;14.53;31.30;Journée représentative.
S01;Z02;2017-05-28;7.72;26.82;Variations mineures.
S01;Z02;2017-05-29;13.82;21.43;Conditions stables.
S01;Z02;2017-05-30;11.55;23.50;Conditions stables.
S01;Z02;2017-05-31;7.64;29.85;Variations mineures.
S01;Z02;2017-06-01;9.59;31.48;Variations mineures.
S01;Z02;2017-06-02;7.05;22.70;Journée représentative.
S01;Z02;2017-06-03;9.56;24.78;Variations mineures.
S01;Z02;2017-06-04;14.44;32.59;Journée représentative.
S01;Z02;2017-06-05;8.42;22.55;Variations mineures.
S01;Z02;2017-06-06;14.93;27.67;Variations mineures.
S01;Z02;2017-06-07;6.24;20.65;Variations mineures.
S01;Z02;2017-06-08;12.42;22.08;Journée représentative.
S01;Z02;2017-06-09;13.83;29.51;Variations mineures.
S01;Z02;2017-06-10;13.63;26.61;Journée représentative.
S01;Z02;2017-06-11;12.25;29.32;Variations mineures.
S01;Z02;2017-06-12;10.87;20.68;Journée représentative.
S01;Z02;2017-06-13;13.02;27.27;Variations mineures.
S01;Z02;2017-06-14;13.02;22.31;Journée représentative.
S01;Z02;2017-06-15;5.38;29.50;Conditions stables.
S01;Z02;2017-06-16;12.00;27.63;Conditions stables.
S01;Z02;2017-06-17;7.73;25.95;Variations mineures.
S01;Z02;2017-06-18;5.14;20.46;Journée représentative.
S01;Z02;2017-06-19;6.00;25.96;Variations mineures.
S01;Z02;2017-06-20;9.73;30.32;Variations mineures.
S01;Z02;2017-06-21;9.81;34.58;Variations mineures.
S01;Z02;2017-06-22;13.58;31.83;Variations mineures.
S01;Z02;2017-06-23;13.50;27.38;Journée représentative.
S01;Z02;2017-06-24;7.81;29.65;Conditions stables.
S01;Z02;2017-06-25;9.63;34.11;Journée représentative.
S01;Z02;2017-06-26;5.74;26.93;Conditions stables.
S01;Z02;2017-06-27;11.30;24.81;Variations mineures.
S01;Z02;2017-06-28;10.12;31.09;Variations mineures.
S01;Z02;2017-06-29;10.04;28.01;Journée représentative.
S01;Z02;2017-06-30;14.11;29.81;Variations mineures.
S01;Z02;2017-07-01;7.96;31.70;Journée représentative.
S01;Z02;2017-07-02;11.13;25.73;Journée représentative.
S01;Z02;2017-07-03;11.39;24.44;Variations mineures.
S01;Z02;2017-07-04;5.95;25.16;Conditions stables.
S01;Z02;2017-07-05;7.45;34.32;Journée représentative.
S01;Z02;2017-07-06;6.27;28.69;Conditions stables.
S01;Z02;2017-07-07;14.47;33.91;Variations mineures.
S01;Z02;2017-07-08;12.32;28.99;Journée représentative.
S01;Z02;2017-07-09;13.43;25.55;Conditions stables.
S01;Z02;2017-07-10;13.55;34.52;Journée représentative.
S01;Z02;2017-07-11;11.79;25.79;Variations mineures.
S01;Z02;2017-07-12;10.62;21.12;Journée représentative.
S01;Z02;2017-07-13;8.15;34.50;Journée représentative.
S01;Z02;2017-07-14;5.98;29.23;Variations mineures.
S01;Z02;2017-07-15;10.89;33.04;Variations mineures.
S01;Z02;2017-07-16;8.08;21.02;Variations mineures.
S01;Z02;2017-07-17;14.87;23.06;Conditions stables.
S01;Z02;2017-07-18;7.50;33.74;Journée représentative.
S01;Z02;2017-07-19;12.55;26.91;Journée représentative.
S01;Z02;2017-07-20;5.29;20.55;Variations mineures.
S01;Z02;2017-07-21;11.89;30.67;Variations mineures.
S01;Z02;2017-07-22;10.18;31.76;Journée représentative.
S01;Z02;2017-07-23;13.60;34.24;Journée représentative.
S01;Z02;2017-07-24;11.52;21.98;Variations mineures.
S01;Z02;2017-07-25;6.56;32.38;Variations mineures.
S01;Z02;2017-07-26;9.86;29.80;Variations mineures.
S01;Z02;2017-07-27;14.96;34.25;Variations mineures.
S01;Z02;2017-07-28;7.97;27.01;Journée représentative.
S01;Z02;2017-07-29;12.18;20.54;Journée représentative.
S01;Z02;2017-07-30;14.52;34.28;Variations mineures.
S01;Z02;2017-07-31;7.14;21.79;Variations mineures.
S01;Z02;2017-08-01;10.00;32.14;Variations mineures.
S01;Z02;2017-08-02;7.27;33.47;Conditions stables.
S01;Z02;2017-08-03;9.79;34.10;Journée représentative.
S01;Z02;2017-08-04;8.19;32.67;Conditions stables.
S01;Z02;2017-08-05;11.30;22.65;Variations mineures.
S01;Z02;2017-08-06;9.15;24.13;Conditions stables.
S01;Z02;2017-08-07;8.64;30.60;Conditions stables.
S01;Z02;2017-08-08;14.33;31.72;Conditions stables.
S01;Z02;2017-08-09;11.20;21.97;Variations mineures.
S01;Z02;2017-08-10;5.05;25.53;Journée représentative.
S01;Z02;2017-08-11;8.62;22.09;Variations mineures.
S01;Z02;2017-08-12;8.64;30.74;Conditions stables.
S01;Z02;2017-08-13;13.36;22.17;Conditions stables.
S01;Z02;2017-08-14;6.53;20.00;Journée représentative.
S01;Z02;2017-08-15;5.57;29.94;Journée représentative.
S01;Z02;2017-08-16;12.50;27.62;Journée représentative.
S01;Z02;2017-08-17;12.20;32.75;Journée représentative.
S01;Z02;2017-08-18;6.32;24.55;Journée représentative.
S01;Z02;2017-08-19;5.50;24.84;Conditions stables.
S01;Z02;2017-08-20;8.70;27.92;Variations mineures.
S01;Z02;2017-08-21;9.28;29.47;Conditions stables.
S01;Z02;2017-08-22;5.52;33.15;Conditions stables.
S01;Z02;2017-08-23;8.23;21.50;Variations mineures.
S01;Z02;2017-08-24;9.14;25.28;Conditions stables.
S01;Z02;2017-08-25;6.19;31.86;Variations mineures.
S01;Z02;2017-08-26;8.83;29.97;Journée représentative.
S01;Z02;2017-08-27;9.02;33.55;Variations mineures.
S01;Z02;2017-08-28;10.62;32.76;Journée représentative.
S01;Z02;2017-08-29;8.91;33.89;Conditions stables.
S01;Z02;2017-08-30;14.46;32.89;Conditions stables.
S01;Z02;2017-08-31;5.65;33.20;Conditions stables.
S01;Z02;2017-09-01;13.21;33.89;Journée représentative.
S01;Z02;2017-09-02;7.29;26.16;Variations mineures.
S01;Z02;2017-09-03;7.70;21.06;Variations mineures.
S01;Z02;2017-09-04;9.03;28.86;Conditions stables.
S01;Z02;2017-09-05;6.70;31.07;Variations mineures.
S01;Z02;2017-09-06;5.44;34.04;Variations mineures.
S01;Z02;2017-09-07;14.13;21.94;Variations mineures.
S01;Z02;2017-09-08;12.71;24.62;Journée représentative.
S01;Z02;2017-09-09;13.55;32.86;Variations mineures.
S01;Z02;2017-09-10;14.30;24.17;Conditions stables.
S01;Z02;2017-09-11;14.80;29.87;Variations mineures.
S01;Z02;2017-09-12;8.68;33.30;Variations mineures.
S01;Z02;2017-09-13;5.29;20.12;Journée représentative.
S01;Z02;2017-09-14;11.40;20.62;Journée représentative.
S01;Z02;2017-09-15;13.62;25.78;Conditions stables.
S01;Z02;2017-09-16;6.62;27.41;Variations mineures.
S01;Z02;2017-09-17;8.64;21.05;Conditions stables.
S01;Z02;2017-09-18;14.11;28.51;Conditions stables.
S01;Z02;2017-09-19;7.44;25.74;Variations mineures.
S01;Z02;2017-09-20;5.90;33.36;Variations mineures.
S01;Z02;2017-09-21;10.13;25.93;Variations mineures.
S01;Z02;2017-09-22;14.97;26.30;Journée représentative.
S01;Z02;2017-09-23;12.86;28.07;Variations mineures.
S01;Z02;2017-09-24;13.87;25.40;Journée représentative.
S01;Z02;2017-09-25;14.10;33.34;Variations mineures.
S01;Z02;2017-09-26;10.51;26.32;Variations mineures.
S01;Z02;2017-09-27;9.90;24.03;Conditions stables.
S01;Z02;2017-09-28;11.98;29.46;Variations mineures.
S01;Z02;2017-09-29;7.66;34.80;Variations mineures.
S01;Z02;2017-09-30;8.13;33.80;Variations mineures.
S01;Z02;2017-10-01;10.61;20.53;Journée représentative.
S01;Z02;2017-10-02;8.50;30.81;Variations mineures.
S01;Z02;2017-10-03;12.03;34.77;Variations mineures.
S01;Z02;2017-10-04;11.27;24.51;Journée représentative.
S01;Z02;2017-10-05;6.84;31.73;Variations mineures.
S01;Z02;2017-10-06;9.33;30.74;Variations mineures.
S01;Z02;2017-10-07;13.53;32.04;Variations mineures.
S01;Z02;2017-10-08;14.44;20.30;Variations mineures.
S01;Z02;2017-10-09;5.26;33.02;Variations mineures.
S01;Z02;2017-10-10;13.55;20.27;Conditions stables.
S01;Z02;2017-10-11;14.53;24.76;Journée représentative.
S01;Z02;2017-10-12;10.52;32.31;Conditions stables.
S01;Z02;2017-10-13;10.20;24.55;Variations mineures.
S01;Z02;2017-10-14;5.64;20.07;Journée représentative.
S01;Z02;2017-10-15;9.86;29.02;Conditions stables.
S01;Z02;2017-10-16;12.02;33.80;Conditions stables.
S01;Z02;2017-10-17;13.87;24.48;Variations mineures.
S01;Z02;2017-10-18;5.55;31.44;Conditions stables.
S01;Z02;2017-10-19;12.24;22.34;Variations mineures.
S01;Z02;2017-10-20;11.84;27.51;Conditions stables.
S01;Z02;2017-10-21;7.12;33.76;Conditions stables.
S01;Z02;2017-10-22;14.56;33.00;Conditions stables.
S01;Z02;2017-10-23;7.65;20.13;Variations mineures.
S01;Z02;2017-10-24;8.80;21.98;Journée représentative.
S01;Z02;2017-10-25;6.77;34.16;Variations mineures.
S01;Z02;2017-10-26;6.30;30.31;Journée représentative.
S01;Z02;2017-10-27;10.97;28.26;Variations mineures.
S01;Z02;2017-10-28;12.73;33.02;Journée représentative.
S01;Z02;2017-10-29;8.26;32.88;Variations mineures.
S01;Z02;2017-10-30;8.22;21.32;Journée représentative.
S01;Z02;2017-10-31;7.61;34.94;Variations mineures.
