siteid;zoneid;date;humiditemin;humiditemax;note
S01;Z01;2017-06-24;45.68;79.95;Journée représentative.
S01;Z01;2017-06-25;30.21;88.69;Variations mineures.
S01;Z01;2017-06-26;47.91;79.48;Conditions stables.
S01;Z01;2017-06-27;49.76;77.34;Conditions stables.
S01;Z01;2017-06-28;36.16;79.96;Conditions stables.
S01;Z01;2017-06-29;33.05;75.69;Journée représentative.
S01;Z01;2017-06-30;59.09;86.83;Journée représentative.
S01;Z01;2017-07-01;40.95;88.98;Variations mineures.
S01;Z01;2017-07-02;41.31;87.47;Variations mineures.
S01;Z01;2017-07-03;48.83;84.23;Journée représentative.
S01;Z01;2017-07-04;36.18;75.05;Variations mineures.
S01;Z01;2017-07-05;46.85;87.85;Variations mineures.
S01;Z01;2017-07-06;44.34;82.39;Variations mineures.
S01;Z01;2017-07-07;37.23;83.33;Variations mineures.
S01;Z01;2017-07-08;53.89;88.84;Journée représentative.
S01;Z01;2017-07-09;44.10;85.16;Conditions stables.
S01;Z01;2017-07-10;35.49;78.83;Variations mineures.
S01;Z01;2017-07-11;51.13;79.06;Variations mineures.
S01;Z01;2017-07-12;44.28;82.39;Conditions stables.
S01;Z01;2017-07-13;40.02;80.28;Variations mineures.
S01;Z01;2017-07-14;47.01;81.83;Conditions stables.
S01;Z01;2017-07-15;59.16;72.85;Conditions stables.
S01;Z01;2017-07-16;43.89;74.11;Variations mineures.
S01;Z01;2017-07-17;43.83;86.18;Variations mineures.
S01;Z01;2017-07-18;45.46;72.25;Variations mineures.
S01;Z01;2017-07-19;42.64;85.76;Conditions stables.
S01;Z01;2017-07-20;55.33;85.71;Variations mineures.
S01;Z01;2017-07-21;30.18;71.80;Conditions stables.
S01;Z01;2017-07-22;40.70;71.94;Conditions stables.
S01;Z01;2017-07-23;51.98;84.57;Journée représentative.
S01;Z01;2017-07-24;49.75;89.36;Variations mineures.
S01;Z01;2017-07-25;58.52;89.50;Variations mineures.
S01;Z01;2017-07-26;48.46;83.41;Conditions stables.
S01;Z01;2017-07-27;42.02;87.11;Variations mineures.
S01;Z01;2017-07-28;49.07;78.09;Conditions stables.
S01;Z01;2017-07-29;57.54;88.18;Conditions stables.
S01;Z01;2017-07-30;46.20;80.11;Journée représentative.
S01;Z01;2017-07-31;31.37;77.21;Journée représentative.
S01;Z01;2017-08-01;36.55;84.84;Conditions stables.
S01;Z01;2017-08-02;33.10;85.86;Variations mineures.
S01;Z01;2017-08-03;54.50;75.62;Variations mineures.
S01;Z01;2017-08-04;46.95;88.20;Journée représentative.
S01;Z01;2017-08-05;51.98;86.31;Journée représentative.
S01;Z01;2017-08-06;33.27;73.96;Variations mineures.
S01;Z01;2017-08-07;34.85;74.52;Variations mineures.
S01;Z01;2017-08-08;31.67;77.37;Variations mineures.
S01;Z01;2017-08-09;58.77;75.82;Variations mineures.
S01;Z01;2017-08-10;46.35;85.06;Journée représentative.
S01;Z01;2017-08-11;52.11;82.70;Journée représentative.
S01;Z01;2017-08-12;48.10;81.85;Variations mineures.
S01;Z01;2017-08-13;36.17;77.23;Variations mineures.
S01;Z01;2017-08-14;34.50;78.79;Journée représentative.
S01;Z01;2017-08-15;39.62;75.49;Variations mineures.
S01;Z01;2017-08-16;33.50;89.63;Variations mineures.
S01;Z01;2017-08-17;33.76;71.18;Journée représentative.
S01;Z01;2017-08-18;57.06;76.04;Variations mineures.
S01;Z01;2017-08-19;49.58;88.77;Journée représentative.
S01;Z01;2017-08-20;57.79;75.54;Variations mineures.
S01;Z01;2017-08-21;58.16;83.48;Conditions stables.
S01;Z01;2017-08-22;56.16;74.54;Journée représentative.
S01;Z01;2017-08-23;57.97;75.85;Conditions stables.
S01;Z01;2017-08-24;47.16;71.25;Journée représentative.
S01;Z01;2017-08-25;55.32;79.40;Journée représentative.
S01;Z01;2017-08-26;57.17;84.24;Variations mineures.
S01;Z01;2017-08-27;51.37;75.47;Variations mineures.
S01;Z01;2017-08-28;54.62;89.09;Variations mineures.
S01;Z01;2017-08-29;35.02;87.73;Variations mineures.
S01;Z01;2017-08-30;45.22;82.77;Journée représentative.
S01;Z01;2017-08-31;33.02;80.60;Variations mineures.
S01;Z01;2017-09-01;39.15;80.97;Variations mineures.
S01;Z01;2017-09-02;35.51;80.75;Journée représentative.
S01;Z01;2017-09-03;34.56;71.89;Variations mineures.
S01;Z01;2017-09-04;52.34;74.81;Journée représentative.
S01;Z01;2017-09-05;48.85;80.19;Journée représentative.
S01;Z01;2017-09-06;33.51;70.86;Variations mineures.
S01;Z01;2017-09-07;39.93;72.89;Conditions stables.
S01;Z01;2017-09-08;54.83;78.75;Journée représentative.
S01;Z01;2017-09-09;39.04;89.38;Variations mineures.
S01;Z01;2017-09-10;42.77;77.44;Journée représentative.
S01;Z01;2017-09-11;59.47;87.83;Conditions stables.
S01;Z01;2017-09-12;32.57;76.46;Journée représentative.
S01;Z01;2017-09-13;43.25;87.04;Variations mineures.
S01;Z01;2017-09-14;57.64;83.67;Variations mineures.
S01;Z01;2017-09-15;54.31;82.22;Conditions stables.
S01;Z01;2017-09-16;32.40;81.29;Variations mineures.
S01;Z01;2017-09-17;46.22;84.41;Journée représentative.
S01;Z01;2017-09-18;59.77;82.88;Variations mineures.
S01;Z01;2017-09-19;47.13;75.03;Journée représentative.
S01;Z01;2017-09-20;59.26;78.23;Variations mineures.
S01;Z01;2017-09-21;40.32;70.80;Journée représentative.
S01;Z01;2017-09-22;48.84;79.07;Journée représentative.
S01;Z01;2017-09-23;53.32;89.29;Journée représentative.
S01;Z01;2017-09-24;47.91;75.84;Conditions stables.
S01;Z01;2017-09-25;59.90;87.21;Journée représentative.
S01;Z01;2017-09-26;39.80;86.12;Journée représentative.
S01;Z01;2017-09-27;47.29;84.96;Variations mineures.
S01;Z01;2017-09-28;46.58;80.95;Conditions stables.
S01;Z01;2017-09-29;31.99;85.34;Conditions stables.
S01;Z01;2017-09-30;50.02;81.59;Variations mineures.
S01;Z01;2017-10-01;55.41;80.32;Variations mineures.
S01;Z01;2017-10-02;46.31;79.37;Variations mineures.
S01;Z01;2017-10-03;41.07;82.40;Variations mineures.
S01;Z01;2017-10-04;58.03;89.02;Variations mineures.
S01;Z01;2017-10-05;53.79;77.18;Journée représentative.
S01;Z01;2017-10-06;57.31;79.47;Conditions stables.
S01;Z01;2017-10-07;50.14;85.93;Variations mineures.
S01;Z01;2017-10-08;47.81;88.64;Conditions stables.
S01;Z01;2017-10-09;31.86;70.49;Variations mineures.
S01;Z01;2017-10-10;57.02;76.37;Conditions stables.
S01;Z01;2017-10-11;58.52;84.59;Variations mineures.
S01;Z01;2017-10-12;39.27;76.94;Variations mineures.
S01;Z01;2017-10-13;32.02;89.81;Conditions stables.
S01;Z01;2017-10-14;49.11;88.49;Journée représentative.
S01;Z01;2017-10-15;37.25;75.22;Conditions stables.
S01;Z01;2017-10-16;45.92;75.40;Conditions stables.
S01;Z01;2017-10-17;45.36;79.22;Variations mineures.
S01;Z01;2017-10-18;30.22;76.16;Journée représentative.
S01;Z01;2017-10-19;57.17;77.43;Journée représentative.
S01;Z01;2017-10-20;40.34;89.21;Variations mineures.
S01;Z01;2017-10-21;49.94;79.40;Variations mineures.
S01;Z01;2017-10-22;41.34;85.97;Journée représentative.
S01;Z01;2017-10-23;36.15;76.35;Journée représentative.
S01;Z01;2017-10-24;48.19;89.19;Variations mineures.
S01;Z01;2017-10-25;41.78;79.10;Journée représentative.
S01;Z01;2017-10-26;48.75;81.14;Variations mineures.
S01;Z01;2017-10-27;35.47;88.75;Variations mineures.
S01;Z01;2017-10-28;43.96;84.77;Conditions stables.
S01;Z01;2017-10-29;35.53;81.67;Variations mineures.
S01;Z01;2017-10-30;58.44;70.33;Conditions stables.
S01;Z01;2017-10-31;51.03;81.96;Variations mineures.
S01;Z02;2017-05-01;53.60;78.36;Conditions stables.
S01;Z02;2017-05-02;45.33;88.72;Journée représentative.
S01;Z02;2017-05-03;39.46;78.70;Conditions stables.
S01;Z02;2017-05-04;45.32;80.88;Variations mineures.
S01;Z02;2017-05-05;55.06;78.51;Conditions stables.
S01;Z02;2017-05-06;55.27;78.41;Variations mineures.
S01;Z02;2017-05-07;49.97;81.42;Variations mineures.
S01;Z02;2017-05-08;40.76;79.74;Variations mineures.
S01;Z02;2017-05-09;53.21;79.34;Journée représentative.
S01;Z02;2017-05-10;45.81;82.77;Journée représentative.
S01;Z02;2017-05-11;46.61;71.56;Journée représentative.
S01;Z02;2017-05-12;52.23;78.84;Variations mineures.
S01;Z02;2017-05-13;48.27;84.16;Conditions stables.
S01;Z02;2017-05-14;49.88;80.86;Variations mineures.
S01;Z02;2017-05-15;39.30;70.43;Variations mineures.
S01;Z02;2017-05-16;37.13;89.84;Conditions stables.
S01;Z02;2017-05-17;42.08;77.19;Variations mineures.
S01;Z02;2017-05-18;47.08;85.01;Journée représentative.
S01;Z02;2017-05-19;30.91;80.49;Variations mineures.
S01;Z02;2017-05-20;33.67;80.80;Variations mineures.
S01;Z02;2017-05-21;48.63;86.59;Conditions stables.
S01;Z02;2017-05-22;52.70;82.15;Journée représentative.
S01;Z02;2017-05-23;58.16;72.30;Conditions stables.
S01;Z02;2017-05-24;31.38;76.94;Variations mineures.
S01;Z02;2017-05-25;53.04;70.99;Journée représentative.
S01;Z02;2017-05-26;34.08;79.21;Variations mineures.
S01;Z02;2017-05-27;35.81;79.35;Journée représentative.
S01;Z02;2017-05-28;58.44;75.35;Variations mineures.
S01;Z02;2017-05-29;46.58;79.99;Journée représentative.
S01;Z02;2017-05-30;49.40;83.14;Journée représentative.
S01;Z02;2017-05-31;36.26;74.71;Variations mineures.
S01;Z02;2017-06-01;45.00;87.68;Variations mineures.
S01;Z02;2017-06-02;37.56;80.32;Conditions stables.
S01;Z02;2017-06-03;48.00;76.94;Journée représentative.
S01;Z02;2017-06-04;49.25;87.14;Variations mineures.
S01;Z02;2017-06-05;47.57;84.25;Journée représentative.
S01;Z02;2017-06-06;37.64;83.36;Journée représentative.
S01;Z02;2017-06-07;58.75;78.87;Variations mineures.
S01;Z02;2017-06-08;34.56;85.61;Journée représentative.
S01;Z02;2017-06-09;43.55;81.26;Variations mineures.
S01;Z02;2017-06-10;40.31;71.90;Variations mineures.
S01;Z02;2017-06-11;54.82;80.17;Variations mineures.
S01;Z02;2017-06-12;59.12;82.68;Journée représentative.
S01;Z02;2017-06-13;58.76;86.81;Variations mineures.
S01;Z02;2017-06-14;41.78;84.30;Journée représentative.
S01;Z02;2017-06-15;48.84;77.58;Conditions stables.
S01;Z02;2017-06-16;30.53;70.99;Conditions stables.
S01;Z02;2017-06-17;46.68;78.71;Variations mineures.
S01;Z02;2017-06-18;42.49;79.17;Variations mineures.
S01;Z02;2017-06-19;42.72;70.59;Variations mineures.
S01;Z02;2017-06-20;51.19;73.92;Conditions stables.
S01;Z02;2017-06-21;33.88;83.11;Variations mineures.
S01;Z02;2017-06-22;31.35;82.78;Conditions stables.
S01;Z02;2017-06-23;59.05;82.52;Variations mineures.
S01;Z02;2017-06-24;51.60;78.34;Journée représentative.
S01;Z02;2017-06-25;36.76;74.66;Variations mineures.
S01;Z02;2017-06-26;35.70;83.47;Variations mineures.
S01;Z02;2017-06-27;50.58;73.13;Variations mineures.
S01;Z02;2017-06-28;44.71;82.67;Variations mineures.
S01;Z02;2017-06-29;40.82;76.41;Conditions stables.
S01;Z02;2017-06-30;31.01;71.87;Conditions stables.
S01;Z02;2017-07-01;46.07;82.13;Journée représentative.
S01;Z02;2017-07-02;41.99;83.28;Journée représentative.
S01;Z02;2017-07-03;52.11;72.13;Variations mineures.
S01;Z02;2017-07-04;44.82;89.81;Variations mineures.
S01;Z02;2017-07-05;46.22;86.88;Variations mineures.
S01;Z02;2017-07-06;44.01;77.78;Journée représentative.
S01;Z02;2017-07-07;30.57;77.92;Conditions stables.
S01;Z02;2017-07-08;52.84;86.76;Conditions stables.
S01;Z02;2017-07-09;37.79;73.65;Journée représentative.
S01;Z02;2017-07-10;38.71;75.88;Variations mineures.
S01;Z02;2017-07-11;53.24;79.24;Variations mineures.
S01;Z02;2017-07-12;57.75;76.84;Conditions stables.
S01;Z02;2017-07-13;54.68;77.84;Variations mineures.
S01;Z02;2017-07-14;52.48;77.39;Journée représentative.
S01;Z02;2017-07-15;34.63;86.25;Conditions stables.
S01;Z02;2017-07-16;53.76;76.52;Conditions stables.
S01;Z02;2017-07-17;52.49;74.65;Variations mineures.
S01;Z02;2017-07-18;47.31;82.05;Variations mineures.
S01;Z02;2017-07-19;48.34;87.81;Conditions stables.
S01;Z02;2017-07-20;49.76;72.78;Variations mineures.
S01;Z02;2017-07-21;46.28;89.73;Variations mineures.
S01;Z02;2017-07-22;57.18;80.37;Variations mineures.
S01;Z02;2017-07-23;58.65;82.77;Journée représentative.
S01;Z02;2017-07-24;51.75;74.11;Variations mineures.
S01;Z02;2017-07-25;36.63;70.54;Conditions stables.
S01;Z02;2017-07-26;39.37;70.99;Conditions stables.
S01;Z02;2017-07-27;59.31;72.57;Variations mineures.
S01;Z02;2017-07-28;52.39;88.74;Variations mineures.
S01;Z02;2017-07-29;38.61;83.91;Variations mineures.
S01;Z02;2017-07-30;30.65;87.89;Variations mineures.
S01;Z02;2017-07-31;31.85;71.56;Conditions stables.
S01;Z02;2017-08-01;52.41;71.91;Variations mineures.
S01;Z02;2017-08-02;55.59;74.73;Journée représentative.
S01;Z02;2017-08-03;41.92;88.42;Conditions stables.
S01;Z02;2017-08-04;57.41;73.71;Journée représentative.
S01;Z02;2017-08-05;58.66;88.47;Variations mineures.
S01;Z02;2017-08-06;38.86;86.90;Variations mineures.
S01;Z02;2017-08-07;48.90;75.53;Variations mineures.
S01;Z02;2017-08-08;44.87;82.63;Variations mineures.
S01;Z02;2017-08-09;43.49;75.69;Conditions stables.
S01;Z02;2017-08-10;41.55;72.87;Conditions stables.
S01;Z02;2017-08-11;45.56;79.22;Conditions stables.
S01;Z02;2017-08-12;45.52;89.31;Variations mineures.
S01;Z02;2017-08-13;40.43;89.12;Variations mineures.
S01;Z02;2017-08-14;57.96;72.47;Conditions stables.
S01;Z02;2017-08-15;56.47;89.42;Variations mineures.
S01;Z02;2017-08-16;59.37;85.63;Conditions stables.
S01;Z02;2017-08-17;37.43;83.55;Journée représentative.
S01;Z02;2017-08-18;34.88;76.43;Variations mineures.
S01;Z02;2017-08-19;43.37;84.45;Conditions stables.
S01;Z02;2017-08-20;49.55;75.09;Journée représentative.
S01;Z02;2017-08-21;32.41;81.38;Variations mineures.
S01;Z02;2017-08-22;37.34;78.87;Conditions stables.
S01;Z02;2017-08-23;50.62;86.35;Variations mineures.
S01;Z02;2017-08-24;49.06;82.71;Variations mineures.
S01;Z02;2017-08-25;41.69;88.11;Variations mineures.
S01;Z02;2017-08-26;47.11;70.15;Variations mineures.
S01;Z02;2017-08-27;32.26;85.50;Variations mineures.
S01;Z02;2017-08-28;48.55;76.15;Conditions stables.
S01;Z02;2017-08-29;46.27;80.20;Variations mineures.
S01;Z02;2017-08-30;54.69;80.71;Journée représentative.
S01;Z02;2017-08-31;58.66;70.89;Journée représentative.
S01;Z02;2017-09-01;37.78;77.03;Journée représentative.
S01;Z02;2017-09-02;30.99;89.59;Journée représentative.
S01;Z02;2017-09-03;52.64;85.06;Journée représentative.
S01;Z02;2017-09-04;47.70;86.39;Variations mineures.
S01;Z02;2017-09-05;47.95;77.00;Conditions stables.
S01;Z02;2017-09-06;51.75;72.71;Variations mineures.
S01;Z02;2017-09-07;44.63;76.99;Variations mineures.
S01;Z02;2017-09-08;52.30;79.28;Variations mineures.
S01;Z02;2017-09-09;58.29;74.50;Conditions stables.
S01;Z02;2017-09-10;37.95;81.17;Variations mineures.
S01;Z02;2017-09-11;57.53;82.93;Variations mineures.
S01;Z02;2017-09-12;52.88;72.72;Journée représentative.
S01;Z02;2017-09-13;48.99;86.24;Journée représentative.
S01;Z02;2017-09-14;58.56;79.77;Conditions stables.
S01;Z02;2017-09-15;49.71;87.24;Journée représentative.
S01;Z02;2017-09-16;34.13;81.75;Conditions stables.
S01;Z02;2017-09-17;54.91;78.51;Variations mineures.
S01;Z02;2017-09-18;58.04;73.32;Variations mineures.
S01;Z02;2017-09-19;49.97;80.22;Conditions stables.
S01;Z02;2017-09-20;35.36;79.00;Journée représentative.
S01;Z02;2017-09-21;33.39;89.81;Journée représentative.
S01;Z02;2017-09-22;47.48;79.64;Variations mineures.
S01;Z02;2017-09-23;38.08;88.13;Variations mineures.
S01;Z02;2017-09-24;47.12;86.95;Variations mineures.
S01;Z02;2017-09-25;39.00;87.20;Variations mineures.
S01;Z02;2017-09-26;39.21;70.07;Journée représentative.
S01;Z02;2017-09-27;54.19;81.14;Journée représentative.
S01;Z02;2017-09-28;56.59;87.11;Journée représentative.
S01;Z02;2017-09-29;48.09;79.27;Variations mineures.
S01;Z02;2017-09-30;38.19;78.68;Variations mineures.
S01;Z02;2017-10-01;58.99;74.71;Conditions stables.
S01;Z02;2017-10-02;53.03;84.23;Variations mineures.
S01;Z02;2017-10-03;38.80;86.02;Variations mineures.
S01;Z02;2017-10-04;55.57;70.90;Variations mineures.
S01;Z02;2017-10-05;35.21;76.41;Variations mineures.
S01;Z02;2017-10-06;43.51;78.82;Journée représentative.
S01;Z02;2017-10-07;59.59;79.83;Variations mineures.
S01;Z02;2017-10-08;36.30;76.40;Conditions stables.
S01;Z02;2017-10-09;55.18;82.18;Journée représentative.
S01;Z02;2017-10-10;43.56;87.87;Variations mineures.
S01;Z02;2017-10-11;44.75;85.44;Journée représentative.
S01;Z02;2017-10-12;54.47;70.97;Conditions stables.
S01;Z02;2017-10-13;58.46;84.79;Journée représentative.
S01;Z02;2017-10-14;33.41;88.94;Journée représentative.
S01;Z02;2017-10-15;34.61;77.61;Journée représentative.
S01;Z02;2017-10-16;54.58;86.49;Journée représentative.
S01;Z02;2017-10-17;36.12;74.16;Conditions stables.
S01;Z02;2017-10-18;30.18;76.18;Conditions stables.
S01;Z02;2017-10-19;57.46;73.68;Variations mineures.
S01;Z02;2017-10-20;31.72;85.85;Variations mineures.
S01;Z02;2017-10-21;57.80;75.71;Variations mineures.
S01;Z02;2017-10-22;31.98;80.93;Variations mineures.
S01;Z02;2017-10-23;42.27;87.45;Variations mineures.
S01;Z02;2017-10-24;40.80;70.32;Conditions stables.
S01;Z02;2017-10-25;31.69;87.66;Variations mineures.
S01;Z02;2017-10-26;35.02;84.05;Variations mineures.
S01;Z02;2017-10-27;58.62;89.46;Journée représentative.
S01;Z02;2017-10-28;37.71;82.37;Variations mineures.
S01;Z02;2017-10-29;31.30;77.74;Conditions stables.
S01;Z02;2017-10-30;46.32;72.50;Journée représentative.
S01;Z02;2017-10-31;30.62;83.20;Variations mineures.
