siteid;zoneid;date;pressionmin;pressionmax;note
S01;Z01;2017-09-28;990.40;1010.01;Variations mineures.
S01;Z01;2017-09-29;990.99;1021.33;Variations mineures.
S01;Z01;2017-09-30;1003.33;1020.72;Variations mineures.
S01;Z01;2017-10-01;995.59;1025.38;Variations mineures.
S01;Z01;2017-10-02;995.77;1027.78;Journée représentative.
S01;Z01;2017-10-03;993.83;1022.17;Conditions stables.
S01;Z01;2017-10-04;998.83;1022.62;Variations mineures.
S01;Z01;2017-10-05;1003.13;1014.88;Variations mineures.
S01;Z01;2017-10-06;1000.35;1022.89;Variations mineures.
S01;Z01;2017-10-07;1008.65;1025.22;Conditions stables.
S01;Z01;2017-10-08;1003.14;1025.30;Journée représentative.
S01;Z01;2017-10-09;993.04;1012.28;Variations mineures.
S01;Z01;2017-10-10;993.70;1024.72;Variations mineures.
S01;Z01;2017-10-11;994.02;1024.72;Conditions stables.
S01;Z01;2017-10-12;1008.24;1029.24;Journée représentative.
S01;Z01;2017-10-13;1008.18;1015.38;Journée représentative.
S01;Z01;2017-10-14;1005.60;1012.73;Variations mineures.
S01;Z01;2017-10-15;994.09;1027.04;Journée représentative.
S01;Z01;2017-10-16;999.17;1022.88;Journée représentative.
S01;Z01;2017-10-17;999.25;1013.08;Variations mineures.
S01;Z01;2017-10-18;999.25;1023.68;Variations mineures.
S01;Z01;2017-10-19;1008.37;1019.12;Variations mineures.
S01;Z01;2017-10-20;994.13;1026.47;Variations mineures.
S01;Z01;2017-10-21;1000.01;1016.21;Variations mineures.
S01;Z01;2017-10-22;994.82;1021.96;Variations mineures.
S01;Z01;2017-10-23;1001.37;1013.50;Conditions stables.
S01;Z01;2017-10-24;995.88;1028.11;Variations mineures.
S01;Z01;2017-10-25;993.04;1019.96;Conditions stables.
S01;Z01;2017-10-26;990.21;1028.31;Journée représentative.
S01;Z01;2017-10-27;1006.56;1019.47;Journée représentative.
S01;Z01;2017-10-28;998.80;1019.21;Variations mineures.
S01;Z01;2017-10-29;993.44;1017.88;Conditions stables.
S01;Z01;2017-10-30;1005.86;1014.33;Journée représentative.
S01;Z01;2017-10-31;1003.71;1019.36;Variations mineures.
S01;Z02;2017-05-01;1000.41;1013.23;Variations mineures.
S01;Z02;2017-05-02;997.12;1029.94;Variations mineures.
S01;Z02;2017-05-03;994.43;1019.93;Conditions stables.
S01;Z02;2017-05-04;993.61;1022.33;Variations mineures.
S01;Z02;2017-05-05;1008.27;1024.66;Journée représentative.
S01;Z02;2017-05-06;1000.03;1023.91;Journée représentative.
S01;Z02;2017-05-07;1005.10;1028.84;Journée représentative.
S01;Z02;2017-05-08;1005.99;1015.41;Conditions stables.
S01;Z02;2017-05-09;1009.80;1026.42;Variations mineures.
S01;Z02;2017-05-10;1002.33;1011.20;Variations mineures.
S01;Z02;2017-05-11;1003.31;1012.79;Conditions stables.
S01;Z02;2017-05-12;991.45;1028.71;Variations mineures.
S01;Z02;2017-05-13;997.05;1015.88;Variations mineures.
S01;Z02;2017-05-14;1001.71;1028.60;Conditions stables.
S01;Z02;2017-05-15;990.89;1028.72;Conditions stables.
S01;Z02;2017-05-16;1001.84;1017.58;Conditions stables.
S01;Z02;2017-05-17;991.84;1023.75;Journée représentative.
S01;Z02;2017-05-18;997.47;1025.73;Variations mineures.
S01;Z02;2017-05-19;991.92;1024.99;Variations mineures.
S01;Z02;2017-05-20;999.81;1010.56;Conditions stables.
S01;Z02;2017-05-21;996.10;1019.44;Variations mineures.
S01;Z02;2017-05-22;1000.34;1015.06;Variations mineures.
S01;Z02;2017-05-23;1004.85;1015.69;Journée représentative.
S01;Z02;2017-05-24;1008.24;1021.57;Journée représentative.
S01;Z02;2017-05-25;999.08;1027.03;Variations mineures.
S01;Z02;2017-05-26;1001.19;1015.37;Journée représentative.
S01;Z02;2017-05-27;993.02;1021.55;Variations mineures.
S01;Z02;2017-05-28;996.74;1022.28;Variations mineures.
S01;Z02;2017-05-29;1009.07;1012.53;Journée représentative.
S01;Z02;2017-05-30;999.14;1028.12;Variations mineures.
S01;Z02;2017-05-31;990.54;1024.28;Journée représentative.
S01;Z02;2017-06-01;994.33;1029.61;Variations mineures.
S01;Z02;2017-06-02;1000.79;1014.07;Variations mineures.
S01;Z02;2017-06-03;1009.06;1024.66;Variations mineures.
S01;Z02;2017-06-04;993.62;1028.29;Conditions stables.
S01;Z02;2017-06-05;1008.20;1013.15;Variations mineures.
S01;Z02;2017-06-06;1009.45;1013.24;Conditions stables.
S01;Z02;2017-06-07;1009.66;1018.16;Journée représentative.
S01;Z02;2017-06-08;1008.33;1013.51;Variations mineures.
S01;Z02;2017-06-09;995.78;1028.29;Conditions stables.
S01;Z02;2017-06-10;996.62;1028.65;Conditions stables.
S01;Z02;2017-06-11;1009.74;1023.97;Conditions stables.
S01;Z02;2017-06-12;1007.53;1016.65;Variations mineures.
S01;Z02;2017-06-13;993.51;1018.75;Conditions stables.
S01;Z02;2017-06-14;990.33;1027.63;Variations mineures.
S01;Z02;2017-06-15;1006.49;1024.81;Variations mineures.
S01;Z02;2017-06-16;1008.66;1018.14;Variations mineures.
S01;Z02;2017-06-17;993.43;1021.66;Journée représentative.
S01;Z02;2017-06-18;997.40;1027.54;Journée représentative.
S01;Z02;2017-06-19;998.11;1019.16;Variations mineures.
S01;Z02;2017-06-20;1007.33;1018.79;Journée représentative.
S01;Z02;2017-06-21;1009.73;1022.31;Variations mineures.
S01;Z02;2017-06-22;1005.68;1022.49;Journée représentative.
S01;Z02;2017-06-23;1004.12;1021.17;Variations mineures.
S01;Z02;2017-06-24;992.83;1025.16;Journée représentative.
S01;Z02;2017-06-25;1008.40;1017.41;Conditions stables.
S01;Z02;2017-06-26;995.69;1010.62;Conditions stables.
S01;Z02;2017-06-27;1000.10;1015.21;Journée représentative.
S01;Z02;2017-06-28;1007.79;1029.44;Journée représentative.
S01;Z02;2017-06-29;997.76;1018.59;Variations mineures.
S01;Z02;2017-06-30;997.81;1013.27;Variations mineures.
S01;Z02;2017-07-01;992.95;1026.03;Variations mineures.
S01;Z02;2017-07-02;990.57;1021.30;Variations mineures.
S01;Z02;2017-07-03;1002.83;1013.08;Journée représentative.
S01;Z02;2017-07-04;1007.11;1018.32;Journée représentative.
S01;Z02;2017-07-05;999.64;1020.69;Variations mineures.
S01;Z02;2017-07-06;1008.04;1024.17;Variations mineures.
S01;Z02;2017-07-07;1002.11;1027.37;Conditions stables.
S01;Z02;2017-07-08;1003.77;1011.74;Journée représentative.
S01;Z02;2017-07-09;1004.35;1017.93;Journée représentative.
S01;Z02;2017-07-10;1000.86;1028.34;Variations mineures.
S01;Z02;2017-07-11;993.15;1021.04;Conditions stables.
S01;Z02;2017-07-12;1004.92;1010.88;Journée représentative.
S01;Z02;2017-07-13;999.90;1025.66;Variations mineures.
S01;Z02;2017-07-14;1002.34;1015.16;Conditions stables.
S01;Z02;2017-07-15;1004.45;1025.29;Variations mineures.
S01;Z02;2017-07-16;1006.44;1010.63;Journée représentative.
S01;Z02;2017-07-17;998.05;1011.62;Variations mineures.
S01;Z02;2017-07-18;991.13;1011.14;Journée représentative.
S01;Z02;2017-07-19;990.44;1012.95;Conditions stables.
S01;Z02;2017-07-20;996.68;1026.54;Variations mineures.
S01;Z02;2017-07-21;998.94;1029.00;Conditions stables.
S01;Z02;2017-07-22;1007.67;1024.77;Conditions stables.
S01;Z02;2017-07-23;991.15;1011.22;Journée représentative.
S01;Z02;2017-07-24;995.64;1015.44;Conditions stables.
S01;Z02;2017-07-25;996.11;1020.71;Journée représentative.
S01;Z02;2017-07-26;1002.87;1012.97;Conditions stables.
S01;Z02;2017-07-27;997.96;1010.86;Variations mineures.
S01;Z02;2017-07-28;999.54;1024.24;Conditions stables.
S01;Z02;2017-07-29;1002.36;1013.04;Variations mineures.
S01;Z02;2017-07-30;998.40;1023.29;Conditions stables.
S01;Z02;2017-07-31;994.07;1010.78;Variations mineures.
S01;Z02;2017-08-01;1003.17;1018.40;Variations mineures.
S01;Z02;2017-08-02;1001.50;1022.42;Variations mineures.
S01;Z02;2017-08-03;997.99;1019.34;Conditions stables.
S01;Z02;2017-08-04;1007.15;1019.00;Variations mineures.
S01;Z02;2017-08-05;1008.21;1023.73;Variations mineures.
S01;Z02;2017-08-06;994.21;1014.63;Conditions stables.
S01;Z02;2017-08-07;1003.15;1022.04;Journée représentative.
S01;Z02;2017-08-08;1006.90;1025.81;Variations mineures.
S01;Z02;2017-08-09;1006.47;1027.43;Variations mineures.
S01;Z02;2017-08-10;999.03;1013.66;Variations mineures.
S01;Z02;2017-08-11;1001.33;1023.79;Variations mineures.
S01;Z02;2017-08-12;992.37;1023.01;Journée représentative.
S01;Z02;2017-08-13;1005.65;1019.15;Conditions stables.
S01;Z02;2017-08-14;1005.55;1017.03;Journée représentative.
S01;Z02;2017-08-15;1009.56;1012.14;Journée représentative.
S01;Z02;2017-08-16;1000.41;1010.39;Journée représentative.
S01;Z02;2017-08-17;1003.11;1015.39;Conditions stables.
S01;Z02;2017-08-18;994.48;1023.53;Variations mineures.
S01;Z02;2017-08-19;995.71;1027.56;Journée représentative.
S01;Z02;2017-08-20;1000.22;1018.77;Variations mineures.
S01;Z02;2017-08-21;1000.29;1016.78;Journée représentative.
S01;Z02;2017-08-22;997.65;1022.12;Conditions stables.
S01;Z02;2017-08-23;1009.23;1011.67;Variations mineures.
S01;Z02;2017-08-24;1005.68;1026.41;Journée représentative.
S01;Z02;2017-08-25;1008.49;1017.83;Variations mineures.
S01;Z02;2017-08-26;1004.28;1022.71;Variations mineures.
S01;Z02;2017-08-27;1008.92;1015.00;Variations mineures.
S01;Z02;2017-08-28;1005.31;1024.39;Conditions stables.
S01;Z02;2017-08-29;1009.24;1017.42;Variations mineures.
S01;Z02;2017-08-30;995.03;1026.59;Conditions stables.
S01;Z02;2017-08-31;1009.56;1025.34;Conditions stables.
S01;Z02;2017-09-01;995.95;1028.40;Variations mineures.
S01;Z02;2017-09-02;999.14;1010.18;Conditions stables.
S01;Z02;2017-09-03;992.17;1016.20;Variations mineures.
S01;Z02;2017-09-04;1003.47;1019.36;Conditions stables.
S01;Z02;2017-09-05;997.43;1014.65;Conditions stables.
S01;Z02;2017-09-06;990.02;1014.23;Variations mineures.
S01;Z02;2017-09-07;993.90;1016.86;Conditions stables.
S01;Z02;2017-09-08;1000.35;1027.24;Journée représentative.
S01;Z02;2017-09-09;1008.52;1025.35;Variations mineures.
S01;Z02;2017-09-10;1001.60;1011.01;Variations mineures.
S01;Z02;2017-09-11;1004.59;1014.27;Conditions stables.
S01;Z02;2017-09-12;1002.25;1019.44;Conditions stables.
S01;Z02;2017-09-13;1001.30;1025.48;Journée représentative.
S01;Z02;2017-09-14;992.56;1017.77;Variations mineures.
S01;Z02;2017-09-15;993.17;1029.36;Conditions stables.
S01;Z02;2017-09-16;1006.10;1022.94;Conditions stables.
S01;Z02;2017-09-17;998.89;1012.47;Variations mineures.
S01;Z02;2017-09-18;1001.37;1017.69;Journée représentative.
S01;Z02;2017-09-19;1006.85;1020.01;Variations mineures.
S01;Z02;2017-09-20;1002.97;1020.67;Journée représentative.
S01;Z02;2017-09-21;991.07;1017.40;Variations mineures.
S01;Z02;2017-09-22;997.37;1017.97;Journée représentative.
S01;Z02;2017-09-23;999.63;1016.89;Variations mineures.
S01;Z02;2017-09-24;990.78;1021.43;Variations mineures.
S01;Z02;2017-09-25;1005.60;1018.90;Variations mineures.
S01;Z02;2017-09-26;999.64;1017.05;Variations mineures.
S01;Z02;2017-09-27;999.13;1018.00;Conditions stables.
S01;Z02;2017-09-28;997.39;1015.09;Variations mineures.
S01;Z02;2017-09-29;992.73;1014.16;Journée représentative.
S01;Z02;2017-09-30;1004.60;1026.29;Variations mineures.
S01;Z02;2017-10-01;999.30;1015.89;Conditions stables.
S01;Z02;2017-10-02;1003.38;1019.42;Variations mineures.
S01;Z02;2017-10-03;1004.49;1022.75;Conditions stables.
S01;Z02;2017-10-04;1003.55;1026.58;Variations mineures.
S01;Z02;2017-10-05;1008.82;1011.68;Journée représentative.
S01;Z02;2017-10-06;1008.09;1017.13;Variations mineures.
S01;Z02;2017-10-07;1008.08;1021.94;Variations mineures.
S01;Z02;2017-10-08;996.36;1019.11;Conditions stables.
S01;Z02;2017-10-09;1000.12;1027.44;Variations mineures.
S01;Z02;2017-10-10;1006.47;1026.10;Variations mineures.
S01;Z02;2017-10-11;997.52;1024.46;Journée représentative.
S01;Z02;2017-10-12;994.23;1016.56;Variations mineures.
S01;Z02;2017-10-13;1000.85;1013.36;Variations mineures.
S01;Z02;2017-10-14;1005.39;1017.42;Variations mineures.
S01;Z02;2017-10-15;1009.36;1018.25;Variations mineures.
S01;Z02;2017-10-16;1002.42;1028.16;Variations mineures.
S01;Z02;2017-10-17;1008.47;1028.21;Journée représentative.
S01;Z02;2017-10-18;990.02;1023.78;Journée représentative.
S01;Z02;2017-10-19;991.57;1018.41;Journée représentative.
S01;Z02;2017-10-20;1002.13;1020.01;Conditions stables.
S01;Z02;2017-10-21;1009.10;1017.61;Variations mineures.
S01;Z02;2017-10-22;1005.31;1011.82;Variations mineures.
S01;Z02;2017-10-23;993.40;1026.42;Variations mineures.
S01;Z02;2017-10-24;1009.02;1029.64;Journée représentative.
S01;Z02;2017-10-25;993.38;1029.56;Variations mineures.
S01;Z02;2017-10-26;996.42;1016.50;Variations mineures.
S01;Z02;2017-10-27;1003.48;1019.65;Variations mineures.
S01;Z02;2017-10-28;990.88;1025.80;Conditions stables.
S01;Z02;2017-10-29;1000.75;1022.58;Variations mineures.
S01;Z02;2017-10-30;1005.40;1029.25;Journée représentative.
S01;Z02;2017-10-31;1006.00;1012.94;Variations mineures.
