siteid;zoneid;date;typeprecipitation;precipitationtotale;note
S01;Z01;2017-06-09;P;13.29;Variations mineures.
S01;Z01;2017-06-10;P;3.74;Variations mineures.
S01;Z01;2017-06-11;P;12.07;Journée représentative.
S01;Z01;2017-06-12;P;3.21;Conditions stables.
S01;Z01;2017-06-13;P;13.07;Journée représentative.
S01;Z01;2017-06-14;P;4.14;Conditions stables.
S01;Z01;2017-06-15;P;5.12;Variations mineures.
S01;Z01;2017-06-16;P;5.05;Variations mineures.
S01;Z01;2017-06-17;P;11.20;Journée représentative.
S01;Z01;2017-06-18;P;0.52;Variations mineures.
S01;Z01;2017-06-19;P;13.13;Variations mineures.
S01;Z01;2017-06-20;P;10.43;Conditions stables.
S01;Z01;2017-06-21;P;3.54;Variations mineures.
S01;Z01;2017-06-22;P;11.37;Conditions stables.
S01;Z01;2017-06-23;P;13.21;Variations mineures.
S01;Z01;2017-06-24;P;2.36;Variations mineures.
S01;Z01;2017-06-25;P;4.24;Conditions stables.
S01;Z01;2017-06-26;P;5.43;Variations mineures.
S01;Z01;2017-06-27;P;2.41;Journée représentative.
S01;Z01;2017-06-28;P;12.08;Variations mineures.
S01;Z01;2017-06-29;P;10.71;Variations mineures.
S01;Z01;2017-06-30;P;13.25;Variations mineures.
S01;Z01;2017-07-01;P;2.49;Variations mineures.
S01;Z01;2017-07-02;P;0.42;Journée représentative.
S01;Z01;2017-07-03;P;5.02;Journée représentative.
S01;Z01;2017-07-04;P;4.18;Conditions stables.
S01;Z01;2017-07-05;P;5.42;Conditions stables.
S01;Z01;2017-07-06;P;9.28;Conditions stables.
S01;Z01;2017-07-07;P;0.12;Variations mineures.
S01;Z01;2017-07-08;P;6.19;Variations mineures.
S01;Z01;2017-07-09;P;1.21;Variations mineures.
S01;Z01;2017-07-10;P;12.18;Variations mineures.
S01;Z01;2017-07-11;P;2.47;Journée représentative.
S01;Z01;2017-07-12;P;6.58;Journée représentative.
S01;Z01;2017-07-13;P;7.23;Conditions stables.
S01;Z01;2017-07-14;P;1.73;Conditions stables.
S01;Z01;2017-07-15;P;1.82;Variations mineures.
S01;Z01;2017-07-16;P;10.92;Variations mineures.
S01;Z01;2017-07-17;P;8.47;Variations mineures.
S01;Z01;2017-07-18;P;2.31;Conditions stables.
S01;Z01;2017-07-19;P;0.72;Variations mineures.
S01;Z01;2017-07-20;P;7.12;Variations mineures.
S01;Z01;2017-07-21;P;13.58;Variations mineures.
S01;Z01;2017-07-22;P;10.00;Conditions stables.
S01;Z01;2017-07-23;P;7.36;Variations mineures.
S01;Z01;2017-07-24;P;7.06;Conditions stables.
S01;Z01;2017-07-25;P;0.24;Variations mineures.
S01;Z01;2017-07-26;P;1.34;Variations mineures.
S01;Z01;2017-07-27;P;5.81;Variations mineures.
S01;Z01;2017-07-28;P;6.39;Variations mineures.
S01;Z01;2017-07-29;P;1.05;Journée représentative.
S01;Z01;2017-07-30;P;11.11;Conditions stables.
S01;Z01;2017-07-31;P;13.50;Variations mineures.
S01;Z01;2017-08-01;P;9.62;Journée représentative.
S01;Z01;2017-08-02;P;9.16;Journée représentative.
S01;Z01;2017-08-03;P;1.08;Variations mineures.
S01;Z01;2017-08-04;P;5.20;Journée représentative.
S01;Z01;2017-08-05;P;14.29;Journée représentative.
S01;Z01;2017-08-06;P;7.03;Journée représentative.
S01;Z01;2017-08-07;P;3.43;Variations mineures.
S01;Z01;2017-08-08;P;5.36;Variations mineures.
S01;Z01;2017-08-09;P;7.59;Journée représentative.
S01;Z01;2017-08-10;P;10.62;Journée représentative.
S01;Z01;2017-08-11;P;7.86;Variations mineures.
S01;Z01;2017-08-12;P;3.92;Variations mineures.
S01;Z01;2017-08-13;P;10.53;Variations mineures.
S01;Z01;2017-08-14;P;10.37;Conditions stables.
S01;Z01;2017-08-15;P;2.00;Variations mineures.
S01;Z01;2017-08-16;P;10.74;Journée représentative.
S01;Z01;2017-08-17;P;11.04;Conditions stables.
S01;Z01;2017-08-18;P;12.82;Conditions stables.
S01;Z01;2017-08-19;P;2.53;Conditions stables.
S01;Z01;2017-08-20;P;7.80;Journée représentative.
S01;Z01;2017-08-21;P;1.29;Journée représentative.
S01;Z01;2017-08-22;P;7.78;Conditions stables.
S01;Z01;2017-08-23;P;13.18;Variations mineures.
S01;Z01;2017-08-24;P;11.43;Variations mineures.
S01;Z01;2017-08-25;P;0.39;Journée représentative.
S01;Z01;2017-08-26;P;12.36;Conditions stables.
S01;Z01;2017-08-27;P;11.47;Conditions stables.
S01;Z01;2017-08-28;P;4.52;Journée représentative.
S01;Z01;2017-08-29;P;3.32;Variations mineures.
S01;Z01;2017-08-30;P;4.79;Variations mineures.
S01;Z01;2017-08-31;P;7.45;Variations mineures.
S01;Z01;2017-09-01;P;2.07;Conditions stables.
S01;Z01;2017-09-02;P;0.16;Variations mineures.
S01;Z01;2017-09-03;P;4.34;Variations mineures.
S01;Z01;2017-09-04;P;1.89;Journée représentative.
S01;Z01;2017-09-05;P;7.20;Variations mineures.
S01;Z01;2017-09-06;P;12.75;Journée représentative.
S01;Z01;2017-09-07;P;0.78;Variations mineures.
S01;Z01;2017-09-08;P;9.88;Conditions stables.
S01;Z01;2017-09-09;P;8.29;Variations mineures.
S01;Z01;2017-09-10;P;9.18;Variations mineures.
S01;Z01;2017-09-11;P;4.41;Variations mineures.
S01;Z01;2017-09-12;P;10.94;Conditions stables.
S01;Z01;2017-09-13;P;0.70;Variations mineures.
S01;Z01;2017-09-14;P;3.26;Variations mineures.
S01;Z01;2017-09-15;P;10.42;Conditions stables.
S01;Z01;2017-09-16;P;14.69;Conditions stables.
S01;Z01;2017-09-17;P;0.91;Conditions stables.
S01;Z01;2017-09-18;P;0.33;Variations mineures.
S01;Z01;2017-09-19;P;1.32;Variations mineures.
S01;Z01;2017-09-20;P;7.44;Variations mineures.
S01;Z01;2017-09-21;P;7.64;Conditions stables.
S01;Z01;2017-09-22;P;0.67;Journée représentative.
S01;Z01;2017-09-23;P;10.67;Conditions stables.
S01;Z01;2017-09-24;P;14.91;Conditions stables.
S01;Z01;2017-09-25;P;1.78;Variations mineures.
S01;Z01;2017-09-26;P;9.61;Variations mineures.
S01;Z01;2017-09-27;P;0.17;Variations mineures.
S01;Z01;2017-09-28;P;2.30;Variations mineures.
S01;Z01;2017-09-29;P;13.99;Conditions stables.
S01;Z01;2017-09-30;P;12.74;Variations mineures.
S01;Z01;2017-10-01;P;8.88;Conditions stables.
S01;Z01;2017-10-02;P;1.10;Variations mineures.
S01;Z01;2017-10-03;P;7.36;Variations mineures.
S01;Z01;2017-10-04;P;9.58;Variations mineures.
S01;Z01;2017-10-05;P;11.02;Conditions stables.
S01;Z01;2017-10-06;P;9.98;Variations mineures.
S01;Z01;2017-10-07;P;11.18;Journée représentative.
S01;Z01;2017-10-08;P;0.80;Variations mineures.
S01;Z01;2017-10-09;P;2.19;Journée représentative.
S01;Z01;2017-10-10;P;13.27;Journée représentative.
S01;Z01;2017-10-11;P;12.11;Journée représentative.
S01;Z01;2017-10-12;P;4.52;Variations mineures.
S01;Z01;2017-10-13;P;3.58;Journée représentative.
S01;Z01;2017-10-14;P;9.33;Conditions stables.
S01;Z01;2017-10-15;P;13.33;Variations mineures.
S01;Z01;2017-10-16;P;10.10;Journée représentative.
S01;Z01;2017-10-17;P;11.86;Variations mineures.
S01;Z01;2017-10-18;P;11.74;Journée représentative.
S01;Z01;2017-10-19;P;8.72;Journée représentative.
S01;Z01;2017-10-20;P;9.23;Conditions stables.
S01;Z01;2017-10-21;P;6.43;Variations mineures.
S01;Z01;2017-10-22;P;9.68;Variations mineures.
S01;Z01;2017-10-23;P;12.64;Variations mineures.
S01;Z01;2017-10-24;P;14.03;Variations mineures.
S01;Z01;2017-10-25;P;2.35;Conditions stables.
S01;Z01;2017-10-26;P;10.69;Conditions stables.
S01;Z01;2017-10-27;P;6.79;Variations mineures.
S01;Z01;2017-10-28;P;8.25;Variations mineures.
S01;Z01;2017-10-29;P;14.04;Conditions stables.
S01;Z01;2017-10-30;P;8.79;Journée représentative.
S01;Z01;2017-10-31;P;7.15;Conditions stables.
S01;Z02;2017-05-01;P;7.47;Journée représentative.
S01;Z02;2017-05-02;P;0.23;Variations mineures.
S01;Z02;2017-05-03;P;5.41;Conditions stables.
S01;Z02;2017-05-04;P;3.63;Journée représentative.
S01;Z02;2017-05-05;P;2.41;Conditions stables.
S01;Z02;2017-05-06;P;1.19;Variations mineures.
S01;Z02;2017-05-07;P;0.61;Journée représentative.
S01;Z02;2017-05-08;P;1.16;Journée représentative.
S01;Z02;2017-05-09;P;13.77;Journée représentative.
S01;Z02;2017-05-10;P;6.15;Variations mineures.
S01;Z02;2017-05-11;P;10.79;Variations mineures.
S01;Z02;2017-05-12;P;13.02;Variations mineures.
S01;Z02;2017-05-13;P;12.91;Variations mineures.
S01;Z02;2017-05-14;P;10.89;Conditions stables.
S01;Z02;2017-05-15;P;4.22;Variations mineures.
S01;Z02;2017-05-16;P;7.68;Conditions stables.
S01;Z02;2017-05-17;P;12.72;Journée représentative.
S01;Z02;2017-05-18;P;10.68;Variations mineures.
S01;Z02;2017-05-19;P;4.63;Variations mineures.
S01;Z02;2017-05-20;P;13.49;Variations mineures.
S01;Z02;2017-05-21;P;11.84;Variations mineures.
S01;Z02;2017-05-22;P;7.26;Conditions stables.
S01;Z02;2017-05-23;P;6.35;Variations mineures.
S01;Z02;2017-05-24;P;2.21;Variations mineures.
S01;Z02;2017-05-25;P;13.74;Variations mineures.
S01;Z02;2017-05-26;P;7.01;Variations mineures.
S01;Z02;2017-05-27;P;13.02;Conditions stables.
S01;Z02;2017-05-28;P;10.66;Variations mineures.
S01;Z02;2017-05-29;P;14.54;Variations mineures.
S01;Z02;2017-05-30;P;7.50;Variations mineures.
S01;Z02;2017-05-31;P;4.60;Variations mineures.
S01;Z02;2017-06-01;P;4.02;Journée représentative.
S01;Z02;2017-06-02;P;5.75;Journée représentative.
S01;Z02;2017-06-03;P;10.73;Variations mineures.
S01;Z02;2017-06-04;P;8.47;Conditions stables.
S01;Z02;2017-06-05;P;5.09;Variations mineures.
S01;Z02;2017-06-06;P;6.90;Conditions stables.
S01;Z02;2017-06-07;P;14.78;Conditions stables.
S01;Z02;2017-06-08;P;4.84;Conditions stables.
S01;Z02;2017-06-09;P;0.56;Variations mineures.
S01;Z02;2017-06-10;P;6.54;Variations mineures.
S01;Z02;2017-06-11;P;14.53;Variations mineures.
S01;Z02;2017-06-12;P;7.38;Journée représentative.
S01;Z02;2017-06-13;P;14.20;Conditions stables.
S01;Z02;2017-06-14;P;12.22;Journée représentative.
S01;Z02;2017-06-15;P;6.05;Journée représentative.
S01;Z02;2017-06-16;P;8.04;Variations mineures.
S01;Z02;2017-06-17;P;2.36;Conditions stables.
S01;Z02;2017-06-18;P;7.46;Journée représentative.
S01;Z02;2017-06-19;P;4.56;Conditions stables.
S01;Z02;2017-06-20;P;5.69;Variations mineures.
S01;Z02;2017-06-21;P;9.02;Conditions stables.
S01;Z02;2017-06-22;P;8.86;Variations mineures.
S01;Z02;2017-06-23;P;13.70;Journée représentative.
S01;Z02;2017-06-24;P;1.73;Journée représentative.
S01;Z02;2017-06-25;P;6.76;Conditions stables.
S01;Z02;2017-06-26;P;3.77;Conditions stables.
S01;Z02;2017-06-27;P;13.97;Variations mineures.
S01;Z02;2017-06-28;P;6.82;Journée représentative.
S01;Z02;2017-06-29;P;0.45;Variations mineures.
S01;Z02;2017-06-30;P;1.79;Variations mineures.
S01;Z02;2017-07-01;P;1.65;Journée représentative.
S01;Z02;2017-07-02;P;8.54;Conditions stables.
S01;Z02;2017-07-03;P;2.85;Variations mineures.
S01;Z02;2017-07-04;P;12.24;Variations mineures.
S01;Z02;2017-07-05;P;1.22;Variations mineures.
S01;Z02;2017-07-06;P;6.65;Journée représentative.
S01;Z02;2017-07-07;P;9.24;Journée représentative.
S01;Z02;2017-07-08;P;7.74;Variations mineures.
S01;Z02;2017-07-09;P;14.61;Journée représentative.
S01;Z02;2017-07-10;P;4.50;Variations mineures.
S01;Z02;2017-07-11;P;0.52;Variations mineures.
S01;Z02;2017-07-12;P;3.07;Conditions stables.
S01;Z02;2017-07-13;P;0.51;Conditions stables.
S01;Z02;2017-07-14;P;13.47;Variations mineures.
S01;Z02;2017-07-15;P;11.74;Journée représentative.
S01;Z02;2017-07-16;P;3.02;Variations mineures.
S01;Z02;2017-07-17;P;5.56;Conditions stables.
S01;Z02;2017-07-18;P;3.23;Variations mineures.
S01;Z02;2017-07-19;P;1.56;Conditions stables.
S01;Z02;2017-07-20;P;5.78;Conditions stables.
S01;Z02;2017-07-21;P;4.34;Journée représentative.
S01;Z02;2017-07-22;P;0.34;Variations mineures.
S01;Z02;2017-07-23;P;5.41;Journée représentative.
S01;Z02;2017-07-24;P;13.66;Journée représentative.
S01;Z02;2017-07-25;P;1.70;Conditions stables.
S01;Z02;2017-07-26;P;9.38;Variations mineures.
S01;Z02;2017-07-27;P;5.28;Variations mineures.
S01;Z02;2017-07-28;P;9.66;Conditions stables.
S01;Z02;2017-07-29;P;7.46;Journée représentative.
S01;Z02;2017-07-30;P;12.31;Variations mineures.
S01;Z02;2017-07-31;P;10.22;Variations mineures.
S01;Z02;2017-08-01;P;9.83;Variations mineures.
S01;Z02;2017-08-02;P;12.81;Variations mineures.
S01;Z02;2017-08-03;P;7.83;Journée représentative.
S01;Z02;2017-08-04;P;10.09;Conditions stables.
S01;Z02;2017-08-05;P;2.98;Conditions stables.
S01;Z02;2017-08-06;P;14.81;Journée représentative.
S01;Z02;2017-08-07;P;7.31;Journée représentative.
S01;Z02;2017-08-08;P;2.66;Variations mineures.
S01;Z02;2017-08-09;P;14.20;Conditions stables.
S01;Z02;2017-08-10;P;2.25;Journée représentative.
S01;Z02;2017-08-11;P;8.02;Variations mineures.
S01;Z02;2017-08-12;P;0.32;Variations mineures.
S01;Z02;2017-08-13;P;9.23;Journée représentative.
S01;Z02;2017-08-14;P;0.63;Journée représentative.
S01;Z02;2017-08-15;P;1.02;Journée représentative.
S01;Z02;2017-08-16;P;2.95;Journée représentative.
S01;Z02;2017-08-17;P;4.37;Variations mineures.
S01;Z02;2017-08-18;P;2.61;Variations mineures.
S01;Z02;2017-08-19;P;10.74;Journée représentative.
S01;Z02;2017-08-20;P;2.82;Conditions stables.
S01;Z02;2017-08-21;P;13.47;Journée représentative.
S01;Z02;2017-08-22;P;5.62;Conditions stables.
S01;Z02;2017-08-23;P;6.16;Variations mineures.
S01;Z02;2017-08-24;P;13.38;Conditions stables.
S01;Z02;2017-08-25;P;2.21;Conditions stables.
S01;Z02;2017-08-26;P;12.17;Variations mineures.
S01;Z02;2017-08-27;P;10.68;Journée représentative.
S01;Z02;2017-08-28;P;11.01;Conditions stables.
S01;Z02;2017-08-29;P;5.39;Variations mineures.
S01;Z02;2017-08-30;P;6.66;Variations mineures.
S01;Z02;2017-08-31;P;11.94;Journée représentative.
S01;Z02;2017-09-01;P;12.64;Journée représentative.
S01;Z02;2017-09-02;P;0.31;Journée représentative.
S01;Z02;2017-09-03;P;2.68;Journée représentative.
S01;Z02;2017-09-04;P;12.98;Variations mineures.
S01;Z02;2017-09-05;P;1.79;Conditions stables.
S01;Z02;2017-09-06;P;12.88;Variations mineures.
S01;Z02;2017-09-07;P;8.02;Variations mineures.
S01;Z02;2017-09-08;P;2.48;Journée représentative.
S01;Z02;2017-09-09;P;11.22;Journée représentative.
S01;Z02;2017-09-10;P;11.30;Conditions stables.
S01;Z02;2017-09-11;P;9.88;Conditions stables.
S01;Z02;2017-09-12;P;11.17;Conditions stables.
S01;Z02;2017-09-13;P;12.81;Journée représentative.
S01;Z02;2017-09-14;P;5.15;Variations mineures.
S01;Z02;2017-09-15;P;1.15;Conditions stables.
S01;Z02;2017-09-16;P;3.51;Journée représentative.
S01;Z02;2017-09-17;P;3.02;Variations mineures.
S01;Z02;2017-09-18;P;14.93;Variations mineures.
S01;Z02;2017-09-19;P;7.99;Variations mineures.
S01;Z02;2017-09-20;P;12.99;Journée représentative.
S01;Z02;2017-09-21;P;3.74;Variations mineures.
S01;Z02;2017-09-22;P;2.35;Variations mineures.
S01;Z02;2017-09-23;P;10.77;Variations mineures.
S01;Z02;2017-09-24;P;1.84;Conditions stables.
S01;Z02;2017-09-25;P;8.24;Variations mineures.
S01;Z02;2017-09-26;P;2.47;Variations mineures.
S01;Z02;2017-09-27;P;11.11;Journée représentative.
S01;Z02;2017-09-28;P;2.24;Conditions stables.
S01;Z02;2017-09-29;P;7.83;Conditions stables.
S01;Z02;2017-09-30;P;10.46;Variations mineures.
S01;Z02;2017-10-01;P;12.79;Variations mineures.
S01;Z02;2017-10-02;P;1.80;Conditions stables.
S01;Z02;2017-10-03;P;8.65;Variations mineures.
S01;Z02;2017-10-04;P;9.99;Conditions stables.
S01;Z02;2017-10-05;P;13.05;Variations mineures.
S01;Z02;2017-10-06;P;2.69;Variations mineures.
S01;Z02;2017-10-07;P;8.70;Conditions stables.
S01;Z02;2017-10-08;P;11.96;Conditions stables.
S01;Z02;2017-10-09;P;6.07;Variations mineures.
S01;Z02;2017-10-10;P;8.56;Variations mineures.
S01;Z02;2017-10-11;P;0.51;Variations mineures.
S01;Z02;2017-10-12;P;13.70;Variations mineures.
S01;Z02;2017-10-13;P;5.57;Variations mineures.
S01;Z02;2017-10-14;P;10.75;Journée représentative.
S01;Z02;2017-10-15;P;4.10;Variations mineures.
S01;Z02;2017-10-16;P;8.42;Variations mineures.
S01;Z02;2017-10-17;P;8.62;Variations mineures.
S01;Z02;2017-10-18;P;8.99;Variations mineures.
S01;Z02;2017-10-19;P;0.87;Variations mineures.
S01;Z02;2017-10-20;P;7.92;Variations mineures.
S01;Z02;2017-10-21;P;1.13;Conditions stables.
S01;Z02;2017-10-22;P;0.88;Variations mineures.
S01;Z02;2017-10-23;P;0.81;Variations mineures.
S01;Z02;2017-10-24;P;11.83;Conditions stables.
S01;Z02;2017-10-25;P;4.24;Variations mineures.
S01;Z02;2017-10-26;P;7.39;Journée représentative.
S01;Z02;2017-10-27;P;4.39;Variations mineures.
S01;Z02;2017-10-28;P;0.35;Variations mineures.
S01;Z02;2017-10-29;P;9.99;Conditions stables.
S01;Z02;2017-10-30;P;10.87;Variations mineures.
S01;Z02;2017-10-31;P;13.03;Conditions stables.
