plantid;date;longueur;largeur;note
MMA1016;2017-07-15;125.36;87.06;Condition normale pour la saison.
MMA1016;2017-08-15;70.10;51.66;Condition normale pour la saison.
MMA1016;2017-09-15;161.62;88.33;Légère variabilité observée.
MMA1016;2017-10-15;87.74;58.54;Légère variabilité observée.
MMA1018;2017-05-15;76.84;167.44;Condition normale pour la saison.
MMA1018;2017-06-15;184.79;156.93;Rien à signaler.
MMA1018;2017-07-15;175.95;190.11;Légère variabilité observée.
MMA1018;2017-08-15;74.65;140.69;Légère variabilité observée.
MMA1018;2017-09-15;82.20;117.58;Condition normale pour la saison.
MMA1018;2017-10-15;95.79;129.76;Rien à signaler.
MMA1020;2017-05-15;80.45;82.35;Rien à signaler.
MMA1020;2017-06-15;84.75;81.15;Rien à signaler.
MMA1020;2017-07-15;75.21;77.98;Rien à signaler.
MMA1020;2017-08-15;86.49;88.49;Condition normale pour la saison.
MMA1020;2017-09-15;56.27;121.22;Légère variabilité observée.
MMA1020;2017-10-15;92.76;71.91;Condition normale pour la saison.
MMA1022;2017-05-15;72.33;199.73;Rien à signaler.
MMA1022;2017-06-15;82.79;160.76;Rien à signaler.
MMA1022;2017-07-15;80.43;155.69;Condition normale pour la saison.
MMA1022;2017-08-15;61.01;81.01;Légère variabilité observée.
MMA1022;2017-09-15;72.29;62.33;Rien à signaler.
MMA1022;2017-10-15;67.24;69.85;Condition normale pour la saison.
MMA1024;2017-05-15;156.35;177.53;Condition normale pour la saison.
MMA1024;2017-06-15;128.01;111.03;Condition normale pour la saison.
MMA1024;2017-07-15;117.45;165.97;Condition normale pour la saison.
MMA1024;2017-08-15;181.84;93.02;Légère variabilité observée.
MMA1024;2017-09-15;64.22;166.47;Condition normale pour la saison.
MMA1024;2017-10-15;174.74;105.53;Condition normale pour la saison.
MMA1026;2017-05-15;64.34;184.45;Légère variabilité observée.
MMA1026;2017-06-15;51.42;102.70;Rien à signaler.
MMA1026;2017-07-15;91.83;164.72;Légère variabilité observée.
MMA1026;2017-08-15;80.99;166.39;Légère variabilité observée.
MMA1026;2017-09-15;110.23;126.14;Condition normale pour la saison.
MMA1026;2017-10-15;56.44;124.01;Rien à signaler.
MMA1028;2017-05-15;77.11;137.62;Rien à signaler.
MMA1028;2017-06-15;113.84;181.05;Rien à signaler.
MMA1028;2017-07-15;139.93;106.95;Condition normale pour la saison.
MMA1028;2017-08-15;124.10;150.40;Légère variabilité observée.
MMA1028;2017-09-15;97.55;111.52;Condition normale pour la saison.
MMA1028;2017-10-15;186.33;95.04;Rien à signaler.
MMA1030;2017-05-15;74.36;77.58;Condition normale pour la saison.
MMA1030;2017-06-15;142.16;141.22;Rien à signaler.
MMA1030;2017-07-15;173.36;117.34;Rien à signaler.
MMA1030;2017-08-15;188.70;109.77;Condition normale pour la saison.
MMA1030;2017-09-15;194.91;59.40;Condition normale pour la saison.
MMA1030;2017-10-15;149.16;135.99;Légère variabilité observée.
MMA1032;2017-05-15;58.65;52.24;Condition normale pour la saison.
MMA1032;2017-06-15;181.08;80.68;Légère variabilité observée.
MMA1032;2017-07-15;157.86;100.15;Condition normale pour la saison.
MMA1032;2017-08-15;111.70;175.72;Rien à signaler.
MMA1032;2017-09-15;163.96;64.66;Légère variabilité observée.
MMA1032;2017-10-15;123.11;127.60;Condition normale pour la saison.
MMA1034;2017-05-15;195.27;116.96;Condition normale pour la saison.
MMA1034;2017-06-15;71.90;93.80;Condition normale pour la saison.
MMA1034;2017-07-15;58.97;147.30;Légère variabilité observée.
MMA1034;2017-08-15;135.42;162.79;Rien à signaler.
MMA1034;2017-09-15;88.37;129.45;Rien à signaler.
MMA1034;2017-10-15;127.48;60.86;Légère variabilité observée.
MMA1036;2017-05-15;102.49;174.90;Condition normale pour la saison.
MMA1036;2017-06-15;184.11;119.89;Condition normale pour la saison.
MMA1036;2017-07-15;132.43;140.09;Condition normale pour la saison.
MMA1036;2017-08-15;69.12;154.50;Condition normale pour la saison.
MMA1036;2017-09-15;94.78;159.33;Légère variabilité observée.
MMA1036;2017-10-15;198.92;122.89;Condition normale pour la saison.
MMA1038;2017-05-15;139.14;82.91;Condition normale pour la saison.
MMA1038;2017-06-15;79.37;159.38;Condition normale pour la saison.
MMA1038;2017-07-15;143.89;150.94;Rien à signaler.
MMA1038;2017-08-15;151.26;114.37;Rien à signaler.
MMA1038;2017-09-15;86.08;165.86;Légère variabilité observée.
MMA1038;2017-10-15;66.55;199.96;Condition normale pour la saison.
MMA1040;2017-05-15;118.12;85.16;Condition normale pour la saison.
MMA1040;2017-06-15;164.72;145.09;Légère variabilité observée.
MMA1040;2017-07-15;94.53;63.17;Condition normale pour la saison.
MMA1040;2017-08-15;102.01;134.32;Condition normale pour la saison.
MMA1040;2017-09-15;94.74;90.25;Rien à signaler.
MMA1040;2017-10-15;66.06;120.39;Condition normale pour la saison.
MMA1042;2017-05-15;127.92;147.27;Condition normale pour la saison.
MMA1042;2017-06-15;103.57;62.80;Condition normale pour la saison.
MMA1042;2017-07-15;134.97;192.80;Légère variabilité observée.
MMA1042;2017-08-15;62.36;81.08;Condition normale pour la saison.
MMA1042;2017-09-15;128.05;81.63;Condition normale pour la saison.
MMA1042;2017-10-15;167.30;122.98;Rien à signaler.
MMA1044;2017-05-15;86.75;193.26;Légère variabilité observée.
MMA1044;2017-06-15;67.91;112.72;Rien à signaler.
MMA1044;2017-07-15;126.85;89.34;Légère variabilité observée.
MMA1044;2017-08-15;165.95;112.33;Condition normale pour la saison.
MMA1044;2017-09-15;138.66;170.70;Condition normale pour la saison.
MMA1044;2017-10-15;196.83;141.67;Condition normale pour la saison.
MMA1046;2017-05-15;94.04;159.54;Légère variabilité observée.
MMA1046;2017-06-15;157.40;67.41;Condition normale pour la saison.
MMA1046;2017-07-15;166.35;191.99;Condition normale pour la saison.
MMA1046;2017-08-15;58.04;100.64;Légère variabilité observée.
MMA1046;2017-09-15;86.15;69.16;Condition normale pour la saison.
MMA1046;2017-10-15;56.41;153.78;Condition normale pour la saison.
MMA1048;2017-05-15;164.39;192.65;Rien à signaler.
MMA1048;2017-06-15;151.48;131.11;Légère variabilité observée.
MMA1048;2017-07-15;167.67;109.13;Condition normale pour la saison.
MMA1048;2017-08-15;120.18;86.52;Rien à signaler.
MMA1048;2017-09-15;195.42;79.87;Condition normale pour la saison.
MMA1048;2017-10-15;63.30;116.05;Rien à signaler.
MMA1050;2017-05-15;191.45;166.99;Légère variabilité observée.
MMA1050;2017-06-15;108.62;158.96;Condition normale pour la saison.
MMA1050;2017-07-15;84.91;176.82;Condition normale pour la saison.
MMA1050;2017-08-15;52.12;179.23;Légère variabilité observée.
MMA1050;2017-09-15;106.74;170.72;Condition normale pour la saison.
MMA1050;2017-10-15;132.92;140.45;Condition normale pour la saison.
MMA1052;2017-05-15;130.06;158.58;Condition normale pour la saison.
MMA1052;2017-06-15;153.70;53.35;Légère variabilité observée.
MMA1052;2017-07-15;135.60;119.77;Rien à signaler.
MMA1052;2017-08-15;169.69;117.15;Rien à signaler.
MMA1052;2017-09-15;101.49;169.37;Rien à signaler.
MMA1052;2017-10-15;86.17;183.92;Rien à signaler.
MMA1054;2017-05-15;89.05;192.97;Condition normale pour la saison.
MMA1054;2017-06-15;106.41;121.64;Condition normale pour la saison.
MMA1054;2017-07-15;177.80;135.53;Condition normale pour la saison.
MMA1054;2017-08-15;67.25;77.90;Rien à signaler.
MMA1054;2017-09-15;185.30;184.22;Condition normale pour la saison.
MMA1054;2017-10-15;109.68;140.67;Rien à signaler.
MMA1056;2017-05-15;94.54;65.86;Légère variabilité observée.
MMA1056;2017-06-15;148.95;63.97;Condition normale pour la saison.
MMA1056;2017-07-15;121.26;60.47;Légère variabilité observée.
MMA1056;2017-08-15;74.11;124.88;Légère variabilité observée.
MMA1056;2017-09-15;109.50;85.37;Condition normale pour la saison.
MMA1056;2017-10-15;106.92;159.61;Légère variabilité observée.
MMA1058;2017-05-15;150.75;153.21;Légère variabilité observée.
MMA1058;2017-06-15;137.33;148.69;Condition normale pour la saison.
MMA1058;2017-07-15;137.58;59.53;Condition normale pour la saison.
MMA1058;2017-08-15;120.76;116.69;Condition normale pour la saison.
MMA1058;2017-09-15;190.49;64.03;Rien à signaler.
MMA1058;2017-10-15;161.09;176.24;Condition normale pour la saison.
MMA1060;2017-05-15;91.94;117.49;Rien à signaler.
MMA1060;2017-06-15;141.56;109.69;Légère variabilité observée.
MMA1060;2017-07-15;91.99;167.49;Condition normale pour la saison.
MMA1060;2017-08-15;94.42;185.62;Condition normale pour la saison.
MMA1060;2017-09-15;124.34;57.52;Légère variabilité observée.
MMA1060;2017-10-15;156.18;78.95;Rien à signaler.
MMA1062;2017-05-15;126.78;173.22;Condition normale pour la saison.
MMA1062;2017-06-15;85.88;177.37;Légère variabilité observée.
MMA1062;2017-07-15;132.16;182.06;Rien à signaler.
MMA1062;2017-08-15;89.72;140.26;Condition normale pour la saison.
MMA1062;2017-09-15;51.45;121.91;Condition normale pour la saison.
MMA1062;2017-10-15;197.60;179.23;Condition normale pour la saison.
MMA1064;2017-05-15;69.22;180.69;Rien à signaler.
MMA1064;2017-06-15;105.80;126.35;Légère variabilité observée.
MMA1064;2017-07-15;191.84;99.54;Légère variabilité observée.
MMA1064;2017-08-15;136.43;96.93;Rien à signaler.
MMA1064;2017-09-15;112.69;109.57;Condition normale pour la saison.
MMA1064;2017-10-15;62.05;71.48;Condition normale pour la saison.
MMA1066;2017-05-15;73.42;141.52;Condition normale pour la saison.
MMA1066;2017-06-15;141.06;106.03;Condition normale pour la saison.
MMA1066;2017-07-15;103.91;93.04;Condition normale pour la saison.
MMA1066;2017-08-15;180.71;51.10;Rien à signaler.
MMA1066;2017-09-15;77.90;76.87;Légère variabilité observée.
MMA1066;2017-10-15;163.61;157.29;Condition normale pour la saison.
MMA1068;2017-05-15;117.88;179.55;Condition normale pour la saison.
MMA1068;2017-06-15;51.88;156.99;Condition normale pour la saison.
MMA1068;2017-07-15;164.68;185.22;Condition normale pour la saison.
MMA1068;2017-08-15;195.43;112.60;Rien à signaler.
MMA1068;2017-09-15;151.60;106.21;Rien à signaler.
MMA1068;2017-10-15;73.03;182.13;Condition normale pour la saison.
MMA1070;2017-05-15;177.21;97.62;Condition normale pour la saison.
MMA1070;2017-06-15;78.87;60.50;Rien à signaler.
MMA1070;2017-07-15;131.31;162.51;Légère variabilité observée.
MMA1070;2017-08-15;170.24;152.79;Rien à signaler.
MMA1070;2017-09-15;128.31;115.82;Légère variabilité observée.
MMA1070;2017-10-15;71.02;155.72;Condition normale pour la saison.
MMA1072;2017-05-15;149.43;117.44;Rien à signaler.
MMA1072;2017-06-15;191.49;108.08;Condition normale pour la saison.
MMA1072;2017-07-15;101.78;180.93;Condition normale pour la saison.
MMA1072;2017-08-15;94.94;100.12;Rien à signaler.
MMA1072;2017-09-15;101.56;112.07;Condition normale pour la saison.
MMA1072;2017-10-15;89.98;123.23;Condition normale pour la saison.
MMA1074;2017-05-15;109.18;134.32;Condition normale pour la saison.
MMA1074;2017-06-15;154.37;199.33;Rien à signaler.
MMA1074;2017-07-15;144.31;138.85;Rien à signaler.
MMA1074;2017-08-15;94.27;171.03;Condition normale pour la saison.
MMA1074;2017-09-15;58.84;158.82;Condition normale pour la saison.
MMA1074;2017-10-15;132.62;80.03;Rien à signaler.
MMA1076;2017-05-15;119.39;107.52;Condition normale pour la saison.
MMA1076;2017-06-15;137.21;85.83;Rien à signaler.
MMA1076;2017-07-15;87.74;165.16;Condition normale pour la saison.
MMA1076;2017-08-15;73.13;186.29;Légère variabilité observée.
MMA1076;2017-09-15;59.49;62.50;Condition normale pour la saison.
MMA1076;2017-10-15;150.07;169.04;Légère variabilité observée.
MMA1078;2017-05-15;193.04;50.83;Condition normale pour la saison.
MMA1078;2017-06-15;107.23;186.98;Légère variabilité observée.
MMA1078;2017-07-15;120.63;89.62;Légère variabilité observée.
MMA1078;2017-08-15;158.03;175.87;Condition normale pour la saison.
MMA1078;2017-09-15;126.05;110.88;Rien à signaler.
MMA1078;2017-10-15;165.82;156.91;Condition normale pour la saison.
MMA1080;2017-05-15;158.28;195.34;Condition normale pour la saison.
MMA1080;2017-06-15;81.32;59.26;Condition normale pour la saison.
MMA1080;2017-07-15;78.57;80.42;Légère variabilité observée.
MMA1080;2017-08-15;97.57;80.56;Condition normale pour la saison.
MMA1080;2017-09-15;189.94;195.76;Condition normale pour la saison.
MMA1080;2017-10-15;177.75;187.00;Condition normale pour la saison.
MMA1082;2017-05-15;82.96;153.68;Condition normale pour la saison.
MMA1082;2017-06-15;154.49;190.35;Condition normale pour la saison.
MMA1082;2017-07-15;98.65;122.35;Condition normale pour la saison.
MMA1082;2017-08-15;176.27;133.02;Condition normale pour la saison.
MMA1082;2017-09-15;199.73;66.55;Rien à signaler.
MMA1082;2017-10-15;165.16;161.43;Rien à signaler.
MMA1084;2017-05-15;122.03;159.09;Légère variabilité observée.
MMA1084;2017-06-15;107.43;119.80;Condition normale pour la saison.
MMA1084;2017-07-15;119.34;179.18;Condition normale pour la saison.
MMA1084;2017-08-15;121.33;107.07;Condition normale pour la saison.
MMA1084;2017-09-15;68.03;101.64;Condition normale pour la saison.
MMA1084;2017-10-15;150.89;137.40;Condition normale pour la saison.
MMA1086;2017-05-15;168.12;62.41;Condition normale pour la saison.
MMA1086;2017-06-15;169.04;116.26;Condition normale pour la saison.
MMA1086;2017-07-15;173.41;112.22;Condition normale pour la saison.
MMA1086;2017-08-15;50.61;139.61;Légère variabilité observée.
MMA1086;2017-09-15;90.79;165.28;Rien à signaler.
MMA1086;2017-10-15;71.97;58.55;Rien à signaler.
MMA1088;2017-05-15;120.75;115.65;Condition normale pour la saison.
MMA1088;2017-06-15;106.31;157.17;Condition normale pour la saison.
MMA1088;2017-07-15;168.10;153.34;Légère variabilité observée.
MMA1088;2017-08-15;77.02;66.91;Légère variabilité observée.
MMA1088;2017-09-15;73.11;63.73;Rien à signaler.
MMA1088;2017-10-15;143.92;58.05;Condition normale pour la saison.
MMA1090;2017-05-15;146.22;111.50;Rien à signaler.
MMA1090;2017-06-15;108.04;67.42;Condition normale pour la saison.
MMA1090;2017-07-15;141.34;149.80;Condition normale pour la saison.
MMA1090;2017-08-15;158.87;185.19;Condition normale pour la saison.
MMA1090;2017-09-15;61.81;178.64;Rien à signaler.
MMA1090;2017-10-15;54.00;121.24;Légère variabilité observée.
MMA1092;2017-05-15;62.34;188.59;Légère variabilité observée.
MMA1092;2017-06-15;197.33;183.41;Condition normale pour la saison.
MMA1092;2017-07-15;180.13;147.58;Condition normale pour la saison.
MMA1092;2017-08-15;61.56;105.25;Légère variabilité observée.
MMA1092;2017-09-15;125.80;61.38;Rien à signaler.
MMA1092;2017-10-15;126.38;113.18;Condition normale pour la saison.
MMA1094;2017-05-15;66.84;160.03;Condition normale pour la saison.
MMA1094;2017-06-15;73.03;113.64;Condition normale pour la saison.
MMA1094;2017-07-15;61.84;55.39;Condition normale pour la saison.
MMA1094;2017-08-15;97.03;106.13;Rien à signaler.
MMA1094;2017-09-15;102.51;174.74;Rien à signaler.
MMA1094;2017-10-15;136.98;125.48;Condition normale pour la saison.
MMA1096;2017-05-15;79.40;59.08;Rien à signaler.
MMA1096;2017-06-15;50.62;63.87;Condition normale pour la saison.
MMA1096;2017-07-15;113.02;113.95;Rien à signaler.
MMA1096;2017-08-15;68.81;94.21;Condition normale pour la saison.
MMA1096;2017-09-15;162.02;173.96;Rien à signaler.
MMA1096;2017-10-15;159.98;125.78;Condition normale pour la saison.
MMA1098;2017-05-15;96.17;96.37;Légère variabilité observée.
MMA1098;2017-06-15;135.56;111.86;Légère variabilité observée.
MMA1098;2017-07-15;94.69;156.11;Légère variabilité observée.
MMA1098;2017-08-15;151.77;52.62;Rien à signaler.
MMA1098;2017-09-15;155.06;193.71;Condition normale pour la saison.
MMA1098;2017-10-15;111.11;172.55;Condition normale pour la saison.
MMA1100;2017-05-15;61.16;145.87;Rien à signaler.
MMA1100;2017-06-15;85.69;52.43;Rien à signaler.
MMA1100;2017-07-15;86.96;136.91;Rien à signaler.
MMA1100;2017-08-15;138.52;174.89;Condition normale pour la saison.
MMA1100;2017-09-15;118.72;91.46;Condition normale pour la saison.
MMA1100;2017-10-15;197.35;148.59;Rien à signaler.
MMA2002;2017-05-15;66.14;187.01;Rien à signaler.
MMA2002;2017-06-15;110.61;78.47;Condition normale pour la saison.
MMA2002;2017-07-15;173.91;148.88;Condition normale pour la saison.
MMA2002;2017-08-15;109.45;99.19;Condition normale pour la saison.
MMA2002;2017-09-15;66.78;135.80;Rien à signaler.
MMA2002;2017-10-15;136.88;58.70;Rien à signaler.
MMA2004;2017-05-15;110.80;60.24;Rien à signaler.
MMA2004;2017-06-15;187.65;81.22;Condition normale pour la saison.
MMA2004;2017-07-15;160.99;177.07;Rien à signaler.
MMA2004;2017-08-15;121.76;56.84;Condition normale pour la saison.
MMA2004;2017-09-15;58.87;72.78;Légère variabilité observée.
MMA2004;2017-10-15;158.80;169.30;Légère variabilité observée.
MMA2006;2017-06-15;94.93;115.69;Légère variabilité observée.
MMA2006;2017-07-15;95.74;155.09;Rien à signaler.
MMA2006;2017-08-15;122.23;86.05;Condition normale pour la saison.
MMA2006;2017-09-15;169.25;77.49;Rien à signaler.
MMA2006;2017-10-15;75.48;179.94;Rien à signaler.
MMA2008;2017-05-15;178.56;195.30;Condition normale pour la saison.
MMA2008;2017-06-15;162.42;104.12;Rien à signaler.
MMA2008;2017-07-15;88.09;162.66;Condition normale pour la saison.
MMA2008;2017-08-15;195.74;102.97;Condition normale pour la saison.
MMA2008;2017-09-15;165.39;146.08;Légère variabilité observée.
MMA2008;2017-10-15;117.35;171.94;Légère variabilité observée.
MMA2010;2017-05-15;138.80;176.22;Rien à signaler.
MMA2010;2017-06-15;52.05;129.36;Condition normale pour la saison.
MMA2010;2017-07-15;85.17;179.49;Légère variabilité observée.
MMA2010;2017-08-15;52.34;145.53;Rien à signaler.
MMA2010;2017-09-15;147.04;171.19;Rien à signaler.
MMA2010;2017-10-15;178.26;175.61;Rien à signaler.
MMA2012;2017-05-15;65.56;62.14;Condition normale pour la saison.
MMA2012;2017-06-15;187.40;96.43;Condition normale pour la saison.
MMA2012;2017-07-15;170.62;163.04;Condition normale pour la saison.
MMA2012;2017-08-15;174.81;165.41;Rien à signaler.
MMA2012;2017-09-15;179.85;156.62;Légère variabilité observée.
MMA2012;2017-10-15;124.61;67.31;Condition normale pour la saison.
MMA2014;2017-05-15;190.52;191.46;Légère variabilité observée.
MMA2014;2017-06-15;101.23;184.42;Condition normale pour la saison.
MMA2014;2017-07-15;74.64;88.21;Rien à signaler.
MMA2014;2017-08-15;109.75;119.32;Légère variabilité observée.
MMA2014;2017-09-15;171.01;68.48;Condition normale pour la saison.
MMA2014;2017-10-15;173.61;101.97;Condition normale pour la saison.
MMA2016;2017-05-15;172.29;152.01;Condition normale pour la saison.
MMA2016;2017-06-15;92.11;64.60;Condition normale pour la saison.
MMA2016;2017-07-15;137.65;118.64;Légère variabilité observée.
MMA2016;2017-08-15;87.17;167.41;Rien à signaler.
MMA2016;2017-09-15;189.17;107.16;Rien à signaler.
MMA2016;2017-10-15;167.02;79.21;Légère variabilité observée.
MMA2018;2017-05-15;80.07;190.83;Rien à signaler.
MMA2018;2017-06-15;72.50;81.15;Condition normale pour la saison.
MMA2018;2017-07-15;166.62;86.52;Légère variabilité observée.
MMA2018;2017-08-15;113.60;119.83;Condition normale pour la saison.
MMA2018;2017-09-15;179.84;196.20;Condition normale pour la saison.
MMA2018;2017-10-15;146.02;173.77;Rien à signaler.
MMA2020;2017-05-15;179.41;97.92;Légère variabilité observée.
MMA2020;2017-06-15;90.93;175.60;Condition normale pour la saison.
MMA2020;2017-07-15;124.32;96.37;Légère variabilité observée.
MMA2020;2017-08-15;126.77;73.09;Condition normale pour la saison.
MMA2020;2017-09-15;91.05;178.67;Condition normale pour la saison.
MMA2020;2017-10-15;115.14;103.40;Rien à signaler.
MMA2022;2017-05-15;161.93;70.97;Légère variabilité observée.
MMA2022;2017-06-15;66.47;81.10;Condition normale pour la saison.
MMA2022;2017-07-15;179.06;79.52;Condition normale pour la saison.
MMA2022;2017-08-15;122.09;188.74;Légère variabilité observée.
MMA2022;2017-09-15;106.11;88.87;Rien à signaler.
MMA2022;2017-10-15;84.89;119.65;Condition normale pour la saison.
MMA2024;2017-05-15;140.43;139.67;Condition normale pour la saison.
MMA2024;2017-06-15;187.30;126.96;Condition normale pour la saison.
MMA2024;2017-07-15;57.33;122.95;Légère variabilité observée.
MMA2024;2017-08-15;61.58;59.65;Légère variabilité observée.
MMA2024;2017-09-15;102.24;97.99;Rien à signaler.
MMA2024;2017-10-15;97.25;104.70;Condition normale pour la saison.
MMA2026;2017-05-15;88.31;51.60;Légère variabilité observée.
MMA2026;2017-06-15;152.71;76.85;Légère variabilité observée.
MMA2026;2017-07-15;123.78;94.87;Rien à signaler.
MMA2026;2017-08-15;198.52;146.90;Légère variabilité observée.
MMA2026;2017-09-15;87.57;162.95;Condition normale pour la saison.
MMA2026;2017-10-15;88.07;51.57;Condition normale pour la saison.
MMA2028;2017-05-15;133.09;111.81;Condition normale pour la saison.
MMA2028;2017-06-15;175.28;136.25;Rien à signaler.
MMA2028;2017-07-15;199.26;77.84;Rien à signaler.
MMA2028;2017-08-15;64.95;56.45;Condition normale pour la saison.
MMA2028;2017-09-15;165.67;74.05;Rien à signaler.
MMA2028;2017-10-15;52.82;75.50;Condition normale pour la saison.
MMA2030;2017-05-15;94.80;75.63;Rien à signaler.
MMA2030;2017-06-15;110.37;183.12;Condition normale pour la saison.
MMA2030;2017-07-15;117.21;76.31;Rien à signaler.
MMA2030;2017-08-15;92.85;133.49;Condition normale pour la saison.
MMA2030;2017-09-15;120.33;162.94;Condition normale pour la saison.
MMA2030;2017-10-15;52.18;118.87;Condition normale pour la saison.
MMA2032;2017-05-15;198.08;85.44;Condition normale pour la saison.
MMA2032;2017-06-15;198.24;99.37;Rien à signaler.
MMA2032;2017-07-15;186.61;169.98;Condition normale pour la saison.
MMA2032;2017-08-15;175.61;120.71;Légère variabilité observée.
MMA2032;2017-09-15;90.03;174.65;Condition normale pour la saison.
MMA2032;2017-10-15;129.02;104.13;Condition normale pour la saison.
MMA2034;2017-05-15;105.49;147.82;Légère variabilité observée.
MMA2034;2017-06-15;125.95;125.89;Condition normale pour la saison.
MMA2034;2017-07-15;109.28;142.08;Légère variabilité observée.
MMA2034;2017-08-15;124.50;137.88;Rien à signaler.
MMA2034;2017-09-15;111.12;59.15;Rien à signaler.
MMA2034;2017-10-15;95.58;89.58;Légère variabilité observée.
MMA2036;2017-05-15;55.18;81.24;Rien à signaler.
MMA2036;2017-06-15;93.51;60.75;Condition normale pour la saison.
MMA2036;2017-07-15;185.11;129.07;Légère variabilité observée.
MMA2036;2017-08-15;184.20;84.95;Condition normale pour la saison.
MMA2036;2017-09-15;191.76;116.83;Rien à signaler.
MMA2036;2017-10-15;76.17;102.18;Condition normale pour la saison.
MMA2038;2017-05-15;100.95;134.40;Condition normale pour la saison.
MMA2038;2017-06-15;75.56;104.01;Condition normale pour la saison.
MMA2038;2017-07-15;158.00;181.78;Condition normale pour la saison.
MMA2038;2017-08-15;170.66;155.35;Condition normale pour la saison.
MMA2038;2017-09-15;60.32;69.55;Condition normale pour la saison.
MMA2038;2017-10-15;59.37;126.52;Condition normale pour la saison.
MMA2040;2017-05-15;140.75;154.30;Condition normale pour la saison.
MMA2040;2017-06-15;138.88;174.91;Condition normale pour la saison.
MMA2040;2017-07-15;80.31;108.59;Condition normale pour la saison.
MMA2040;2017-08-15;73.19;171.11;Condition normale pour la saison.
MMA2040;2017-09-15;180.06;110.74;Condition normale pour la saison.
MMA2040;2017-10-15;63.98;191.04;Condition normale pour la saison.
MMA2042;2017-05-15;147.22;56.25;Légère variabilité observée.
MMA2042;2017-06-15;139.63;173.31;Légère variabilité observée.
MMA2042;2017-07-15;147.95;143.82;Condition normale pour la saison.
MMA2042;2017-08-15;74.62;118.93;Rien à signaler.
MMA2042;2017-09-15;132.76;116.04;Condition normale pour la saison.
MMA2042;2017-10-15;113.36;127.78;Condition normale pour la saison.
MMA2044;2017-05-15;59.32;132.20;Rien à signaler.
MMA2044;2017-06-15;52.71;172.67;Rien à signaler.
MMA2044;2017-07-15;113.55;105.62;Condition normale pour la saison.
MMA2044;2017-08-15;68.28;94.58;Légère variabilité observée.
MMA2044;2017-09-15;82.77;190.29;Condition normale pour la saison.
MMA2044;2017-10-15;57.88;138.06;Légère variabilité observée.
MMA2046;2017-05-15;190.17;182.30;Condition normale pour la saison.
MMA2046;2017-06-15;76.68;84.53;Condition normale pour la saison.
