plantid;date;etat;note
MMA3022;2017-07-15;O;Condition normale pour la saison.
MMA3023;2017-07-15;O;Condition normale pour la saison.
MMA3024;2017-07-15;O;Condition normale pour la saison.
MMA3025;2017-07-15;O;Condition normale pour la saison.
MMA3026;2017-07-15;O;Rien à signaler.
MMA3027;2017-07-15;O;Condition normale pour la saison.
MMA3028;2017-07-15;O;Légère variabilité observée.
MMA3029;2017-07-15;O;Condition normale pour la saison.
MMA3030;2017-07-15;O;Condition normale pour la saison.
MMA3031;2017-07-15;O;Rien à signaler.
MMA3032;2017-07-15;O;Condition normale pour la saison.
MMA3033;2017-07-15;O;Rien à signaler.
MMA3034;2017-07-15;O;Condition normale pour la saison.
MMA3035;2017-07-15;O;Légère variabilité observée.
MMA3036;2017-07-15;O;Condition normale pour la saison.
MMA3037;2017-07-15;O;Rien à signaler.
MMA3038;2017-07-15;O;Rien à signaler.
MMA3039;2017-07-15;O;Rien à signaler.
MMA3040;2017-07-15;O;Légère variabilité observée.
MMA3041;2017-07-15;O;Légère variabilité observée.
MMA3042;2017-07-15;O;Rien à signaler.
MMA3043;2017-07-15;O;Condition normale pour la saison.
MMA3044;2017-07-15;O;Légère variabilité observée.
MMA3045;2017-07-15;O;Rien à signaler.
MMA3046;2017-07-15;O;Rien à signaler.
MMA3047;2017-07-15;O;Rien à signaler.
MMA3048;2017-07-15;O;Condition normale pour la saison.
MMA3049;2017-07-15;O;Rien à signaler.
MMA3050;2017-07-15;O;Rien à signaler.
MMA3051;2017-07-15;O;Rien à signaler.
MMA3052;2017-07-15;O;Condition normale pour la saison.
MMA3053;2017-07-15;O;Légère variabilité observée.
MMA3054;2017-07-15;O;Condition normale pour la saison.
MMA3055;2017-07-15;O;Condition normale pour la saison.
MMA3056;2017-07-15;O;Rien à signaler.
MMA3057;2017-07-15;O;Légère variabilité observée.
MMA3058;2017-07-15;O;Légère variabilité observée.
MMA3059;2017-07-15;O;Condition normale pour la saison.
MMA3060;2017-07-15;O;Rien à signaler.
MMA3061;2017-07-15;O;Condition normale pour la saison.
MMA3062;2017-07-15;O;Condition normale pour la saison.
MMA3063;2017-07-15;O;Condition normale pour la saison.
MMA3064;2017-07-15;O;Condition normale pour la saison.
MMA3065;2017-07-15;O;Condition normale pour la saison.
MMA3066;2017-07-15;O;Rien à signaler.
MMA3067;2017-07-15;O;Condition normale pour la saison.
MMA3068;2017-07-15;O;Condition normale pour la saison.
MMA3069;2017-07-15;O;Rien à signaler.
MMA3070;2017-07-15;O;Rien à signaler.
MMA3071;2017-07-15;O;Légère variabilité observée.
MMA3072;2017-07-15;O;Rien à signaler.
MMA3073;2017-07-15;O;Rien à signaler.
MMA3074;2017-07-15;O;Condition normale pour la saison.
MMA3075;2017-07-15;O;Condition normale pour la saison.
MMA3076;2017-07-15;O;Condition normale pour la saison.
MMA3077;2017-07-15;O;Condition normale pour la saison.
MMA3078;2017-07-15;O;Rien à signaler.
MMA3079;2017-07-15;O;Condition normale pour la saison.
MMA3080;2017-07-15;O;Légère variabilité observée.
MMA3081;2017-07-15;O;Condition normale pour la saison.
MMA3082;2017-07-15;O;Condition normale pour la saison.
MMA3083;2017-07-15;O;Condition normale pour la saison.
MMA3084;2017-07-15;O;Rien à signaler.
MMA3085;2017-07-15;O;Rien à signaler.
MMA3086;2017-07-15;O;Rien à signaler.
MMA3087;2017-07-15;O;Légère variabilité observée.
MMA3088;2017-07-15;O;Condition normale pour la saison.
MMA3089;2017-07-15;O;Rien à signaler.
MMA3090;2017-07-15;O;Légère variabilité observée.
MMA3091;2017-07-15;O;Condition normale pour la saison.
MMA3092;2017-07-15;O;Condition normale pour la saison.
MMA3093;2017-07-15;O;Rien à signaler.
MMA3094;2017-07-15;O;Condition normale pour la saison.
MMA3095;2017-07-15;O;Condition normale pour la saison.
MMA3096;2017-07-15;O;Rien à signaler.
MMA3097;2017-07-15;O;Condition normale pour la saison.
MMA3098;2017-07-15;O;Condition normale pour la saison.
MMA3099;2017-07-15;O;Légère variabilité observée.
MMA3100;2017-07-15;O;Condition normale pour la saison.
MMA4001;2017-07-15;O;Condition normale pour la saison.
MMA4002;2017-07-15;O;Condition normale pour la saison.
MMA4003;2017-07-15;O;Rien à signaler.
MMA4004;2017-07-15;O;Rien à signaler.
MMA4005;2017-07-15;O;Condition normale pour la saison.
MMA4006;2017-07-15;O;Condition normale pour la saison.
MMA4007;2017-07-15;O;Condition normale pour la saison.
MMA4008;2017-07-15;O;Rien à signaler.
MMA4009;2017-07-15;O;Condition normale pour la saison.
MMA4010;2017-07-15;O;Rien à signaler.
MMA4011;2017-07-15;O;Condition normale pour la saison.
MMA4012;2017-07-15;O;Condition normale pour la saison.
MMA4013;2017-07-15;O;Rien à signaler.
MMA4014;2017-07-15;O;Légère variabilité observée.
MMA4015;2017-07-15;O;Légère variabilité observée.
MMA4016;2017-07-15;O;Condition normale pour la saison.
MMA4017;2017-07-15;O;Légère variabilité observée.
MMA4018;2017-07-15;O;Condition normale pour la saison.
MMA4019;2017-07-15;O;Condition normale pour la saison.
MMA4020;2017-07-15;O;Légère variabilité observée.
MMA4021;2017-07-15;O;Condition normale pour la saison.
MMA4022;2017-07-15;O;Condition normale pour la saison.
MMA4023;2017-07-15;O;Rien à signaler.
MMA4024;2017-07-15;O;Légère variabilité observée.
MMA4025;2017-07-15;O;Condition normale pour la saison.
MMA4026;2017-07-15;O;Condition normale pour la saison.
MMA4027;2017-07-15;O;Rien à signaler.
MMA4028;2017-07-15;O;Condition normale pour la saison.
MMA4029;2017-07-15;O;Condition normale pour la saison.
MMA4030;2017-07-15;O;Légère variabilité observée.
MMA4031;2017-07-15;O;Condition normale pour la saison.
MMA4032;2017-07-15;O;Condition normale pour la saison.
MMA4033;2017-07-15;O;Condition normale pour la saison.
MMA4034;2017-07-15;O;Condition normale pour la saison.
MMA4035;2017-07-15;O;Condition normale pour la saison.
MMA4036;2017-07-15;O;Condition normale pour la saison.
MMA4037;2017-07-15;O;Rien à signaler.
MMA4038;2017-07-15;O;Rien à signaler.
MMA4039;2017-07-15;O;Condition normale pour la saison.
MMA4040;2017-07-15;O;Condition normale pour la saison.
MMA4041;2017-07-15;O;Rien à signaler.
MMA4042;2017-07-15;O;Condition normale pour la saison.
MMA4043;2017-07-15;O;Rien à signaler.
MMA4044;2017-07-15;O;Condition normale pour la saison.
MMA4045;2017-07-15;O;Légère variabilité observée.
MMA4046;2017-07-15;O;Légère variabilité observée.
MMA4047;2017-07-15;O;Rien à signaler.
MMA4048;2017-07-15;O;Rien à signaler.
MMA4049;2017-07-15;O;Condition normale pour la saison.
MMA4050;2017-07-15;O;Rien à signaler.
MMA4051;2017-07-15;O;Condition normale pour la saison.
MMA4052;2017-07-15;O;Condition normale pour la saison.
MMA4053;2017-07-15;O;Légère variabilité observée.
MMA4054;2017-07-15;O;Condition normale pour la saison.
MMA4055;2017-07-15;O;Légère variabilité observée.
MMA4056;2017-07-15;O;Condition normale pour la saison.
MMA4057;2017-07-15;O;Rien à signaler.
MMA4058;2017-07-15;O;Condition normale pour la saison.
MMA4059;2017-07-15;O;Condition normale pour la saison.
MMA4060;2017-07-15;O;Légère variabilité observée.
MMA4061;2017-07-15;O;Légère variabilité observée.
MMA4062;2017-07-15;O;Légère variabilité observée.
MMA4063;2017-07-15;O;Rien à signaler.
MMA4064;2017-07-15;O;Condition normale pour la saison.
MMA4065;2017-07-15;O;Rien à signaler.
MMA4066;2017-07-15;O;Rien à signaler.
MMA4067;2017-07-15;O;Rien à signaler.
MMA4068;2017-07-15;O;Condition normale pour la saison.
MMA4069;2017-07-15;O;Condition normale pour la saison.
MMA4070;2017-07-15;O;Condition normale pour la saison.
MMA4071;2017-07-15;O;Légère variabilité observée.
MMA4072;2017-07-15;O;Condition normale pour la saison.
MMA4073;2017-07-15;O;Rien à signaler.
MMA4074;2017-07-15;O;Légère variabilité observée.
MMA4075;2017-07-15;O;Rien à signaler.
MMA4076;2017-07-15;O;Légère variabilité observée.
MMA4077;2017-07-15;O;Condition normale pour la saison.
MMA4078;2017-07-15;O;Condition normale pour la saison.
MMA4079;2017-07-15;O;Condition normale pour la saison.
MMA4080;2017-07-15;O;Condition normale pour la saison.
MMA4081;2017-07-15;O;Rien à signaler.
MMA4082;2017-07-15;O;Légère variabilité observée.
MMA4083;2017-07-15;O;Condition normale pour la saison.
MMA4084;2017-07-15;O;Rien à signaler.
MMA4085;2017-07-15;O;Condition normale pour la saison.
MMA4086;2017-07-15;O;Rien à signaler.
MMA4087;2017-07-15;O;Condition normale pour la saison.
MMA4088;2017-07-15;O;Condition normale pour la saison.
MMA4089;2017-07-15;O;Légère variabilité observée.
MMA4090;2017-07-15;O;Condition normale pour la saison.
MMA4091;2017-07-15;O;Rien à signaler.
MMA4092;2017-07-15;O;Condition normale pour la saison.
MMA4093;2017-07-15;O;Condition normale pour la saison.
MMA4094;2017-07-15;O;Rien à signaler.
MMA4095;2017-07-15;O;Légère variabilité observée.
MMA4096;2017-07-15;O;Condition normale pour la saison.
MMA4097;2017-07-15;O;Condition normale pour la saison.
MMA4098;2017-07-15;O;Condition normale pour la saison.
MMA4099;2017-07-15;O;Rien à signaler.
MMA4100;2017-07-15;O;Rien à signaler.
MMB1001;2017-07-15;O;Rien à signaler.
MMB1002;2017-07-15;O;Condition normale pour la saison.
MMB1003;2017-07-15;O;Condition normale pour la saison.
MMB1004;2017-07-15;O;Condition normale pour la saison.
MMB1005;2017-07-15;O;Rien à signaler.
MMB1006;2017-07-15;O;Rien à signaler.
MMB1007;2017-07-15;O;Condition normale pour la saison.
MMB1008;2017-07-15;O;Condition normale pour la saison.
MMB1009;2017-07-15;O;Condition normale pour la saison.
MMB1010;2017-07-15;O;Rien à signaler.
MMB1011;2017-07-15;O;Condition normale pour la saison.
MMB1012;2017-07-15;O;Rien à signaler.
MMB1013;2017-07-15;O;Rien à signaler.
MMB1014;2017-07-15;O;Légère variabilité observée.
MMB1015;2017-07-15;O;Condition normale pour la saison.
MMB1016;2017-07-15;O;Légère variabilité observée.
MMB1017;2017-07-15;O;Légère variabilité observée.
MMB1018;2017-07-15;O;Condition normale pour la saison.
MMB1019;2017-07-15;O;Légère variabilité observée.
MMB1020;2017-07-15;O;Condition normale pour la saison.
MMB1021;2017-07-15;O;Légère variabilité observée.
MMB1022;2017-07-15;O;Rien à signaler.
MMB1023;2017-07-15;O;Condition normale pour la saison.
MMB1024;2017-07-15;O;Condition normale pour la saison.
MMB1025;2017-07-15;O;Rien à signaler.
MMB1026;2017-07-15;O;Légère variabilité observée.
MMB1027;2017-07-15;O;Légère variabilité observée.
MMB1028;2017-07-15;O;Légère variabilité observée.
MMB1029;2017-07-15;O;Condition normale pour la saison.
MMB1030;2017-07-15;O;Condition normale pour la saison.
MMB1031;2017-07-15;O;Légère variabilité observée.
MMB1032;2017-07-15;O;Rien à signaler.
MMB1033;2017-07-15;O;Condition normale pour la saison.
MMB1034;2017-07-15;O;Légère variabilité observée.
MMB1035;2017-07-15;O;Condition normale pour la saison.
MMB1036;2017-07-15;O;Condition normale pour la saison.
MMB1037;2017-07-15;O;Condition normale pour la saison.
MMB1038;2017-07-15;O;Légère variabilité observée.
MMB1039;2017-07-15;O;Rien à signaler.
MMB1040;2017-07-15;O;Légère variabilité observée.
MMB1041;2017-07-15;O;Légère variabilité observée.
MMB1042;2017-07-15;O;Condition normale pour la saison.
MMB1043;2017-07-15;O;Condition normale pour la saison.
MMB1044;2017-07-15;O;Condition normale pour la saison.
MMB1045;2017-07-15;O;Condition normale pour la saison.
MMB1046;2017-07-15;O;Légère variabilité observée.
MMB1047;2017-07-15;O;Rien à signaler.
MMB1048;2017-07-15;O;Légère variabilité observée.
MMB1049;2017-07-15;O;Condition normale pour la saison.
MMB1050;2017-07-15;O;Condition normale pour la saison.
MMB1051;2017-07-15;O;Rien à signaler.
MMB1052;2017-07-15;O;Condition normale pour la saison.
MMB1053;2017-07-15;O;Légère variabilité observée.
MMB1054;2017-07-15;O;Condition normale pour la saison.
MMB1055;2017-07-15;O;Légère variabilité observée.
MMB1056;2017-07-15;O;Condition normale pour la saison.
MMB1057;2017-07-15;O;Légère variabilité observée.
MMB1058;2017-07-15;O;Légère variabilité observée.
MMB1059;2017-07-15;O;Rien à signaler.
MMB1060;2017-07-15;O;Légère variabilité observée.
MMB1061;2017-07-15;O;Rien à signaler.
MMB1062;2017-07-15;O;Condition normale pour la saison.
MMB1063;2017-07-15;O;Condition normale pour la saison.
MMB1064;2017-07-15;O;Légère variabilité observée.
MMB1065;2017-07-15;O;Condition normale pour la saison.
MMB1066;2017-07-15;O;Légère variabilité observée.
MMB1067;2017-07-15;O;Condition normale pour la saison.
MMB1068;2017-07-15;O;Condition normale pour la saison.
MMB1069;2017-07-15;O;Condition normale pour la saison.
MMB1070;2017-07-15;O;Rien à signaler.
MMB1071;2017-07-15;O;Légère variabilité observée.
MMB1072;2017-07-15;O;Rien à signaler.
MMB1073;2017-07-15;O;Légère variabilité observée.
MMB1074;2017-07-15;O;Condition normale pour la saison.
MMB1075;2017-07-15;O;Condition normale pour la saison.
MMB1076;2017-07-15;O;Condition normale pour la saison.
MMB1077;2017-07-15;O;Rien à signaler.
MMB1078;2017-07-15;O;Rien à signaler.
MMB1079;2017-07-15;O;Condition normale pour la saison.
MMB1080;2017-07-15;O;Condition normale pour la saison.
MMB1081;2017-07-15;O;Condition normale pour la saison.
MMB1082;2017-07-15;O;Légère variabilité observée.
MMB1083;2017-07-15;O;Condition normale pour la saison.
MMB1084;2017-07-15;O;Légère variabilité observée.
MMB1085;2017-07-15;O;Condition normale pour la saison.
MMB1086;2017-07-15;O;Condition normale pour la saison.
MMB1087;2017-07-15;O;Rien à signaler.
MMB1088;2017-07-15;O;Condition normale pour la saison.
MMB1089;2017-07-15;O;Légère variabilité observée.
MMB1090;2017-07-15;O;Rien à signaler.
MMB1091;2017-07-15;O;Rien à signaler.
MMB1092;2017-07-15;O;Rien à signaler.
MMB1093;2017-07-15;O;Condition normale pour la saison.
MMB1094;2017-07-15;O;Condition normale pour la saison.
MMB1095;2017-07-15;O;Rien à signaler.
MMB1096;2017-07-15;O;Légère variabilité observée.
MMB1097;2017-07-15;O;Légère variabilité observée.
MMB1098;2017-07-15;O;Condition normale pour la saison.
MMB1099;2017-07-15;O;Condition normale pour la saison.
MMB1100;2017-07-15;O;Rien à signaler.
MMB2001;2017-07-15;O;Rien à signaler.
MMB2002;2017-07-15;O;Condition normale pour la saison.
MMB2003;2017-07-15;O;Rien à signaler.
MMB2004;2017-07-15;O;Rien à signaler.
MMB2005;2017-07-15;O;Condition normale pour la saison.
MMB2006;2017-07-15;O;Condition normale pour la saison.
MMB2007;2017-07-15;O;Légère variabilité observée.
MMB2008;2017-07-15;O;Condition normale pour la saison.
MMB2009;2017-07-15;O;Condition normale pour la saison.
MMB2010;2017-07-15;O;Rien à signaler.
MMB2011;2017-07-15;O;Rien à signaler.
MMB2012;2017-07-15;O;Rien à signaler.
MMB2013;2017-07-15;O;Condition normale pour la saison.
MMB2014;2017-07-15;O;Légère variabilité observée.
MMB2015;2017-07-15;O;Condition normale pour la saison.
MMB2016;2017-07-15;O;Légère variabilité observée.
MMB2017;2017-07-15;O;Rien à signaler.
MMB2018;2017-07-15;O;Condition normale pour la saison.
MMB2019;2017-07-15;O;Condition normale pour la saison.
MMB2020;2017-07-15;O;Légère variabilité observée.
MMB2021;2017-07-15;O;Condition normale pour la saison.
MMB2022;2017-07-15;O;Légère variabilité observée.
MMB2023;2017-07-15;O;Légère variabilité observée.
MMB2024;2017-07-15;O;Rien à signaler.
MMB2025;2017-07-15;O;Condition normale pour la saison.
MMB2026;2017-07-15;O;Condition normale pour la saison.
MMB2027;2017-07-15;O;Légère variabilité observée.
MMB2028;2017-07-15;O;Rien à signaler.
MMB2029;2017-07-15;O;Condition normale pour la saison.
MMB2030;2017-07-15;O;Condition normale pour la saison.
MMB2031;2017-07-15;O;Condition normale pour la saison.
MMB2032;2017-07-15;O;Condition normale pour la saison.
MMB2033;2017-07-15;O;Rien à signaler.
MMB2034;2017-07-15;O;Condition normale pour la saison.
MMB2035;2017-07-15;O;Rien à signaler.
MMB2036;2017-07-15;O;Rien à signaler.
