plantid;date;siteid;zoneid;placetteid;parcelleid;coordx;coordy;note
MMA1006;2017-10-15;S01;Z01;A1;11;0.53;0.53;Condition normale pour la saison.
MMA1007;2017-05-15;S01;Z01;A1;11;0.73;0.09;Rien à signaler.
MMA1007;2017-06-15;S01;Z01;A1;11;0.94;0.29;Légère variabilité observée.
MMA1007;2017-07-15;S01;Z01;A1;11;0.27;0.32;Légère variabilité observée.
MMA1007;2017-08-15;S01;Z01;A1;11;0.43;0.88;Condition normale pour la saison.
MMA1007;2017-09-15;S01;Z01;A1;11;0.85;0.82;Légère variabilité observée.
MMA1007;2017-10-15;S01;Z01;A1;11;0.63;0.68;Rien à signaler.
MMA1008;2017-05-15;S01;Z01;A1;11;0.27;0.38;Condition normale pour la saison.
MMA1008;2017-06-15;S01;Z01;A1;11;0.41;0.30;Condition normale pour la saison.
MMA1008;2017-07-15;S01;Z01;A1;11;0.18;0.09;Condition normale pour la saison.
MMB4092;2017-09-15;S01;Z02;B4;12;0.34;0.69;Rien à signaler.
MMA1008;2017-08-15;S01;Z01;A1;11;0.71;0.82;Condition normale pour la saison.
MMA1008;2017-09-15;S01;Z01;A1;11;0.25;0.06;Condition normale pour la saison.
MMA1008;2017-10-15;S01;Z01;A1;11;0.20;0.52;Condition normale pour la saison.
MMA1009;2017-05-15;S01;Z01;A1;11;0.12;0.06;Condition normale pour la saison.
MMA1009;2017-06-15;S01;Z01;A1;11;0.81;0.68;Condition normale pour la saison.
MMA1009;2017-07-15;S01;Z01;A1;11;0.06;0.16;Rien à signaler.
MMA1009;2017-08-15;S01;Z01;A1;11;0.13;0.38;Rien à signaler.
MMA1009;2017-09-15;S01;Z01;A1;11;0.85;0.24;Condition normale pour la saison.
MMA1009;2017-10-15;S01;Z01;A1;11;0.33;0.21;Légère variabilité observée.
MMA1010;2017-05-15;S01;Z01;A1;11;0.23;0.92;Rien à signaler.
MMA1010;2017-06-15;S01;Z01;A1;11;0.79;0.69;Condition normale pour la saison.
MMA1010;2017-07-15;S01;Z01;A1;11;0.14;0.17;Légère variabilité observée.
MMA1010;2017-08-15;S01;Z01;A1;11;0.17;0.19;Rien à signaler.
MMA1010;2017-09-15;S01;Z01;A1;11;0.40;0.33;Légère variabilité observée.
MMA1010;2017-10-15;S01;Z01;A1;11;0.36;0.41;Rien à signaler.
MMA1011;2017-05-15;S01;Z01;A1;11;0.53;0.34;Condition normale pour la saison.
MMA1011;2017-06-15;S01;Z01;A1;11;0.83;0.09;Légère variabilité observée.
MMA1011;2017-07-15;S01;Z01;A1;11;0.27;0.93;Rien à signaler.
MMA1011;2017-08-15;S01;Z01;A1;11;0.40;0.64;Condition normale pour la saison.
MMA1011;2017-09-15;S01;Z01;A1;11;0.94;0.65;Condition normale pour la saison.
MMA1011;2017-10-15;S01;Z01;A1;11;0.92;0.33;Condition normale pour la saison.
MMA1012;2017-05-15;S01;Z01;A1;11;0.43;0.72;Condition normale pour la saison.
MMA1012;2017-06-15;S01;Z01;A1;11;0.15;0.66;Condition normale pour la saison.
MMA1012;2017-07-15;S01;Z01;A1;11;0.37;0.33;Rien à signaler.
MMA1012;2017-08-15;S01;Z01;A1;11;0.80;0.71;Condition normale pour la saison.
MMA1012;2017-09-15;S01;Z01;A1;11;0.92;0.31;Légère variabilité observée.
MMA1012;2017-10-15;S01;Z01;A1;11;0.91;0.11;Rien à signaler.
MMA1013;2017-05-15;S01;Z01;A1;11;0.89;0.35;Condition normale pour la saison.
MMA1013;2017-06-15;S01;Z01;A1;11;0.33;0.60;Rien à signaler.
MMA1013;2017-07-15;S01;Z01;A1;11;0.78;0.75;Légère variabilité observée.
MMA1013;2017-08-15;S01;Z01;A1;11;0.65;0.76;Condition normale pour la saison.
MMA1013;2017-09-15;S01;Z01;A1;11;0.76;0.81;Condition normale pour la saison.
MMA1013;2017-10-15;S01;Z01;A1;11;0.91;0.40;Condition normale pour la saison.
MMA1014;2017-05-15;S01;Z01;A1;11;0.47;0.06;Condition normale pour la saison.
MMA1014;2017-06-15;S01;Z01;A1;11;0.20;0.37;Légère variabilité observée.
MMA1014;2017-07-15;S01;Z01;A1;11;0.17;0.42;Légère variabilité observée.
MMA1014;2017-08-15;S01;Z01;A1;11;0.15;0.07;Condition normale pour la saison.
MMA1014;2017-09-15;S01;Z01;A1;11;0.58;0.90;Rien à signaler.
MMA1014;2017-10-15;S01;Z01;A1;11;0.61;0.86;Légère variabilité observée.
MMA1015;2017-05-15;S01;Z01;A1;11;0.60;0.58;Rien à signaler.
MMA1015;2017-06-15;S01;Z01;A1;11;0.50;0.40;Rien à signaler.
MMA1015;2017-07-15;S01;Z01;A1;11;0.84;0.65;Condition normale pour la saison.
MMA1015;2017-08-15;S01;Z01;A1;11;0.90;0.65;Condition normale pour la saison.
MMA1015;2017-09-15;S01;Z01;A1;11;0.09;0.36;Rien à signaler.
MMA1015;2017-10-15;S01;Z01;A1;11;0.54;0.41;Légère variabilité observée.
MMA1016;2017-05-15;S01;Z01;A1;11;0.88;0.75;Rien à signaler.
MMA1016;2017-06-15;S01;Z01;A1;11;0.13;0.94;Rien à signaler.
MMA1016;2017-07-15;S01;Z01;A1;11;0.52;0.47;Condition normale pour la saison.
MMA1016;2017-08-15;S01;Z01;A1;11;0.18;0.67;Condition normale pour la saison.
MMA1016;2017-09-15;S01;Z01;A1;11;0.17;0.74;Légère variabilité observée.
MMA1016;2017-10-15;S01;Z01;A1;11;0.13;0.93;Rien à signaler.
MMA1017;2017-05-15;S01;Z01;A1;11;0.42;0.07;Légère variabilité observée.
MMA1017;2017-06-15;S01;Z01;A1;11;0.19;0.43;Condition normale pour la saison.
MMA1017;2017-07-15;S01;Z01;A1;11;0.21;0.82;Condition normale pour la saison.
MMA1017;2017-08-15;S01;Z01;A1;11;0.28;0.84;Légère variabilité observée.
MMA1017;2017-09-15;S01;Z01;A1;11;0.40;0.87;Condition normale pour la saison.
MMA1017;2017-10-15;S01;Z01;A1;11;0.16;0.49;Condition normale pour la saison.
MMA1018;2017-05-15;S01;Z01;A1;11;0.59;0.13;Légère variabilité observée.
MMA1018;2017-06-15;S01;Z01;A1;11;0.26;0.84;Condition normale pour la saison.
MMA1018;2017-07-15;S01;Z01;A1;11;0.09;0.28;Légère variabilité observée.
MMA1018;2017-08-15;S01;Z01;A1;11;0.62;0.30;Condition normale pour la saison.
MMA1018;2017-09-15;S01;Z01;A1;11;0.21;0.30;Condition normale pour la saison.
MMA1018;2017-10-15;S01;Z01;A1;11;0.49;0.39;Rien à signaler.
MMA1019;2017-05-15;S01;Z01;A1;11;0.09;0.49;Condition normale pour la saison.
MMA1019;2017-06-15;S01;Z01;A1;11;0.39;0.33;Condition normale pour la saison.
MMA1019;2017-07-15;S01;Z01;A1;11;0.21;0.49;Rien à signaler.
MMA1019;2017-08-15;S01;Z01;A1;11;0.59;0.10;Légère variabilité observée.
MMA1019;2017-09-15;S01;Z01;A1;11;0.75;0.61;Condition normale pour la saison.
MMA1019;2017-10-15;S01;Z01;A1;11;0.83;0.21;Condition normale pour la saison.
MMA1020;2017-05-15;S01;Z01;A1;11;0.32;0.51;Rien à signaler.
MMA1020;2017-06-15;S01;Z01;A1;11;0.06;0.37;Rien à signaler.
MMA1020;2017-07-15;S01;Z01;A1;11;0.55;0.64;Rien à signaler.
MMA1020;2017-08-15;S01;Z01;A1;11;0.10;0.06;Rien à signaler.
MMA1020;2017-09-15;S01;Z01;A1;11;0.18;0.40;Rien à signaler.
MMA1020;2017-10-15;S01;Z01;A1;11;0.32;0.84;Légère variabilité observée.
MMA1021;2017-05-15;S01;Z01;A1;11;0.71;0.57;Légère variabilité observée.
MMA1021;2017-06-15;S01;Z01;A1;11;0.23;0.53;Légère variabilité observée.
MMA1021;2017-07-15;S01;Z01;A1;11;0.31;0.29;Rien à signaler.
MMA1021;2017-08-15;S01;Z01;A1;11;0.41;0.81;Condition normale pour la saison.
MMA1021;2017-09-15;S01;Z01;A1;11;0.80;0.73;Condition normale pour la saison.
MMA1021;2017-10-15;S01;Z01;A1;11;0.22;0.11;Condition normale pour la saison.
MMA1022;2017-05-15;S01;Z01;A1;11;0.68;0.25;Rien à signaler.
MMA1022;2017-06-15;S01;Z01;A1;11;0.23;0.07;Condition normale pour la saison.
MMA1022;2017-07-15;S01;Z01;A1;11;0.69;0.89;Condition normale pour la saison.
MMA1022;2017-08-15;S01;Z01;A1;11;0.57;0.71;Rien à signaler.
MMA1022;2017-09-15;S01;Z01;A1;11;0.05;0.82;Condition normale pour la saison.
MMA1022;2017-10-15;S01;Z01;A1;11;0.61;0.44;Condition normale pour la saison.
MMA1023;2017-05-15;S01;Z01;A1;11;0.31;0.23;Légère variabilité observée.
MMA1023;2017-06-15;S01;Z01;A1;11;0.92;0.19;Légère variabilité observée.
MMA1023;2017-07-15;S01;Z01;A1;11;0.25;0.25;Rien à signaler.
MMA1023;2017-08-15;S01;Z01;A1;11;0.44;0.29;Condition normale pour la saison.
MMA1023;2017-09-15;S01;Z01;A1;11;0.31;0.37;Légère variabilité observée.
MMA1023;2017-10-15;S01;Z01;A1;11;0.85;0.70;Légère variabilité observée.
MMA1024;2017-05-15;S01;Z01;A1;11;0.32;0.22;Condition normale pour la saison.
MMA1024;2017-06-15;S01;Z01;A1;11;0.33;0.27;Légère variabilité observée.
MMA1024;2017-07-15;S01;Z01;A1;11;0.74;0.24;Rien à signaler.
MMA1024;2017-08-15;S01;Z01;A1;11;0.85;0.76;Condition normale pour la saison.
MMA1024;2017-09-15;S01;Z01;A1;11;0.76;0.30;Condition normale pour la saison.
MMA1024;2017-10-15;S01;Z01;A1;11;0.47;0.16;Légère variabilité observée.
MMA1025;2017-05-15;S01;Z01;A1;11;0.45;0.81;Condition normale pour la saison.
MMA1025;2017-06-15;S01;Z01;A1;11;0.07;0.27;Condition normale pour la saison.
MMA1025;2017-07-15;S01;Z01;A1;11;0.10;0.78;Légère variabilité observée.
MMA1025;2017-08-15;S01;Z01;A1;11;0.71;0.62;Condition normale pour la saison.
MMA1025;2017-09-15;S01;Z01;A1;11;0.58;0.24;Condition normale pour la saison.
MMA1025;2017-10-15;S01;Z01;A1;11;0.53;0.56;Condition normale pour la saison.
MMA1026;2017-05-15;S01;Z01;A1;11;0.57;0.59;Condition normale pour la saison.
MMA1026;2017-06-15;S01;Z01;A1;11;0.58;0.40;Condition normale pour la saison.
MMA1026;2017-07-15;S01;Z01;A1;11;0.43;0.38;Rien à signaler.
MMA1026;2017-08-15;S01;Z01;A1;11;0.68;0.12;Condition normale pour la saison.
MMA1026;2017-09-15;S01;Z01;A1;11;0.53;0.27;Condition normale pour la saison.
MMA1026;2017-10-15;S01;Z01;A1;11;0.62;0.46;Condition normale pour la saison.
MMA1027;2017-05-15;S01;Z01;A1;11;0.76;0.46;Légère variabilité observée.
MMA1027;2017-06-15;S01;Z01;A1;11;0.74;0.77;Légère variabilité observée.
MMA1027;2017-07-15;S01;Z01;A1;11;0.61;0.14;Légère variabilité observée.
MMA1027;2017-08-15;S01;Z01;A1;11;0.20;0.52;Condition normale pour la saison.
MMA1027;2017-09-15;S01;Z01;A1;11;0.23;0.15;Condition normale pour la saison.
MMA1027;2017-10-15;S01;Z01;A1;11;0.38;0.29;Rien à signaler.
MMA1028;2017-05-15;S01;Z01;A1;11;0.87;0.21;Condition normale pour la saison.
MMA1028;2017-06-15;S01;Z01;A1;11;0.52;0.25;Rien à signaler.
MMA1028;2017-07-15;S01;Z01;A1;11;0.68;0.59;Condition normale pour la saison.
MMA1028;2017-08-15;S01;Z01;A1;11;0.12;0.44;Condition normale pour la saison.
MMA1028;2017-09-15;S01;Z01;A1;11;0.50;0.75;Condition normale pour la saison.
MMA1028;2017-10-15;S01;Z01;A1;11;0.29;0.87;Condition normale pour la saison.
MMA1029;2017-05-15;S01;Z01;A1;11;0.26;0.07;Légère variabilité observée.
MMA1029;2017-06-15;S01;Z01;A1;11;0.90;0.15;Légère variabilité observée.
MMA1029;2017-07-15;S01;Z01;A1;11;0.67;0.62;Condition normale pour la saison.
MMA1029;2017-08-15;S01;Z01;A1;11;0.69;0.10;Condition normale pour la saison.
MMA1029;2017-09-15;S01;Z01;A1;11;0.32;0.37;Rien à signaler.
MMA1029;2017-10-15;S01;Z01;A1;11;0.19;0.36;Condition normale pour la saison.
MMA1030;2017-05-15;S01;Z01;A1;11;0.43;0.92;Condition normale pour la saison.
MMA1030;2017-06-15;S01;Z01;A1;11;0.39;0.58;Condition normale pour la saison.
MMA1030;2017-07-15;S01;Z01;A1;11;0.26;0.62;Condition normale pour la saison.
MMA1030;2017-08-15;S01;Z01;A1;11;0.54;0.21;Condition normale pour la saison.
MMA1030;2017-09-15;S01;Z01;A1;11;0.42;0.70;Rien à signaler.
MMA1030;2017-10-15;S01;Z01;A1;11;0.08;0.82;Condition normale pour la saison.
MMA1031;2017-05-15;S01;Z01;A1;11;0.14;0.43;Rien à signaler.
MMA1031;2017-06-15;S01;Z01;A1;11;0.55;0.61;Légère variabilité observée.
MMA1031;2017-07-15;S01;Z01;A1;11;0.87;0.91;Condition normale pour la saison.
MMA1031;2017-08-15;S01;Z01;A1;11;0.90;0.63;Rien à signaler.
MMA1031;2017-09-15;S01;Z01;A1;11;0.22;0.21;Condition normale pour la saison.
MMA1031;2017-10-15;S01;Z01;A1;11;0.29;0.23;Condition normale pour la saison.
MMA1032;2017-05-15;S01;Z01;A1;11;0.83;0.50;Condition normale pour la saison.
MMA1032;2017-06-15;S01;Z01;A1;11;0.61;0.91;Condition normale pour la saison.
MMA1032;2017-07-15;S01;Z01;A1;11;0.73;0.72;Rien à signaler.
MMA1032;2017-08-15;S01;Z01;A1;11;0.45;0.86;Rien à signaler.
MMA1032;2017-09-15;S01;Z01;A1;11;0.74;0.34;Légère variabilité observée.
MMA1032;2017-10-15;S01;Z01;A1;11;0.23;0.55;Condition normale pour la saison.
MMA1033;2017-05-15;S01;Z01;A1;11;0.52;0.82;Légère variabilité observée.
MMA1033;2017-06-15;S01;Z01;A1;11;0.17;0.50;Rien à signaler.
MMA1033;2017-07-15;S01;Z01;A1;11;0.79;0.88;Condition normale pour la saison.
MMA1033;2017-08-15;S01;Z01;A1;11;0.61;0.73;Condition normale pour la saison.
MMA1033;2017-09-15;S01;Z01;A1;11;0.26;0.28;Condition normale pour la saison.
MMA1033;2017-10-15;S01;Z01;A1;11;0.11;0.28;Rien à signaler.
MMA1034;2017-05-15;S01;Z01;A1;11;0.32;0.50;Condition normale pour la saison.
MMA1034;2017-06-15;S01;Z01;A1;11;0.50;0.26;Condition normale pour la saison.
MMA1034;2017-07-15;S01;Z01;A1;11;0.48;0.82;Rien à signaler.
MMA1034;2017-08-15;S01;Z01;A1;11;0.59;0.65;Rien à signaler.
MMA1034;2017-09-15;S01;Z01;A1;11;0.80;0.73;Légère variabilité observée.
MMA1034;2017-10-15;S01;Z01;A1;11;0.06;0.07;Légère variabilité observée.
MMA1035;2017-05-15;S01;Z01;A1;11;0.37;0.76;Légère variabilité observée.
MMA1035;2017-06-15;S01;Z01;A1;11;0.25;0.23;Condition normale pour la saison.
MMA1035;2017-07-15;S01;Z01;A1;11;0.27;0.24;Rien à signaler.
MMA1035;2017-08-15;S01;Z01;A1;11;0.17;0.20;Légère variabilité observée.
MMA1035;2017-09-15;S01;Z01;A1;11;0.43;0.65;Rien à signaler.
MMA1035;2017-10-15;S01;Z01;A1;11;0.30;0.19;Condition normale pour la saison.
MMA1036;2017-05-15;S01;Z01;A1;11;0.60;0.15;Rien à signaler.
MMA1036;2017-06-15;S01;Z01;A1;11;0.39;0.34;Condition normale pour la saison.
MMA1036;2017-07-15;S01;Z01;A1;11;0.06;0.45;Condition normale pour la saison.
MMA1036;2017-08-15;S01;Z01;A1;11;0.58;0.39;Légère variabilité observée.
MMA1036;2017-09-15;S01;Z01;A1;11;0.12;0.34;Rien à signaler.
MMA1036;2017-10-15;S01;Z01;A1;11;0.22;0.90;Rien à signaler.
MMA1037;2017-05-15;S01;Z01;A1;11;0.80;0.69;Rien à signaler.
MMA1037;2017-06-15;S01;Z01;A1;11;0.59;0.28;Rien à signaler.
MMA1037;2017-07-15;S01;Z01;A1;11;0.29;0.63;Légère variabilité observée.
MMA1037;2017-08-15;S01;Z01;A1;11;0.23;0.75;Légère variabilité observée.
MMA1037;2017-09-15;S01;Z01;A1;11;0.59;0.83;Légère variabilité observée.
MMA1037;2017-10-15;S01;Z01;A1;11;0.24;0.10;Condition normale pour la saison.
MMA1038;2017-05-15;S01;Z01;A1;11;0.10;0.36;Légère variabilité observée.
MMA1038;2017-06-15;S01;Z01;A1;11;0.11;0.90;Condition normale pour la saison.
MMA1038;2017-07-15;S01;Z01;A1;11;0.86;0.93;Rien à signaler.
MMA1038;2017-08-15;S01;Z01;A1;11;0.19;0.13;Légère variabilité observée.
MMA1038;2017-09-15;S01;Z01;A1;11;0.82;0.82;Condition normale pour la saison.
MMA1038;2017-10-15;S01;Z01;A1;11;0.95;0.54;Légère variabilité observée.
MMA1039;2017-05-15;S01;Z01;A1;11;0.84;0.18;Rien à signaler.
MMA1039;2017-06-15;S01;Z01;A1;11;0.40;0.16;Condition normale pour la saison.
MMA1039;2017-07-15;S01;Z01;A1;11;0.25;0.73;Rien à signaler.
MMA1039;2017-08-15;S01;Z01;A1;11;0.57;0.86;Légère variabilité observée.
MMA1039;2017-09-15;S01;Z01;A1;11;0.56;0.74;Légère variabilité observée.
MMA1039;2017-10-15;S01;Z01;A1;11;0.35;0.14;Légère variabilité observée.
MMA1040;2017-05-15;S01;Z01;A1;11;0.52;0.61;Condition normale pour la saison.
MMA1040;2017-06-15;S01;Z01;A1;11;0.41;0.75;Condition normale pour la saison.
MMA1040;2017-07-15;S01;Z01;A1;11;0.78;0.55;Rien à signaler.
MMA1040;2017-08-15;S01;Z01;A1;11;0.25;0.60;Rien à signaler.
MMA1040;2017-09-15;S01;Z01;A1;11;0.42;0.28;Légère variabilité observée.
MMA1040;2017-10-15;S01;Z01;A1;11;0.07;0.06;Légère variabilité observée.
MMA1041;2017-05-15;S01;Z01;A1;11;0.70;0.45;Condition normale pour la saison.
MMA1041;2017-06-15;S01;Z01;A1;11;0.61;0.33;Condition normale pour la saison.
MMA1041;2017-07-15;S01;Z01;A1;11;0.90;0.49;Condition normale pour la saison.
MMA1041;2017-08-15;S01;Z01;A1;11;0.73;0.21;Légère variabilité observée.
MMA1041;2017-09-15;S01;Z01;A1;11;0.15;0.69;Condition normale pour la saison.
MMA1041;2017-10-15;S01;Z01;A1;11;0.71;0.86;Légère variabilité observée.
MMA1042;2017-05-15;S01;Z01;A1;11;0.78;0.17;Rien à signaler.
MMA1042;2017-06-15;S01;Z01;A1;11;0.08;0.19;Condition normale pour la saison.
MMA1042;2017-07-15;S01;Z01;A1;11;0.84;0.66;Condition normale pour la saison.
MMA1042;2017-08-15;S01;Z01;A1;11;0.23;0.29;Condition normale pour la saison.
MMA1042;2017-09-15;S01;Z01;A1;11;0.84;0.86;Condition normale pour la saison.
MMA1042;2017-10-15;S01;Z01;A1;11;0.92;0.60;Légère variabilité observée.
MMA1043;2017-05-15;S01;Z01;A1;11;0.88;0.31;Légère variabilité observée.
MMA1043;2017-06-15;S01;Z01;A1;11;0.76;0.42;Légère variabilité observée.
MMA1043;2017-07-15;S01;Z01;A1;11;0.16;0.91;Condition normale pour la saison.
MMA1043;2017-08-15;S01;Z01;A1;11;0.07;0.49;Condition normale pour la saison.
MMA1043;2017-09-15;S01;Z01;A1;11;0.47;0.86;Condition normale pour la saison.
MMA1043;2017-10-15;S01;Z01;A1;11;0.75;0.37;Rien à signaler.
MMA1044;2017-05-15;S01;Z01;A1;11;0.09;0.63;Condition normale pour la saison.
MMA1044;2017-06-15;S01;Z01;A1;11;0.35;0.94;Condition normale pour la saison.
MMA1044;2017-07-15;S01;Z01;A1;11;0.37;0.69;Légère variabilité observée.
MMA1044;2017-08-15;S01;Z01;A1;11;0.48;0.58;Rien à signaler.
MMA1044;2017-09-15;S01;Z01;A1;11;0.60;0.87;Rien à signaler.
MMA1044;2017-10-15;S01;Z01;A1;11;0.55;0.53;Condition normale pour la saison.
MMA1045;2017-05-15;S01;Z01;A1;11;0.43;0.06;Condition normale pour la saison.
MMA1045;2017-06-15;S01;Z01;A1;11;0.61;0.82;Condition normale pour la saison.
MMA1045;2017-07-15;S01;Z01;A1;11;0.22;0.18;Condition normale pour la saison.
MMA1045;2017-08-15;S01;Z01;A1;11;0.35;0.23;Condition normale pour la saison.
MMA1045;2017-09-15;S01;Z01;A1;11;0.53;0.37;Condition normale pour la saison.
MMA1045;2017-10-15;S01;Z01;A1;11;0.62;0.46;Condition normale pour la saison.
MMA1046;2017-05-15;S01;Z01;A1;11;0.44;0.63;Condition normale pour la saison.
MMA1046;2017-06-15;S01;Z01;A1;11;0.17;0.29;Légère variabilité observée.
MMA1046;2017-07-15;S01;Z01;A1;11;0.36;0.45;Légère variabilité observée.
MMA1046;2017-08-15;S01;Z01;A1;11;0.94;0.27;Légère variabilité observée.
MMA1046;2017-09-15;S01;Z01;A1;11;0.23;0.73;Légère variabilité observée.
MMA1046;2017-10-15;S01;Z01;A1;11;0.40;0.21;Condition normale pour la saison.
MMA1047;2017-05-15;S01;Z01;A1;11;0.50;0.31;Condition normale pour la saison.
MMA1047;2017-06-15;S01;Z01;A1;11;0.88;0.44;Condition normale pour la saison.
MMA1047;2017-07-15;S01;Z01;A1;11;0.59;0.51;Condition normale pour la saison.
MMA1047;2017-08-15;S01;Z01;A1;11;0.61;0.48;Condition normale pour la saison.
MMA1047;2017-09-15;S01;Z01;A1;11;0.68;0.68;Légère variabilité observée.
MMA1047;2017-10-15;S01;Z01;A1;11;0.18;0.70;Légère variabilité observée.
MMA1048;2017-05-15;S01;Z01;A1;11;0.47;0.70;Condition normale pour la saison.
MMA1048;2017-06-15;S01;Z01;A1;11;0.75;0.52;Condition normale pour la saison.
MMA1048;2017-07-15;S01;Z01;A1;11;0.38;0.09;Légère variabilité observée.
MMA1048;2017-08-15;S01;Z01;A1;11;0.31;0.15;Condition normale pour la saison.
MMA1048;2017-09-15;S01;Z01;A1;11;0.19;0.45;Condition normale pour la saison.
MMA1048;2017-10-15;S01;Z01;A1;11;0.55;0.26;Légère variabilité observée.
MMA1049;2017-05-15;S01;Z01;A1;11;0.67;0.38;Rien à signaler.
MMA1049;2017-06-15;S01;Z01;A1;11;0.49;0.52;Rien à signaler.
MMA1049;2017-07-15;S01;Z01;A1;11;0.12;0.16;Légère variabilité observée.
MMA1049;2017-08-15;S01;Z01;A1;11;0.17;0.08;Condition normale pour la saison.
MMA1049;2017-09-15;S01;Z01;A1;11;0.65;0.43;Rien à signaler.
MMA1049;2017-10-15;S01;Z01;A1;11;0.20;0.66;Légère variabilité observée.
MMA1050;2017-05-15;S01;Z01;A1;11;0.84;0.47;Condition normale pour la saison.
MMA1050;2017-06-15;S01;Z01;A1;11;0.22;0.58;Légère variabilité observée.
MMA1050;2017-07-15;S01;Z01;A1;11;0.22;0.10;Condition normale pour la saison.
MMA1050;2017-08-15;S01;Z01;A1;11;0.68;0.55;Condition normale pour la saison.
MMA1050;2017-09-15;S01;Z01;A1;11;0.66;0.42;Rien à signaler.
MMA1050;2017-10-15;S01;Z01;A1;11;0.59;0.67;Condition normale pour la saison.
MMA1051;2017-05-15;S01;Z01;A1;11;0.17;0.15;Condition normale pour la saison.
MMA1051;2017-06-15;S01;Z01;A1;11;0.29;0.85;Condition normale pour la saison.
MMA1051;2017-07-15;S01;Z01;A1;11;0.44;0.34;Condition normale pour la saison.
MMA1051;2017-08-15;S01;Z01;A1;11;0.08;0.19;Légère variabilité observée.
MMA1051;2017-09-15;S01;Z01;A1;11;0.70;0.65;Condition normale pour la saison.
