siteid;zoneid;placetteid;date;hauteur;tauxfeuillu;tauxconifere;note
S01;Z01;A4;2017-08-15;2;48.75;18.52;Légère densité de sous-bois.
S01;Z01;A4;2017-09-15;1;35.00;48.40;Conditions typiques du secteur.
S01;Z01;A4;2017-09-15;2;14.97;40.30;Structure homogène.
S01;Z01;A4;2017-10-15;1;13.72;14.20;Légère densité de sous-bois.
S01;Z01;A4;2017-10-15;2;36.82;23.79;Légère densité de sous-bois.
S01;Z02;B1;2017-05-15;1;27.71;27.07;Structure homogène.
S01;Z02;B1;2017-05-15;2;48.98;17.44;Légère densité de sous-bois.
S01;Z02;B1;2017-06-15;1;38.91;15.73;Légère densité de sous-bois.
S01;Z02;B1;2017-06-15;2;34.93;26.99;Structure homogène.
S01;Z02;B1;2017-07-15;1;11.07;36.10;Structure homogène.
S01;Z02;B1;2017-07-15;2;22.02;41.42;Légère densité de sous-bois.
S01;Z02;B1;2017-08-15;1;40.83;35.16;Légère densité de sous-bois.
S01;Z02;B1;2017-08-15;2;22.97;26.84;Conditions typiques du secteur.
S01;Z02;B1;2017-09-15;1;21.57;48.53;Conditions typiques du secteur.
S01;Z02;B1;2017-09-15;2;24.85;33.25;Conditions typiques du secteur.
S01;Z02;B1;2017-10-15;1;43.01;43.60;Structure homogène.
S01;Z02;B1;2017-10-15;2;39.20;43.88;Structure homogène.
S01;Z02;B2;2017-05-15;1;35.75;15.76;Légère densité de sous-bois.
S01;Z02;B2;2017-05-15;2;12.75;41.83;Conditions typiques du secteur.
S01;Z02;B2;2017-06-15;1;38.28;25.89;Légère densité de sous-bois.
S01;Z02;B2;2017-06-15;2;46.30;44.94;Légère densité de sous-bois.
S01;Z02;B2;2017-07-15;1;17.34;29.31;Conditions typiques du secteur.
S01;Z02;B2;2017-07-15;2;44.79;31.94;Structure homogène.
S01;Z02;B2;2017-08-15;1;41.83;20.49;Structure homogène.
S01;Z02;B2;2017-08-15;2;31.33;27.08;Légère densité de sous-bois.
S01;Z02;B2;2017-09-15;1;10.96;24.57;Conditions typiques du secteur.
S01;Z02;B2;2017-09-15;2;42.20;44.24;Structure homogène.
S01;Z02;B2;2017-10-15;1;28.50;46.80;Structure homogène.
S01;Z02;B2;2017-10-15;2;31.98;23.65;Structure homogène.
S01;Z02;B3;2017-05-15;1;27.01;38.38;Conditions typiques du secteur.
S01;Z02;B3;2017-05-15;2;38.10;47.16;Légère densité de sous-bois.
S01;Z02;B3;2017-06-15;1;38.01;39.95;Conditions typiques du secteur.
S01;Z02;B3;2017-06-15;2;40.48;38.76;Conditions typiques du secteur.
S01;Z02;B3;2017-07-15;1;48.12;39.49;Légère densité de sous-bois.
S01;Z02;B3;2017-07-15;2;37.72;44.71;Légère densité de sous-bois.
S01;Z02;B3;2017-08-15;1;43.83;15.67;Conditions typiques du secteur.
S01;Z02;B3;2017-08-15;2;26.65;40.65;Structure homogène.
S01;Z02;B3;2017-09-15;1;35.07;33.86;Structure homogène.
S01;Z02;B3;2017-09-15;2;26.70;46.83;Conditions typiques du secteur.
S01;Z02;B3;2017-10-15;1;28.70;16.13;Légère densité de sous-bois.
S01;Z02;B3;2017-10-15;2;42.85;38.51;Légère densité de sous-bois.
S01;Z02;B4;2017-05-15;1;22.79;22.04;Légère densité de sous-bois.
S01;Z02;B4;2017-05-15;2;24.71;14.92;Structure homogène.
S01;Z02;B4;2017-06-15;1;14.08;15.80;Conditions typiques du secteur.
S01;Z02;B4;2017-06-15;2;28.91;25.01;Légère densité de sous-bois.
S01;Z02;B4;2017-07-15;1;27.86;44.05;Légère densité de sous-bois.
S01;Z02;B4;2017-07-15;2;22.07;37.36;Structure homogène.
S01;Z02;B4;2017-08-15;1;48.46;25.85;Légère densité de sous-bois.
S01;Z02;B4;2017-08-15;2;37.93;20.45;Légère densité de sous-bois.
S01;Z02;B4;2017-09-15;1;34.21;46.73;Structure homogène.
S01;Z02;B4;2017-09-15;2;37.52;18.00;Structure homogène.
S01;Z02;B4;2017-10-15;1;48.23;19.43;Légère densité de sous-bois.
S01;Z02;B4;2017-10-15;2;43.46;31.50;Légère densité de sous-bois.
