plantid;date;typefloraison;note
MMA4024;2017-06-15;FL;Condition normale pour la saison.
MMA4027;2017-06-15;FR;Rien à signaler.
MMA4030;2017-06-15;FL;Légère variabilité observée.
MMA4033;2017-06-15;FR;Rien à signaler.
MMA4036;2017-06-15;NA;Condition normale pour la saison.
MMA4039;2017-06-15;NA;Condition normale pour la saison.
MMA4042;2017-06-15;FR;Condition normale pour la saison.
MMA4045;2017-06-15;FL;Légère variabilité observée.
MMA4048;2017-06-15;FL;Légère variabilité observée.
MMA4051;2017-06-15;NA;Rien à signaler.
MMA4054;2017-06-15;FR;Légère variabilité observée.
MMA4057;2017-06-15;FR;Condition normale pour la saison.
MMA4060;2017-06-15;FR;Condition normale pour la saison.
MMA4063;2017-06-15;FL;Rien à signaler.
MMA4066;2017-06-15;NA;Condition normale pour la saison.
MMA4069;2017-06-15;NA;Légère variabilité observée.
MMA4072;2017-06-15;NA;Condition normale pour la saison.
MMA4075;2017-06-15;FR;Légère variabilité observée.
MMA4078;2017-06-15;FL;Rien à signaler.
MMA4081;2017-06-15;FR;Condition normale pour la saison.
MMA4084;2017-06-15;FR;Condition normale pour la saison.
MMA4087;2017-06-15;FL;Condition normale pour la saison.
MMA4090;2017-06-15;FL;Condition normale pour la saison.
MMA4093;2017-06-15;FR;Légère variabilité observée.
MMA4096;2017-06-15;FR;Condition normale pour la saison.
MMA4099;2017-06-15;FL;Condition normale pour la saison.
MMB1002;2017-06-15;NA;Rien à signaler.
MMB1005;2017-06-15;FR;Condition normale pour la saison.
MMB1008;2017-06-15;FR;Légère variabilité observée.
MMB1011;2017-06-15;FL;Condition normale pour la saison.
MMB1014;2017-06-15;FL;Condition normale pour la saison.
MMB1017;2017-06-15;FL;Condition normale pour la saison.
MMB1020;2017-06-15;FL;Rien à signaler.
MMB1023;2017-06-15;FR;Légère variabilité observée.
MMB1026;2017-06-15;FL;Condition normale pour la saison.
MMB1029;2017-06-15;FL;Condition normale pour la saison.
MMB1032;2017-06-15;FL;Légère variabilité observée.
MMB1038;2017-06-15;FL;Rien à signaler.
MMB1041;2017-06-15;FR;Condition normale pour la saison.
MMB1044;2017-06-15;FR;Condition normale pour la saison.
MMB1047;2017-06-15;FL;Rien à signaler.
MMB1050;2017-06-15;FR;Condition normale pour la saison.
MMB1053;2017-06-15;FR;Rien à signaler.
MMB1056;2017-06-15;FL;Condition normale pour la saison.
MMB1059;2017-06-15;FR;Condition normale pour la saison.
MMB1062;2017-06-15;FL;Légère variabilité observée.
MMB1065;2017-06-15;NA;Rien à signaler.
MMB1068;2017-06-15;FL;Rien à signaler.
MMB1071;2017-06-15;NA;Rien à signaler.
MMB1074;2017-06-15;FL;Légère variabilité observée.
MMB1077;2017-06-15;FR;Condition normale pour la saison.
MMB1080;2017-06-15;FR;Condition normale pour la saison.
MMB1083;2017-06-15;FL;Légère variabilité observée.
MMB1086;2017-06-15;NA;Légère variabilité observée.
MMB1089;2017-06-15;FL;Rien à signaler.
MMB1092;2017-06-15;FL;Légère variabilité observée.
MMB1095;2017-06-15;FL;Condition normale pour la saison.
MMB1098;2017-06-15;FL;Condition normale pour la saison.
MMB2001;2017-06-15;FR;Rien à signaler.
MMB2004;2017-06-15;FR;Légère variabilité observée.
MMB2007;2017-06-15;FR;Légère variabilité observée.
MMB2010;2017-06-15;FL;Légère variabilité observée.
MMB2013;2017-06-15;FR;Condition normale pour la saison.
MMB2016;2017-06-15;FR;Rien à signaler.
MMB2019;2017-06-15;FL;Condition normale pour la saison.
MMB2022;2017-06-15;FR;Condition normale pour la saison.
MMB2025;2017-06-15;FL;Condition normale pour la saison.
MMB2028;2017-06-15;FL;Condition normale pour la saison.
MMB2031;2017-06-15;NA;Légère variabilité observée.
MMB2034;2017-06-15;FR;Rien à signaler.
MMB2037;2017-06-15;FR;Légère variabilité observée.
MMB2040;2017-06-15;FL;Rien à signaler.
MMB2043;2017-06-15;FL;Condition normale pour la saison.
MMB2046;2017-06-15;FL;Condition normale pour la saison.
MMB2049;2017-06-15;FL;Rien à signaler.
MMB2052;2017-06-15;FL;Rien à signaler.
MMB2055;2017-06-15;FR;Rien à signaler.
MMB2061;2017-06-15;FL;Condition normale pour la saison.
MMB2064;2017-06-15;FR;Rien à signaler.
MMB2067;2017-06-15;NA;Condition normale pour la saison.
MMB2070;2017-06-15;NA;Condition normale pour la saison.
MMB2073;2017-06-15;FL;Condition normale pour la saison.
MMB2076;2017-06-15;FL;Condition normale pour la saison.
MMB2079;2017-06-15;FR;Rien à signaler.
MMB2082;2017-06-15;FL;Condition normale pour la saison.
MMB2085;2017-06-15;FR;Rien à signaler.
MMB2088;2017-06-15;FL;Rien à signaler.
MMB2091;2017-06-15;FL;Condition normale pour la saison.
MMB2094;2017-06-15;FL;Légère variabilité observée.
MMB2097;2017-06-15;FR;Légère variabilité observée.
MMB2100;2017-06-15;FR;Condition normale pour la saison.
MMB3003;2017-06-15;FL;Légère variabilité observée.
MMB3006;2017-06-15;FL;Légère variabilité observée.
MMB3009;2017-06-15;FR;Légère variabilité observée.
MMB3012;2017-06-15;FL;Rien à signaler.
MMB3015;2017-06-15;FL;Condition normale pour la saison.
MMB3018;2017-06-15;FL;Rien à signaler.
MMB3021;2017-06-15;FR;Condition normale pour la saison.
MMB3024;2017-06-15;FL;Légère variabilité observée.
MMB3027;2017-06-15;FL;Condition normale pour la saison.
MMB3030;2017-06-15;NA;Légère variabilité observée.
MMB3033;2017-06-15;FR;Légère variabilité observée.
MMB3036;2017-06-15;NA;Légère variabilité observée.
MMB3039;2017-06-15;FL;Condition normale pour la saison.
MMB3042;2017-06-15;NA;Condition normale pour la saison.
MMB3045;2017-06-15;FR;Légère variabilité observée.
MMB3048;2017-06-15;FL;Rien à signaler.
MMB3051;2017-06-15;FL;Rien à signaler.
MMB3054;2017-06-15;FL;Condition normale pour la saison.
MMB3057;2017-06-15;FL;Condition normale pour la saison.
MMB3060;2017-06-15;FL;Légère variabilité observée.
MMB3063;2017-06-15;FL;Légère variabilité observée.
MMB3066;2017-06-15;FL;Rien à signaler.
MMB3069;2017-06-15;FR;Légère variabilité observée.
MMB3072;2017-06-15;FL;Condition normale pour la saison.
MMB3075;2017-06-15;FL;Condition normale pour la saison.
MMB3078;2017-06-15;FL;Condition normale pour la saison.
MMB3081;2017-06-15;FL;Condition normale pour la saison.
MMB3084;2017-06-15;FL;Légère variabilité observée.
MMB3087;2017-06-15;FR;Rien à signaler.
MMB3090;2017-06-15;FL;Condition normale pour la saison.
MMB3093;2017-06-15;FR;Rien à signaler.
MMB3096;2017-06-15;FL;Condition normale pour la saison.
MMB3099;2017-06-15;FL;Condition normale pour la saison.
MMB4002;2017-06-15;FL;Condition normale pour la saison.
MMB4005;2017-06-15;FL;Condition normale pour la saison.
MMB4008;2017-06-15;FR;Rien à signaler.
MMB4011;2017-06-15;FR;Condition normale pour la saison.
MMB4014;2017-06-15;FL;Condition normale pour la saison.
MMB4017;2017-06-15;FR;Rien à signaler.
MMB4020;2017-06-15;FL;Légère variabilité observée.
MMB4023;2017-06-15;FL;Condition normale pour la saison.
MMB4026;2017-06-15;NA;Rien à signaler.
MMB4029;2017-06-15;FL;Légère variabilité observée.
MMB4032;2017-06-15;FL;Légère variabilité observée.
MMB4035;2017-06-15;NA;Condition normale pour la saison.
MMB4038;2017-06-15;FR;Condition normale pour la saison.
MMB4041;2017-06-15;FL;Condition normale pour la saison.
MMB4044;2017-06-15;FR;Condition normale pour la saison.
MMB4047;2017-06-15;FR;Légère variabilité observée.
MMB4050;2017-06-15;FL;Rien à signaler.
MMB4053;2017-06-15;FL;Légère variabilité observée.
MMB4056;2017-06-15;FR;Condition normale pour la saison.
MMB4059;2017-06-15;FR;Condition normale pour la saison.
MMB4062;2017-06-15;FR;Rien à signaler.
MMB4065;2017-06-15;FR;Rien à signaler.
MMB4068;2017-06-15;FL;Légère variabilité observée.
MMB4071;2017-06-15;FR;Rien à signaler.
MMB4074;2017-06-15;FL;Condition normale pour la saison.
MMB4077;2017-06-15;FR;Condition normale pour la saison.
MMB4080;2017-06-15;FL;Rien à signaler.
MMB4083;2017-06-15;FR;Légère variabilité observée.
MMB4086;2017-06-15;FR;Légère variabilité observée.
MMB4089;2017-06-15;FL;Condition normale pour la saison.
MMB4092;2017-06-15;FL;Condition normale pour la saison.
MMB4095;2017-06-15;FR;Légère variabilité observée.
MMB4098;2017-06-15;FR;Légère variabilité observée.
